Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
J9821A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9822A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9823A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9824A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9825A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9826A,,condition,Funktionsattribut,Wertliste,Deutsch,new
J9868A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL001A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL002A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL003A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL095A,,condition,Funktionsattribut,Wertliste,Deutsch,new
