Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
R9Y03A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
R9Y03A,,Switch,Layer,L2,2,Wertliste,Attribut
R9Y03A,,Switch,Portanzahl,52,3,Wertliste,Attribut
R9Y03A,,Switch,Port-Konfiguration,"48× 1G-RJ45 (10/100/1000BASE-T, Class 4 PoE, 30 W) + 4× SFP (1G) (Uplink)",4,Wertliste,Attribut
R9Y03A,,Switch,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45, Access), 1 GbE (SFP-Uplink)",5,Wertliste,Attribut
R9Y03A,,Switch,Uplink-Ports,4× SFP (1G),6,Wertliste,Attribut
R9Y03A,,Switch,PoE,"Ja (IEEE 802.3af/at Class 4, 30 W/Port, Budget 740 W)",7,Wertliste,Attribut
R9Y03A,,Switch,Switching-Kapazität,104 Gbit/s,8,Wertliste,Attribut
R9Y03A,,Switch,Durchsatz,"77,3 Mpps",9,Wertliste,Attribut
R9Y03A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
R9Y03A,,Switch,Stromversorgung,"Internes Festnetzteil (nicht hot-swap, nicht feldaustauschbar)",11,Wertliste,Attribut
R9Y03A,,Switch,Kühlung,Feste Lüfter (nicht austauschbar),12,Wertliste,Attribut
R9Y03A,,Switch,Stacking,Nein,13,Wertliste,Attribut
R9Y03A,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
R9Y03A,,Switch,Anwendung,"Entry-Level-Campus-Access (Layer 2, AOS-CX) mit Class-4-PoE für Access Points und IP-Telefone",15,Wertliste,Attribut
R8N85A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
R8N85A,,Switch,Layer,L2,2,Wertliste,Attribut
R8N85A,,Switch,Portanzahl,52,3,Wertliste,Attribut
R8N85A,,Switch,Port-Konfiguration,"48× 1G-RJ45 (10/100/1000BASE-T, Class 4 PoE, 30 W) + 4× SFP (1G) (Uplink)",4,Wertliste,Attribut
R8N85A,,Switch,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45, Access), 1 GbE (SFP-Uplink)",5,Wertliste,Attribut
R8N85A,,Switch,Uplink-Ports,4× SFP (1G),6,Wertliste,Attribut
R8N85A,,Switch,PoE,"Ja (IEEE 802.3af/at Class 4, 30 W/Port, Budget 370 W)",7,Wertliste,Attribut
R8N85A,,Switch,Switching-Kapazität,104 Gbit/s,8,Wertliste,Attribut
R8N85A,,Switch,Durchsatz,"77,3 Mpps",9,Wertliste,Attribut
R8N85A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
R8N85A,,Switch,Stromversorgung,"Internes Festnetzteil (nicht hot-swap, nicht feldaustauschbar)",11,Wertliste,Attribut
R8N85A,,Switch,Kühlung,Feste Lüfter (nicht austauschbar),12,Wertliste,Attribut
R8N85A,,Switch,Stacking,Nein,13,Wertliste,Attribut
R8N85A,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
R8N85A,,Switch,Anwendung,"Entry-Level-Campus-Access (Layer 2, AOS-CX) mit Class-4-PoE für Access Points und IP-Telefone",15,Wertliste,Attribut
R8N86A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
R8N86A,,Switch,Layer,L2,2,Wertliste,Attribut
R8N86A,,Switch,Portanzahl,52,3,Wertliste,Attribut
R8N86A,,Switch,Port-Konfiguration,"48× 1G-RJ45 (10/100/1000BASE-T, ohne PoE) + 4× SFP (1G) (Uplink)",4,Wertliste,Attribut
R8N86A,,Switch,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45, Access), 1 GbE (SFP-Uplink)",5,Wertliste,Attribut
R8N86A,,Switch,Uplink-Ports,4× SFP (1G),6,Wertliste,Attribut
R8N86A,,Switch,PoE,Nein,7,Wertliste,Attribut
R8N86A,,Switch,Switching-Kapazität,104 Gbit/s,8,Wertliste,Attribut
R8N86A,,Switch,Durchsatz,"77,3 Mpps",9,Wertliste,Attribut
R8N86A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
R8N86A,,Switch,Stromversorgung,"Internes Festnetzteil (nicht hot-swap, nicht feldaustauschbar)",11,Wertliste,Attribut
R8N86A,,Switch,Kühlung,Feste Lüfter (nicht austauschbar),12,Wertliste,Attribut
R8N86A,,Switch,Stacking,Nein,13,Wertliste,Attribut
R8N86A,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
R8N86A,,Switch,Anwendung,"Entry-Level-Campus-Access (Layer 2, AOS-CX) ohne PoE für Arbeitsplatz-Anbindung",15,Wertliste,Attribut
R8N87A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
R8N87A,,Switch,Layer,L2,2,Wertliste,Attribut
R8N87A,,Switch,Portanzahl,28,3,Wertliste,Attribut
R8N87A,,Switch,Port-Konfiguration,"24× 1G-RJ45 (10/100/1000BASE-T, Class 4 PoE, 30 W) + 4× SFP (1G) (Uplink)",4,Wertliste,Attribut
R8N87A,,Switch,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45, Access), 1 GbE (SFP-Uplink)",5,Wertliste,Attribut
R8N87A,,Switch,Uplink-Ports,4× SFP (1G),6,Wertliste,Attribut
R8N87A,,Switch,PoE,"Ja (IEEE 802.3af/at Class 4, 30 W/Port, Budget 370 W)",7,Wertliste,Attribut
R8N87A,,Switch,Switching-Kapazität,56 Gbit/s,8,Wertliste,Attribut
R8N87A,,Switch,Durchsatz,"41,6 Mpps",9,Wertliste,Attribut
R8N87A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
R8N87A,,Switch,Stromversorgung,"Internes Festnetzteil (nicht hot-swap, nicht feldaustauschbar)",11,Wertliste,Attribut
R8N87A,,Switch,Kühlung,Feste Lüfter (nicht austauschbar),12,Wertliste,Attribut
R8N87A,,Switch,Stacking,Nein,13,Wertliste,Attribut
R8N87A,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
R8N87A,,Switch,Anwendung,"Entry-Level-Campus-Access (Layer 2, AOS-CX) mit Class-4-PoE für Access Points und IP-Telefone",15,Wertliste,Attribut
R8N88A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
R8N88A,,Switch,Layer,L2,2,Wertliste,Attribut
