Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
JL724A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL724B,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0M86A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL725A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL725B,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0M87A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL726A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL726B,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0M88A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL727A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL727B,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0M89A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL728A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL728B,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0M90A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0M81A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0G13A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0M82A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0G14A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0M83A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0G15A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0M84A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0G16A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0M85A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0G17A,,condition,Funktionsattribut,Wertliste,Deutsch,new
R8Q72A,,condition,Funktionsattribut,Wertliste,Deutsch,new
R8V13A,,condition,Funktionsattribut,Wertliste,Deutsch,new
