Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
JL665A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
JL665A,,Switch,Layer,L3,2,Wertliste,Attribut
JL665A,,Switch,Portanzahl,52,3,Wertliste,Attribut
JL665A,,Switch,Port-Konfiguration,"48× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP56 (1/10/25/50G) (Uplink)",4,Wertliste,Attribut
JL665A,,Switch,Port-Geschwindigkeit,"1 GbE (10/100/1000BASE-T, Access), bis 50 GbE (SFP56-Uplink)",5,Wertliste,Attribut
JL665A,,Switch,Uplink-Ports,4× SFP56 (1/10/25/50G),6,Wertliste,Attribut
JL665A,,Switch,PoE,"Ja (IEEE 802.3at/bt Class 4, 30 W/Port, Budget 740 W)",7,Wertliste,Attribut
JL665A,,Switch,Switching-Kapazität,496 Gbit/s,8,Wertliste,Attribut
JL665A,,Switch,Durchsatz,369 Mpps,9,Wertliste,Attribut
JL665A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
JL665A,,Switch,Stromversorgung,"Internes Festnetzteil 950 W (nicht hot-swap, nicht feldaustauschbar)",11,Wertliste,Attribut
JL665A,,Switch,Kühlung,"Feste Lüfter (nicht austauschbar), Airflow front-to-back",12,Wertliste,Attribut
JL665A,,Switch,Stacking,"Ja (Aruba VSF, bis 10 Einheiten, bis 400 Gbit/s, über die SFP56-Uplinks)",13,Wertliste,Attribut
JL665A,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
JL665A,,Switch,Anwendung,"Campus-Access (Layer 3, AOS-CX) mit PoE-Versorgung für Access Points, IP-Telefone und Kameras; Dynamic Segmentation, VSF-Stacking über die SFP56-Uplinks",15,Wertliste,Attribut
JL666A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
JL666A,,Switch,Layer,L3,2,Wertliste,Attribut
JL666A,,Switch,Portanzahl,28,3,Wertliste,Attribut
JL666A,,Switch,Port-Konfiguration,"24× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP56 (1/10/25/50G) (Uplink)",4,Wertliste,Attribut
JL666A,,Switch,Port-Geschwindigkeit,"1 GbE (10/100/1000BASE-T, Access), bis 50 GbE (SFP56-Uplink)",5,Wertliste,Attribut
JL666A,,Switch,Uplink-Ports,4× SFP56 (1/10/25/50G),6,Wertliste,Attribut
JL666A,,Switch,PoE,"Ja (IEEE 802.3at/bt Class 4, 30 W/Port, Budget 370 W)",7,Wertliste,Attribut
JL666A,,Switch,Switching-Kapazität,448 Gbit/s,8,Wertliste,Attribut
JL666A,,Switch,Durchsatz,334 Mpps,9,Wertliste,Attribut
JL666A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
JL666A,,Switch,Stromversorgung,"Internes Festnetzteil 950 W (nicht hot-swap, nicht feldaustauschbar)",11,Wertliste,Attribut
JL666A,,Switch,Kühlung,"Feste Lüfter (nicht austauschbar), Airflow front-to-back",12,Wertliste,Attribut
JL666A,,Switch,Stacking,"Ja (Aruba VSF, bis 10 Einheiten, bis 400 Gbit/s, über die SFP56-Uplinks)",13,Wertliste,Attribut
JL666A,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
JL666A,,Switch,Anwendung,"Campus-Access (Layer 3, AOS-CX) mit PoE-Versorgung für Access Points, IP-Telefone und Kameras; Dynamic Segmentation, VSF-Stacking über die SFP56-Uplinks",15,Wertliste,Attribut
JL667A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
JL667A,,Switch,Layer,L3,2,Wertliste,Attribut
JL667A,,Switch,Portanzahl,52,3,Wertliste,Attribut
JL667A,,Switch,Port-Konfiguration,48× 10/100/1000BASE-T (ohne PoE) + 4× SFP56 (1/10/25/50G) (Uplink),4,Wertliste,Attribut
JL667A,,Switch,Port-Geschwindigkeit,"1 GbE (10/100/1000BASE-T, Access), bis 50 GbE (SFP56-Uplink)",5,Wertliste,Attribut
JL667A,,Switch,Uplink-Ports,4× SFP56 (1/10/25/50G),6,Wertliste,Attribut
JL667A,,Switch,PoE,Nein,7,Wertliste,Attribut
JL667A,,Switch,Switching-Kapazität,496 Gbit/s,8,Wertliste,Attribut
JL667A,,Switch,Durchsatz,369 Mpps,9,Wertliste,Attribut
JL667A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
JL667A,,Switch,Stromversorgung,"Internes Festnetzteil 200 W (nicht hot-swap, nicht feldaustauschbar)",11,Wertliste,Attribut
JL667A,,Switch,Kühlung,"Feste Lüfter (nicht austauschbar), Airflow front-to-back",12,Wertliste,Attribut
JL667A,,Switch,Stacking,"Ja (Aruba VSF, bis 10 Einheiten, bis 400 Gbit/s, über die SFP56-Uplinks)",13,Wertliste,Attribut
JL667A,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
JL667A,,Switch,Anwendung,"Campus-Access (Layer 3, AOS-CX) ohne PoE für Arbeitsplatz-Anbindung und Uplink-Verdichtung; Dynamic Segmentation, VSF-Stacking über die SFP56-Uplinks",15,Wertliste,Attribut
JL668A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
JL668A,,Switch,Layer,L3,2,Wertliste,Attribut
JL668A,,Switch,Portanzahl,28,3,Wertliste,Attribut
JL668A,,Switch,Port-Konfiguration,24× 10/100/1000BASE-T (ohne PoE) + 4× SFP56 (1/10/25/50G) (Uplink),4,Wertliste,Attribut
JL668A,,Switch,Port-Geschwindigkeit,"1 GbE (10/100/1000BASE-T, Access), bis 50 GbE (SFP56-Uplink)",5,Wertliste,Attribut
JL668A,,Switch,Uplink-Ports,4× SFP56 (1/10/25/50G),6,Wertliste,Attribut
JL668A,,Switch,PoE,Nein,7,Wertliste,Attribut
JL668A,,Switch,Switching-Kapazität,448 Gbit/s,8,Wertliste,Attribut
JL668A,,Switch,Durchsatz,334 Mpps,9,Wertliste,Attribut
JL668A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
JL668A,,Switch,Stromversorgung,"Internes Festnetzteil 200 W (nicht hot-swap, nicht feldaustauschbar)",11,Wertliste,Attribut
JL668A,,Switch,Kühlung,"Feste Lüfter (nicht austauschbar), Airflow front-to-back",12,Wertliste,Attribut
JL668A,,Switch,Stacking,"Ja (Aruba VSF, bis 10 Einheiten, bis 400 Gbit/s, über die SFP56-Uplinks)",13,Wertliste,Attribut
JL668A,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
JL668A,,Switch,Anwendung,"Campus-Access (Layer 3, AOS-CX) ohne PoE für Arbeitsplatz-Anbindung und Uplink-Verdichtung; Dynamic Segmentation, VSF-Stacking über die SFP56-Uplinks",15,Wertliste,Attribut
S0G95A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
S0G95A,,Switch,Layer,L3,2,Wertliste,Attribut
S0G95A,,Switch,Portanzahl,52,3,Wertliste,Attribut
S0G95A,,Switch,Port-Konfiguration,"48× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP56 (1/10/25/50G) (Uplink)",4,Wertliste,Attribut
S0G95A,,Switch,Port-Geschwindigkeit,"1 GbE (10/100/1000BASE-T, Access), bis 50 GbE (SFP56-Uplink)",5,Wertliste,Attribut
S0G95A,,Switch,Uplink-Ports,4× SFP56 (1/10/25/50G),6,Wertliste,Attribut
S0G95A,,Switch,PoE,"Ja (IEEE 802.3at/bt Class 4, 30 W/Port, Budget 740 W)",7,Wertliste,Attribut
S0G95A,,Switch,Switching-Kapazität,496 Gbit/s,8,Wertliste,Attribut
S0G95A,,Switch,Durchsatz,369 Mpps,9,Wertliste,Attribut
S0G95A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
S0G95A,,Switch,Stromversorgung,"Internes Festnetzteil 950 W (nicht hot-swap, nicht feldaustauschbar)",11,Wertliste,Attribut
S0G95A,,Switch,Kühlung,"Feste Lüfter (nicht austauschbar), Airflow front-to-back",12,Wertliste,Attribut
S0G95A,,Switch,Stacking,"Ja (Aruba VSF, bis 10 Einheiten, bis 400 Gbit/s, über die SFP56-Uplinks)",13,Wertliste,Attribut
S0G95A,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
S0G95A,,Switch,Anwendung,"Campus-Access (Layer 3, AOS-CX) mit PoE-Versorgung für Access Points, IP-Telefone und Kameras; Dynamic Segmentation, VSF-Stacking über die SFP56-Uplinks",15,Wertliste,Attribut
S0G96A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
S0G96A,,Switch,Layer,L3,2,Wertliste,Attribut
S0G96A,,Switch,Portanzahl,28,3,Wertliste,Attribut
S0G96A,,Switch,Port-Konfiguration,"24× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP56 (1/10/25/50G) (Uplink)",4,Wertliste,Attribut
S0G96A,,Switch,Port-Geschwindigkeit,"1 GbE (10/100/1000BASE-T, Access), bis 50 GbE (SFP56-Uplink)",5,Wertliste,Attribut
S0G96A,,Switch,Uplink-Ports,4× SFP56 (1/10/25/50G),6,Wertliste,Attribut
S0G96A,,Switch,PoE,"Ja (IEEE 802.3at/bt Class 4, 30 W/Port, Budget 370 W)",7,Wertliste,Attribut
S0G96A,,Switch,Switching-Kapazität,448 Gbit/s,8,Wertliste,Attribut
S0G96A,,Switch,Durchsatz,334 Mpps,9,Wertliste,Attribut
S0G96A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
S0G96A,,Switch,Stromversorgung,"Internes Festnetzteil 950 W (nicht hot-swap, nicht feldaustauschbar)",11,Wertliste,Attribut
S0G96A,,Switch,Kühlung,"Feste Lüfter (nicht austauschbar), Airflow front-to-back",12,Wertliste,Attribut
S0G96A,,Switch,Stacking,"Ja (Aruba VSF, bis 10 Einheiten, bis 400 Gbit/s, über die SFP56-Uplinks)",13,Wertliste,Attribut
S0G96A,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
S0G96A,,Switch,Anwendung,"Campus-Access (Layer 3, AOS-CX) mit PoE-Versorgung für Access Points, IP-Telefone und Kameras; Dynamic Segmentation, VSF-Stacking über die SFP56-Uplinks",15,Wertliste,Attribut
S0G97A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
S0G97A,,Switch,Layer,L3,2,Wertliste,Attribut
S0G97A,,Switch,Portanzahl,52,3,Wertliste,Attribut
S0G97A,,Switch,Port-Konfiguration,48× 10/100/1000BASE-T (ohne PoE) + 4× SFP56 (1/10/25/50G) (Uplink),4,Wertliste,Attribut
S0G97A,,Switch,Port-Geschwindigkeit,"1 GbE (10/100/1000BASE-T, Access), bis 50 GbE (SFP56-Uplink)",5,Wertliste,Attribut
S0G97A,,Switch,Uplink-Ports,4× SFP56 (1/10/25/50G),6,Wertliste,Attribut
S0G97A,,Switch,PoE,Nein,7,Wertliste,Attribut
S0G97A,,Switch,Switching-Kapazität,496 Gbit/s,8,Wertliste,Attribut
S0G97A,,Switch,Durchsatz,369 Mpps,9,Wertliste,Attribut
S0G97A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
S0G97A,,Switch,Stromversorgung,"Internes Festnetzteil 200 W (nicht hot-swap, nicht feldaustauschbar)",11,Wertliste,Attribut
S0G97A,,Switch,Kühlung,"Feste Lüfter (nicht austauschbar), Airflow front-to-back",12,Wertliste,Attribut
S0G97A,,Switch,Stacking,"Ja (Aruba VSF, bis 10 Einheiten, bis 400 Gbit/s, über die SFP56-Uplinks)",13,Wertliste,Attribut
S0G97A,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
