Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
JL658A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
JL658A,,Switch,Layer,L3,2,Wertliste,Attribut
JL658A,,Switch,Portanzahl,28,3,Wertliste,Attribut
JL658A,,Switch,Port-Konfiguration,24× 1/10G-SFP+ + 4× SFP56 (1/10/25/50G) (Uplink),4,Wertliste,Attribut
JL658A,,Switch,Port-Geschwindigkeit,"1/10 GbE (SFP+, Access), bis 50 GbE (SFP56-Uplink)",5,Wertliste,Attribut
JL658A,,Switch,Uplink-Ports,4× SFP56 (1/10/25/50G),6,Wertliste,Attribut
JL658A,,Switch,PoE,Nein,7,Wertliste,Attribut
JL658A,,Switch,Switching-Kapazität,880 Gbit/s,8,Wertliste,Attribut
JL658A,,Switch,Durchsatz,654 Mpps,9,Wertliste,Attribut
JL658A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
JL658A,,Switch,Stromversorgung,"2 Hot-Swap-Netzteilschächte (mindestens 1 erforderlich, separat bestellt)",11,Wertliste,Attribut
JL658A,,Switch,Kühlung,"2 feldaustauschbare Hot-Swap-Lüftereinschübe (front-to-back), je 2 Lüfter",12,Wertliste,Attribut
JL658A,,Switch,Stacking,"Ja (Aruba VSF, bis 10 Einheiten, bis 400 Gbit/s, über die SFP56-Uplinks)",13,Wertliste,Attribut
JL658A,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
JL658A,,Switch,Anwendung,"Aggregations- und Server-Access (1/10G-SFP+), Layer 3 unter AOS-CX, VSF-Stacking, 50G-SFP56-Uplinks",15,Wertliste,Attribut
JL659A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
JL659A,,Switch,Layer,L3,2,Wertliste,Attribut
JL659A,,Switch,Portanzahl,52,3,Wertliste,Attribut
JL659A,,Switch,Port-Konfiguration,"48× HPE Smart Rate 100M/1/2.5/5G-BASE-T (Class 6 PoE, 60 W) + 4× SFP56 (1/10/25/50G) (Uplink)",4,Wertliste,Attribut
