Artikelnummer;Artikelname;Kurzbeschreibung;Beschreibung;URL-Pfad;Artikelgewicht;Versandgewicht;HAN;Hersteller;Versandklasse;Verkaufseinheit;Titel-Tag (SEO);Meta-Description (SEO);Kategorie Ebene 1;Kategorie Ebene 2;Kategorie Ebene 3;Überverkauf Plattform Hexwaren;Bestandsführung aktiv;Überverkäufe möglich
JL658A;HPE Aruba Networking CX 6300M JL658A Managed Switch (L3) – 24× 1/10G-SFP+ + 4× SFP56 (1/10/25/50G), 19-Zoll (1 HE);<p>Der HPE Aruba Networking CX 6300M JL658A ist ein gemanagter Layer-3-Switch der Aruba-CX-6300-Serie mit 24× 1/10G-SFP+. Unter AOS-CX übernimmt er Routing und Segmentierung im Campus-Access- und -Aggregations-Layer.</p><p>Im 19-Zoll-Gehäuse (1 HE) liefert er eine Switching-Kapazität von 880 Gbit/s und bindet per 4× SFP56 (1/10/25/50G) an das Aggregations-Netz an.</p>;<p>Der HPE Aruba Networking CX 6300M JL658A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-6300-Familie mit 24× 1/10G-SFP+, ausgelegt für aggregations- und server-access (1/10g-sfp+) und betrieben unter AOS-CX.</p><p>Mit 28 Ports erreicht der JL658A eine Switching-Kapazität von 880 Gbit/s bei einer Weiterleitungsrate von 654 Mpps. Der JL658A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des JL658A erfolgt über 4× SFP56 (1/10/25/50G), und per Aruba VSF (Virtual Switching Framework) lassen sich bis zu zehn Einheiten zu einem logischen Switch zusammenfassen.</p><p>Im 19-Zoll-Gehäuse (1 HE) mit 2 feldaustauschbare Hot-Swap-Lüftereinschübe (front-to-back) und 2 Hot-Swap-Netzteilschächte (mindestens 1 erforderlich, separat bestellt) arbeitet der JL658A im Temperaturbereich 0 bis 45 °C. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>;hpe-aruba/jl658a;5,80;7,80;JL658A;HP;standard;Stk;HPE Aruba CX 6300M JL658A Switch | Hexwaren;Original HPE Aruba Networking CX 6300M JL658A: gemanagter Layer-3-Switch mit 24× 1/10G-SFP+, Switching-Kapazität 880 Gbit/s, 4× SFP56 (1/10/25/50G)-Uplinks, VSF-Stacking, ohne PoE, 19-Zoll (1 HE).;Netzwerk & Infrastruktur;Switches;Aruba CX 6300M Switches;TRUE;Y;Y
JL659A;HPE Aruba Networking CX 6300M JL659A Managed Switch (L3) – 48× HPE Smart Rate 100M/1/2.5/5G-BASE-T (Class 6 PoE, 60 W) + 4× SFP56 (1/10/25/50G), 19-Zoll (1 HE);<p>Der HPE Aruba Networking CX 6300M JL659A ist ein gemanagter Layer-3-Switch der Aruba-CX-6300-Serie mit 48× HPE Smart Rate 100M/1/2.5/5G-BASE-T (Class 6 PoE, 60 W). Unter AOS-CX übernimmt er Routing und Segmentierung im Campus-Access- und -Aggregations-Layer.</p><p>Im 19-Zoll-Gehäuse (1 HE) liefert er eine Switching-Kapazität von 880 Gbit/s und bindet per 4× SFP56 (1/10/25/50G) an das Aggregations-Netz an. Über Power over Ethernet versorgt der JL659A angeschlossene Endgeräte direkt per Netzwerkkabel.</p>;<p>Der HPE Aruba Networking CX 6300M JL659A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-6300-Familie mit 48× HPE Smart Rate 100M/1/2.5/5G-BASE-T (Class 6 PoE, 60 W), ausgelegt für campus-access für wi-fi-6/6e-access-points (multigigabit smart rate und betrieben unter AOS-CX.</p><p>Mit 52 Ports erreicht der JL659A eine Switching-Kapazität von 880 Gbit/s bei einer Weiterleitungsrate von 654 Mpps. Der JL659A versorgt Access Points, IP-Telefone und Kameras per Power over Ethernet direkt über das Netzwerkkabel. Die Uplink-Anbindung des JL659A erfolgt über 4× SFP56 (1/10/25/50G), und per Aruba VSF (Virtual Switching Framework) lassen sich bis zu zehn Einheiten zu einem logischen Switch zusammenfassen.</p><p>Im 19-Zoll-Gehäuse (1 HE) mit 2 feldaustauschbare Hot-Swap-Lüftereinschübe (front-to-back) und 2 Hot-Swap-Netzteilschächte (mindestens 1 erforderlich, separat bestellt) arbeitet der JL659A im Temperaturbereich 0 bis 45 °C. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>;hpe-aruba/jl659a;6,71;8,71;JL659A;HP;standard;Stk;HPE Aruba CX 6300M JL659A Switch | Hexwaren;Original HPE Aruba Networking CX 6300M JL659A: gemanagter Layer-3-Switch mit 48× HPE Smart Rate 100M/1/2. 5/5G-BASE-T (Class 6 PoE, 60 W), Switching-Kapazität 880 Gbit/s, 4× SFP56 (1/10/25/50G)-Uplink;Netzwerk & Infrastruktur;Switches;Aruba CX 6300M Switches;TRUE;Y;Y
JL660A;HPE Aruba Networking CX 6300M JL660A Managed Switch (L3) – 24× HPE Smart Rate 100M/1/2.5/5G-BASE-T (Class 6 PoE, 60 W) + 4× SFP56 (1/10/25/50G), 19-Zoll (1 HE);<p>Der HPE Aruba Networking CX 6300M JL660A ist ein gemanagter Layer-3-Switch der Aruba-CX-6300-Serie mit 24× HPE Smart Rate 100M/1/2.5/5G-BASE-T (Class 6 PoE, 60 W). Unter AOS-CX übernimmt er Routing und Segmentierung im Campus-Access- und -Aggregations-Layer.</p><p>Im 19-Zoll-Gehäuse (1 HE) liefert er eine Switching-Kapazität von 640 Gbit/s und bindet per 4× SFP56 (1/10/25/50G) an das Aggregations-Netz an. Über Power over Ethernet versorgt der JL660A angeschlossene Endgeräte direkt per Netzwerkkabel.</p>;<p>Der HPE Aruba Networking CX 6300M JL660A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-6300-Familie mit 24× HPE Smart Rate 100M/1/2.5/5G-BASE-T (Class 6 PoE, 60 W), ausgelegt für campus-access für wi-fi-6/6e-access-points (multigigabit smart rate und betrieben unter AOS-CX.</p><p>Mit 28 Ports erreicht der JL660A eine Switching-Kapazität von 640 Gbit/s bei einer Weiterleitungsrate von 476 Mpps. Der JL660A versorgt Access Points, IP-Telefone und Kameras per Power over Ethernet direkt über das Netzwerkkabel. Die Uplink-Anbindung des JL660A erfolgt über 4× SFP56 (1/10/25/50G), und per Aruba VSF (Virtual Switching Framework) lassen sich bis zu zehn Einheiten zu einem logischen Switch zusammenfassen.</p><p>Im 19-Zoll-Gehäuse (1 HE) mit 2 feldaustauschbare Hot-Swap-Lüftereinschübe (front-to-back) und 2 Hot-Swap-Netzteilschächte (mindestens 1 erforderlich, separat bestellt) arbeitet der JL660A im Temperaturbereich 0 bis 45 °C. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>;hpe-aruba/jl660a;6,06;8,06;JL660A;HP;standard;Stk;HPE Aruba CX 6300M JL660A Switch | Hexwaren;Original HPE Aruba Networking CX 6300M JL660A: gemanagter Layer-3-Switch mit 24× HPE Smart Rate 100M/1/2. 5/5G-BASE-T (Class 6 PoE, 60 W), Switching-Kapazität 640 Gbit/s, 4× SFP56 (1/10/25/50G)-Uplink;Netzwerk & Infrastruktur;Switches;Aruba CX 6300M Switches;TRUE;Y;Y
JL661A;HPE Aruba Networking CX 6300M JL661A Managed Switch (L3) – 48× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP56 (1/10/25/50G), 19-Zoll (1 HE);<p>Der HPE Aruba Networking CX 6300M JL661A ist ein gemanagter Layer-3-Switch der Aruba-CX-6300-Serie mit 48× 10/100/1000BASE-T (Class 4 PoE, 30 W). Unter AOS-CX übernimmt er Routing und Segmentierung im Campus-Access- und -Aggregations-Layer.</p><p>Im 19-Zoll-Gehäuse (1 HE) liefert er eine Switching-Kapazität von 496 Gbit/s und bindet per 4× SFP56 (1/10/25/50G) an das Aggregations-Netz an. Über Power over Ethernet versorgt der JL661A angeschlossene Endgeräte direkt per Netzwerkkabel.</p>;<p>Der HPE Aruba Networking CX 6300M JL661A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-6300-Familie mit 48× 10/100/1000BASE-T (Class 4 PoE, 30 W), ausgelegt für campus-access (layer 3 und betrieben unter AOS-CX.</p><p>Mit 52 Ports erreicht der JL661A eine Switching-Kapazität von 496 Gbit/s bei einer Weiterleitungsrate von 369 Mpps. Der JL661A versorgt Access Points, IP-Telefone und Kameras per Power over Ethernet direkt über das Netzwerkkabel. Die Uplink-Anbindung des JL661A erfolgt über 4× SFP56 (1/10/25/50G), und per Aruba VSF (Virtual Switching Framework) lassen sich bis zu zehn Einheiten zu einem logischen Switch zusammenfassen.</p><p>Im 19-Zoll-Gehäuse (1 HE) mit 2 feldaustauschbare Hot-Swap-Lüftereinschübe (front-to-back) und 2 Hot-Swap-Netzteilschächte (mindestens 1 erforderlich, separat bestellt) arbeitet der JL661A im Temperaturbereich 0 bis 45 °C. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>;hpe-aruba/jl661a;5,72;7,72;JL661A;HP;standard;Stk;HPE Aruba CX 6300M JL661A Switch | Hexwaren;Original HPE Aruba Networking CX 6300M JL661A: gemanagter Layer-3-Switch mit 48× 10/100/1000BASE-T (Class 4 PoE, 30 W), Switching-Kapazität 496 Gbit/s, 4× SFP56 (1/10/25/50G)-Uplinks, VSF-Stacking, Po;Netzwerk & Infrastruktur;Switches;Aruba CX 6300M Switches;TRUE;Y;Y
JL662A;HPE Aruba Networking CX 6300M JL662A Managed Switch (L3) – 24× 10/100/1000BASE-T (Class 4 PoE, 30 W) + 4× SFP56 (1/10/25/50G), 19-Zoll (1 HE);<p>Der HPE Aruba Networking CX 6300M JL662A ist ein gemanagter Layer-3-Switch der Aruba-CX-6300-Serie mit 24× 10/100/1000BASE-T (Class 4 PoE, 30 W). Unter AOS-CX übernimmt er Routing und Segmentierung im Campus-Access- und -Aggregations-Layer.</p><p>Im 19-Zoll-Gehäuse (1 HE) liefert er eine Switching-Kapazität von 448 Gbit/s und bindet per 4× SFP56 (1/10/25/50G) an das Aggregations-Netz an. Über Power over Ethernet versorgt der JL662A angeschlossene Endgeräte direkt per Netzwerkkabel.</p>;<p>Der HPE Aruba Networking CX 6300M JL662A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-6300-Familie mit 24× 10/100/1000BASE-T (Class 4 PoE, 30 W), ausgelegt für campus-access (layer 3 und betrieben unter AOS-CX.</p><p>Mit 28 Ports erreicht der JL662A eine Switching-Kapazität von 448 Gbit/s bei einer Weiterleitungsrate von 334 Mpps. Der JL662A versorgt Access Points, IP-Telefone und Kameras per Power over Ethernet direkt über das Netzwerkkabel. Die Uplink-Anbindung des JL662A erfolgt über 4× SFP56 (1/10/25/50G), und per Aruba VSF (Virtual Switching Framework) lassen sich bis zu zehn Einheiten zu einem logischen Switch zusammenfassen.</p><p>Im 19-Zoll-Gehäuse (1 HE) mit 2 feldaustauschbare Hot-Swap-Lüftereinschübe (front-to-back) und 2 Hot-Swap-Netzteilschächte (mindestens 1 erforderlich, separat bestellt) arbeitet der JL662A im Temperaturbereich 0 bis 45 °C. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>;hpe-aruba/jl662a;5,55;7,55;JL662A;HP;standard;Stk;HPE Aruba CX 6300M JL662A Switch | Hexwaren;Original HPE Aruba Networking CX 6300M JL662A: gemanagter Layer-3-Switch mit 24× 10/100/1000BASE-T (Class 4 PoE, 30 W), Switching-Kapazität 448 Gbit/s, 4× SFP56 (1/10/25/50G)-Uplinks, VSF-Stacking, Po;Netzwerk & Infrastruktur;Switches;Aruba CX 6300M Switches;TRUE;Y;Y
JL663A;HPE Aruba Networking CX 6300M JL663A Managed Switch (L3) – 48× 10/100/1000BASE-T (ohne PoE) + 4× SFP56 (1/10/25/50G), 19-Zoll (1 HE);<p>Der HPE Aruba Networking CX 6300M JL663A ist ein gemanagter Layer-3-Switch der Aruba-CX-6300-Serie mit 48× 10/100/1000BASE-T (ohne PoE). Unter AOS-CX übernimmt er Routing und Segmentierung im Campus-Access- und -Aggregations-Layer.</p><p>Im 19-Zoll-Gehäuse (1 HE) liefert er eine Switching-Kapazität von 496 Gbit/s und bindet per 4× SFP56 (1/10/25/50G) an das Aggregations-Netz an.</p>;<p>Der HPE Aruba Networking CX 6300M JL663A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-6300-Familie mit 48× 10/100/1000BASE-T (ohne PoE), ausgelegt für campus-access/aggregation (layer 3 und betrieben unter AOS-CX.</p><p>Mit 52 Ports erreicht der JL663A eine Switching-Kapazität von 496 Gbit/s bei einer Weiterleitungsrate von 369 Mpps. Der JL663A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des JL663A erfolgt über 4× SFP56 (1/10/25/50G), und per Aruba VSF (Virtual Switching Framework) lassen sich bis zu zehn Einheiten zu einem logischen Switch zusammenfassen.</p><p>Im 19-Zoll-Gehäuse (1 HE) mit 2 feldaustauschbare Hot-Swap-Lüftereinschübe (front-to-back) und 2 Hot-Swap-Netzteilschächte (mindestens 1 erforderlich, separat bestellt) arbeitet der JL663A im Temperaturbereich 0 bis 45 °C. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>;hpe-aruba/jl663a;5,51;7,51;JL663A;HP;standard;Stk;HPE Aruba CX 6300M JL663A Switch | Hexwaren;Original HPE Aruba Networking CX 6300M JL663A: gemanagter Layer-3-Switch mit 48× 10/100/1000BASE-T (ohne PoE), Switching-Kapazität 496 Gbit/s, 4× SFP56 (1/10/25/50G)-Uplinks, VSF-Stacking, ohne PoE, 1;Netzwerk & Infrastruktur;Switches;Aruba CX 6300M Switches;TRUE;Y;Y
JL664A;HPE Aruba Networking CX 6300M JL664A Managed Switch (L3) – 24× 10/100/1000BASE-T (ohne PoE) + 4× SFP56 (1/10/25/50G), 19-Zoll (1 HE);<p>Der HPE Aruba Networking CX 6300M JL664A ist ein gemanagter Layer-3-Switch der Aruba-CX-6300-Serie mit 24× 10/100/1000BASE-T (ohne PoE). Unter AOS-CX übernimmt er Routing und Segmentierung im Campus-Access- und -Aggregations-Layer.</p><p>Im 19-Zoll-Gehäuse (1 HE) liefert er eine Switching-Kapazität von 448 Gbit/s und bindet per 4× SFP56 (1/10/25/50G) an das Aggregations-Netz an.</p>;<p>Der HPE Aruba Networking CX 6300M JL664A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-6300-Familie mit 24× 10/100/1000BASE-T (ohne PoE), ausgelegt für campus-access/aggregation (layer 3 und betrieben unter AOS-CX.</p><p>Mit 28 Ports erreicht der JL664A eine Switching-Kapazität von 448 Gbit/s bei einer Weiterleitungsrate von 334 Mpps. Der JL664A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des JL664A erfolgt über 4× SFP56 (1/10/25/50G), und per Aruba VSF (Virtual Switching Framework) lassen sich bis zu zehn Einheiten zu einem logischen Switch zusammenfassen.</p><p>Im 19-Zoll-Gehäuse (1 HE) mit 2 feldaustauschbare Hot-Swap-Lüftereinschübe (front-to-back) und 2 Hot-Swap-Netzteilschächte (mindestens 1 erforderlich, separat bestellt) arbeitet der JL664A im Temperaturbereich 0 bis 45 °C. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>;hpe-aruba/jl664a;5,43;7,43;JL664A;HP;standard;Stk;HPE Aruba CX 6300M JL664A Switch | Hexwaren;Original HPE Aruba Networking CX 6300M JL664A: gemanagter Layer-3-Switch mit 24× 10/100/1000BASE-T (ohne PoE), Switching-Kapazität 448 Gbit/s, 4× SFP56 (1/10/25/50G)-Uplinks, VSF-Stacking, ohne PoE, 1;Netzwerk & Infrastruktur;Switches;Aruba CX 6300M Switches;TRUE;Y;Y
JL762A;HPE Aruba Networking CX 6300M JL762A Managed Switch (L3) – 48× 10/100/1000BASE-T (ohne PoE) + 4× SFP56 (1/10/25/50G), 19-Zoll (1 HE);<p>Der HPE Aruba Networking CX 6300M JL762A ist ein gemanagter Layer-3-Switch der Aruba-CX-6300-Serie mit 48× 10/100/1000BASE-T (ohne PoE). Unter AOS-CX übernimmt er Routing und Segmentierung im Campus-Access- und -Aggregations-Layer.</p><p>Im 19-Zoll-Gehäuse (1 HE) liefert er eine Switching-Kapazität von 496 Gbit/s und bindet per 4× SFP56 (1/10/25/50G) an das Aggregations-Netz an.</p>;<p>Der HPE Aruba Networking CX 6300M JL762A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-6300-Familie mit 48× 10/100/1000BASE-T (ohne PoE), ausgelegt für rechenzentrums-tor/oobm-bundle: 1gbe-server- und management-anbindung mit back-to-front-airflow (power-to-port) und betrieben unter AOS-CX.</p><p>Mit 52 Ports erreicht der JL762A eine Switching-Kapazität von 496 Gbit/s bei einer Weiterleitungsrate von 369 Mpps. Der JL762A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des JL762A erfolgt über 4× SFP56 (1/10/25/50G), und per Aruba VSF (Virtual Switching Framework) lassen sich bis zu zehn Einheiten zu einem logischen Switch zusammenfassen.</p><p>Im 19-Zoll-Gehäuse (1 HE) mit 2 feldaustauschbare Hot-Swap-Lüftereinschübe (back-to-front, Power-to-Port) und Power-to-Port-Bundle: 1× JL760A-Netzteil vorinstalliert (2 Hot-Swap-Schächte, zweites optional separat) arbeitet der JL762A im Temperaturbereich 0 bis 45 °C. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>;hpe-aruba/jl762a;5,70;7,70;JL762A;HP;standard;Stk;HPE Aruba CX 6300M JL762A Switch | Hexwaren;Original HPE Aruba Networking CX 6300M JL762A: gemanagter Layer-3-Switch mit 48× 10/100/1000BASE-T (ohne PoE), Switching-Kapazität 496 Gbit/s, 4× SFP56 (1/10/25/50G)-Uplinks, VSF-Stacking, ohne PoE, 1;Netzwerk & Infrastruktur;Switches;Aruba CX 6300M Switches;TRUE;Y;Y
S0E91A;HPE Aruba Networking CX 6300M S0E91A Managed Switch (L3) – 48× HPE Smart Rate 100M/1/2.5/5/10G-BASE-T (Class 8 PoE, 90 W, MACsec) + 4× QSFP28 (10/25/40/100G, MACsec), 19-Zoll (1 HE);<p>Der HPE Aruba Networking CX 6300M S0E91A ist ein gemanagter Layer-3-Switch der Aruba-CX-6300-Serie mit 48× HPE Smart Rate 100M/1/2.5/5/10G-BASE-T (Class 8 PoE, 90 W, MACsec). Unter AOS-CX übernimmt er Routing und Segmentierung im Campus-Access- und -Aggregations-Layer.</p><p>Im 19-Zoll-Gehäuse (1 HE) liefert er eine Switching-Kapazität von 1760 Gbit/s und bindet per 4× QSFP28 (10/25/40/100G, MACsec) an das Aggregations-Netz an. Über Power over Ethernet versorgt der S0E91A angeschlossene Endgeräte direkt per Netzwerkkabel.</p>;<p>Der HPE Aruba Networking CX 6300M S0E91A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-6300-Familie mit 48× HPE Smart Rate 100M/1/2.5/5/10G-BASE-T (Class 8 PoE, 90 W, MACsec), ausgelegt für high-density-campus-aggregation/access mit 10g-smart-rate und betrieben unter AOS-CX.</p><p>Mit 52 Ports erreicht der S0E91A eine Switching-Kapazität von 1760 Gbit/s bei einer Weiterleitungsrate von 1310 Mpps. Der S0E91A versorgt Access Points, IP-Telefone und Kameras per Power over Ethernet direkt über das Netzwerkkabel. Die Uplink-Anbindung des S0E91A erfolgt über 4× QSFP28 (10/25/40/100G, MACsec), und per Aruba VSF (Virtual Switching Framework) lassen sich bis zu zehn Einheiten zu einem logischen Switch zusammenfassen.</p><p>Im 19-Zoll-Gehäuse (1 HE) mit 3 feldaustauschbare Hot-Swap-Lüftereinschübe (front-to-back) und 2 Hot-Swap-Netzteilschächte (mindestens 1 erforderlich, separat bestellt) arbeitet der S0E91A im Temperaturbereich 0 bis 45 °C. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>;hpe-aruba/s0e91a;7,75;9,75;S0E91A;HP;standard;Stk;HPE Aruba CX 6300M S0E91A Switch | Hexwaren;Original HPE Aruba Networking CX 6300M S0E91A: gemanagter Layer-3-Switch mit 48× HPE Smart Rate 100M/1/2. 5/5/10G-BASE-T (Class 8 PoE, 90 W, MACsec), Switching-Kapazität 1760 Gbit/s, 4× QSFP28 (10/25/;Netzwerk & Infrastruktur;Switches;Aruba CX 6300M Switches;TRUE;Y;Y
S0X44A;HPE Aruba Networking CX 6300M S0X44A Managed Switch (L3) – 48× HPE Smart Rate 100M/1/2.5/5/10G-BASE-T (Class 8 PoE, 90 W, MACsec) + 4× QSFP28 (10/25/40/100G, MACsec), 19-Zoll (1 HE) (TAA, Trade Agreements Act);<p>Der HPE Aruba Networking CX 6300M S0X44A ist ein gemanagter Layer-3-Switch der Aruba-CX-6300-Serie mit 48× HPE Smart Rate 100M/1/2.5/5/10G-BASE-T (Class 8 PoE, 90 W, MACsec). Unter AOS-CX übernimmt er Routing und Segmentierung im Campus-Access- und -Aggregations-Layer.</p><p>Im 19-Zoll-Gehäuse (1 HE) liefert er eine Switching-Kapazität von 1760 Gbit/s und bindet per 4× QSFP28 (10/25/40/100G, MACsec) an das Aggregations-Netz an. Über Power over Ethernet versorgt der S0X44A angeschlossene Endgeräte direkt per Netzwerkkabel.</p>;<p>Der HPE Aruba Networking CX 6300M S0X44A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-6300-Familie mit 48× HPE Smart Rate 100M/1/2.5/5/10G-BASE-T (Class 8 PoE, 90 W, MACsec), ausgelegt für high-density-campus-aggregation/access mit 10g-smart-rate und betrieben unter AOS-CX.</p><p>Mit 52 Ports erreicht der S0X44A eine Switching-Kapazität von 1760 Gbit/s bei einer Weiterleitungsrate von 1310 Mpps. Der S0X44A versorgt Access Points, IP-Telefone und Kameras per Power over Ethernet direkt über das Netzwerkkabel. Die Uplink-Anbindung des S0X44A erfolgt über 4× QSFP28 (10/25/40/100G, MACsec), und per Aruba VSF (Virtual Switching Framework) lassen sich bis zu zehn Einheiten zu einem logischen Switch zusammenfassen.</p><p>Im 19-Zoll-Gehäuse (1 HE) mit 3 feldaustauschbare Hot-Swap-Lüftereinschübe (front-to-back) und 2 Hot-Swap-Netzteilschächte (mindestens 1 erforderlich, separat bestellt) arbeitet der S0X44A im Temperaturbereich 0 bis 45 °C. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>;hpe-aruba/s0x44a;7,75;9,75;S0X44A;HP;standard;Stk;HPE Aruba CX 6300M S0X44A Switch | Hexwaren;Original HPE Aruba Networking CX 6300M S0X44A: gemanagter Layer-3-Switch mit 48× HPE Smart Rate 100M/1/2. 5/5/10G-BASE-T (Class 8 PoE, 90 W, MACsec), Switching-Kapazität 1760 Gbit/s, 4× QSFP28 (10/25/;Netzwerk & Infrastruktur;Switches;Aruba CX 6300M Switches;TRUE;Y;Y
