Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
JL658A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL659A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL660A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL661A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL662A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL663A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL664A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL762A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0E91A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0X44A,,condition,Funktionsattribut,Wertliste,Deutsch,new
R8S89A,,condition,Funktionsattribut,Wertliste,Deutsch,new
R8S90A,,condition,Funktionsattribut,Wertliste,Deutsch,new
R8S91A,,condition,Funktionsattribut,Wertliste,Deutsch,new
R8S92A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0F99A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0G00A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0G01A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0G03A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0G04A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0G05A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0G06A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0G02A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S4P41A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S4P42A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S4P43A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S4P44A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S4P45A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S4P46A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S4P47A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S4P48A,,condition,Funktionsattribut,Wertliste,Deutsch,new
