Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
JL658A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/a00085162enw,datasheet,2026-06-30T11:08:06Z
JL658A,Layer,L3,https://www.hpe.com/psnow/doc/a00085162enw,datasheet,2026-06-30T11:08:06Z
JL658A,Portanzahl,28,https://www.hpe.com/psnow/doc/a00085162enw,datasheet,2026-06-30T11:08:06Z
JL658A,Port-Konfiguration,24× 1/10G-SFP+ + 4× SFP56 (1/10/25/50G) (Uplink),https://www.hpe.com/psnow/doc/a00085162enw,datasheet,2026-06-30T11:08:06Z
JL658A,Port-Geschwindigkeit,"1/10 GbE (SFP+, Access), bis 50 GbE (SFP56-Uplink)",https://www.hpe.com/psnow/doc/a00085162enw,datasheet,2026-06-30T11:08:06Z
JL658A,Uplink-Ports,4× SFP56 (1/10/25/50G),https://www.hpe.com/psnow/doc/a00085162enw,datasheet,2026-06-30T11:08:06Z
JL658A,PoE,Nein,https://www.hpe.com/psnow/doc/a00085162enw,datasheet,2026-06-30T11:08:06Z
JL658A,Switching-Kapazität,880 Gbit/s,https://www.hpe.com/psnow/doc/a00085162enw,datasheet,2026-06-30T11:08:06Z
JL658A,Durchsatz,654 Mpps,https://www.hpe.com/psnow/doc/a00085162enw,datasheet,2026-06-30T11:08:06Z
JL658A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/a00085162enw,datasheet,2026-06-30T11:08:06Z
JL658A,Stromversorgung,"2 Hot-Swap-Netzteilschächte (mindestens 1 erforderlich, separat bestellt)",https://www.hpe.com/psnow/doc/a00085162enw,datasheet,2026-06-30T11:08:06Z
JL658A,Kühlung,"2 feldaustauschbare Hot-Swap-Lüftereinschübe (front-to-back), je 2 Lüfter",https://www.hpe.com/psnow/doc/a00085162enw,datasheet,2026-06-30T11:08:06Z
JL658A,Stacking,"Ja (Aruba VSF, bis 10 Einheiten, bis 400 Gbit/s, über die SFP56-Uplinks)",https://www.hpe.com/psnow/doc/a00085162enw,datasheet,2026-06-30T11:08:06Z
JL658A,Betriebstemperatur,0 bis 45 °C,https://www.hpe.com/psnow/doc/a00085162enw,datasheet,2026-06-30T11:08:06Z
JL658A,Anwendung,"Aggregations- und Server-Access (1/10G-SFP+), Layer 3 unter AOS-CX, VSF-Stacking, 50G-SFP56-Uplinks",https://www.hpe.com/psnow/doc/a00085162enw,datasheet,2026-06-30T11:08:06Z
JL659A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/a00085162enw,datasheet,2026-06-30T11:08:06Z
JL659A,Layer,L3,https://www.hpe.com/psnow/doc/a00085162enw,datasheet,2026-06-30T11:08:06Z
JL659A,Portanzahl,52,https://www.hpe.com/psnow/doc/a00085162enw,datasheet,2026-06-30T11:08:06Z
