Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
R0X31A,,condition,Funktionsattribut,Wertliste,Deutsch,new
R0X44A,,condition,Funktionsattribut,Wertliste,Deutsch,new
R0X45A,,condition,Funktionsattribut,Wertliste,Deutsch,new
R0X41A,,condition,Funktionsattribut,Wertliste,Deutsch,new
R0X38B,,condition,Funktionsattribut,Wertliste,Deutsch,new
R0X38C,,condition,Funktionsattribut,Wertliste,Deutsch,new
R0X39B,,condition,Funktionsattribut,Wertliste,Deutsch,new
R0X39C,,condition,Funktionsattribut,Wertliste,Deutsch,new
R0X40B,,condition,Funktionsattribut,Wertliste,Deutsch,new
R0X40C,,condition,Funktionsattribut,Wertliste,Deutsch,new
R0X41C,,condition,Funktionsattribut,Wertliste,Deutsch,new
R0X42A,,condition,Funktionsattribut,Wertliste,Deutsch,new
R0X42C,,condition,Funktionsattribut,Wertliste,Deutsch,new
R0X43A,,condition,Funktionsattribut,Wertliste,Deutsch,new
R0X43C,,condition,Funktionsattribut,Wertliste,Deutsch,new
R0X44C,,condition,Funktionsattribut,Wertliste,Deutsch,new
R0X45C,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0E48A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S1T83A,,condition,Funktionsattribut,Wertliste,Deutsch,new
