Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
R0X31A,Modultyp,Management-Modul,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X31A,Kompatible Serie,Aruba CX 6400,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X44A,Portanzahl,48,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X44A,Port-Konfiguration,48× SFP28 (1/10/25G),https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X44A,Switching-Kapazität,"2,8 Tbit/s (nicht-blockierende Fabric-Anbindung pro Linecard-Steckplatz)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X44A,Modultyp,Linecard,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X44A,Kompatible Serie,Aruba CX 6400,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X45A,Portanzahl,12,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X45A,Port-Konfiguration,12× QSFP28 (40/100G),https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X45A,Switching-Kapazität,"2,8 Tbit/s (nicht-blockierende Fabric-Anbindung pro Linecard-Steckplatz)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X45A,Modultyp,Linecard,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X45A,Kompatible Serie,Aruba CX 6400,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X41A,Portanzahl,52,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X41A,Port-Konfiguration,"48× HPE Smart Rate (1/2.5/5G, Class 6 PoE) + 4× SFP56 (50G, Uplink)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X41A,PoE,"Ja (IEEE 802.3bt Class 6, 60 W/Port; Gesamt-PoE-Budget abhängig von der Netzteilbestückung)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X41A,Switching-Kapazität,"2,8 Tbit/s (nicht-blockierende Fabric-Anbindung pro Linecard-Steckplatz)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X41A,Modultyp,Linecard,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X41A,Kompatible Serie,Aruba CX 6400,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X38B,Portanzahl,48,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X38B,Port-Konfiguration,"48× 1G-RJ45 (10/100/1000BASE-T, Class 4 PoE)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X38B,PoE,"Ja (IEEE 802.3af/at Class 4, 30 W/Port; Gesamt-PoE-Budget abhängig von der Netzteilbestückung)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X38B,Switching-Kapazität,"2,8 Tbit/s (nicht-blockierende Fabric-Anbindung pro Linecard-Steckplatz)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X38B,Modultyp,Linecard,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X38B,Kompatible Serie,Aruba CX 6400,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X38C,Portanzahl,48,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X38C,Port-Konfiguration,"48× 1G-RJ45 (10/100/1000BASE-T, Class 4 PoE)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X38C,PoE,"Ja (IEEE 802.3af/at Class 4, 30 W/Port; Gesamt-PoE-Budget abhängig von der Netzteilbestückung)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X38C,Switching-Kapazität,"2,8 Tbit/s (nicht-blockierende Fabric-Anbindung pro Linecard-Steckplatz)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X38C,Modultyp,Linecard,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X38C,Kompatible Serie,Aruba CX 6400,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X39B,Portanzahl,52,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X39B,Port-Konfiguration,"48× 1G-RJ45 (10/100/1000BASE-T, Class 4 PoE) + 4× SFP56 (50G, Uplink)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X39B,PoE,"Ja (IEEE 802.3af/at Class 4, 30 W/Port; Gesamt-PoE-Budget abhängig von der Netzteilbestückung)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X39B,Switching-Kapazität,"2,8 Tbit/s (nicht-blockierende Fabric-Anbindung pro Linecard-Steckplatz)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X39B,Modultyp,Linecard,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X39B,Kompatible Serie,Aruba CX 6400,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X39C,Portanzahl,52,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X39C,Port-Konfiguration,"48× 1G-RJ45 (10/100/1000BASE-T, Class 4 PoE) + 4× SFP56 (50G, Uplink)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X39C,PoE,"Ja (IEEE 802.3af/at Class 4, 30 W/Port; Gesamt-PoE-Budget abhängig von der Netzteilbestückung)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X39C,Switching-Kapazität,"2,8 Tbit/s (nicht-blockierende Fabric-Anbindung pro Linecard-Steckplatz)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X39C,Modultyp,Linecard,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X39C,Kompatible Serie,Aruba CX 6400,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X40B,Portanzahl,52,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X40B,Port-Konfiguration,"48× 1G-RJ45 (10/100/1000BASE-T, Class 6 PoE) + 4× SFP56 (50G, Uplink)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X40B,PoE,"Ja (IEEE 802.3bt Class 6, 60 W/Port; Gesamt-PoE-Budget abhängig von der Netzteilbestückung)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X40B,Switching-Kapazität,"2,8 Tbit/s (nicht-blockierende Fabric-Anbindung pro Linecard-Steckplatz)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X40B,Modultyp,Linecard,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X40B,Kompatible Serie,Aruba CX 6400,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X40C,Portanzahl,52,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X40C,Port-Konfiguration,"48× 1G-RJ45 (10/100/1000BASE-T, Class 6 PoE) + 4× SFP56 (50G, Uplink)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X40C,PoE,"Ja (IEEE 802.3bt Class 6, 60 W/Port; Gesamt-PoE-Budget abhängig von der Netzteilbestückung)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X40C,Switching-Kapazität,"2,8 Tbit/s (nicht-blockierende Fabric-Anbindung pro Linecard-Steckplatz)",https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X40C,Modultyp,Linecard,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X40C,Kompatible Serie,Aruba CX 6400,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
R0X41C,Portanzahl,52,https://www.hpe.com/psnow/doc/a00073541enw,datasheet,2026-07-01T00:07:24Z
