Artikelnummer;Artikelname;Kurzbeschreibung;Beschreibung;URL-Pfad;Artikelgewicht;Versandgewicht;HAN;Hersteller;Versandklasse;Verkaufseinheit;Titel-Tag (SEO);Meta-Description (SEO);Kategorie Ebene 1;Kategorie Ebene 2;Kategorie Ebene 3;Überverkauf Plattform Hexwaren;Bestandsführung aktiv;Überverkäufe möglich
R9W86A;HPE Aruba Networking CX 8100 R9W86A Managed Switch (L3) – 24× 1/10G-SFP+ + 4× QSFP28 (40/100G), 19-Zoll-Rackmontage (1 HE);<p>Der HPE Aruba Networking CX 8100 R9W86A ist ein gemanagter Layer-3-Switch der Aruba-CX-8100-Serie mit 24× 1/10G-SFP+. Unter AOS-CX übernimmt er die Aggregation und das Routing im Rechenzentrum (Spine-Leaf/ToR).</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 1,28 Tbit/s und bindet per 4× QSFP28 (40/100G) an das Netz an.</p>;"<p>Der HPE Aruba Networking CX 8100 R9W86A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-8100-Familie mit 24× 1/10G-SFP+, ausgelegt für den Aggregations- und Spine-Leaf-Einsatz im Rechenzentrum und betrieben unter AOS-CX.</p><p>Mit 28 Ports erreicht der R9W86A eine Switching-Kapazität von 1,28 Tbit/s bei einer Weiterleitungsrate von 1.309 Mpps. Der R9W86A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des R9W86A erfolgt über 4× QSFP28 (40/100G); für Hochverfügbarkeit lassen sich zwei R9W86A per Aruba VSX (Virtual Switching Extension) zu einem aktiv-aktiven Paar mit synchronisiertem Forwarding-Zustand koppeln.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der R9W86A im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des R9W86A übernehmen 3 feldaustauschbare Hot-Swap-Lüfter (Airflow front-to-back) sowie 2 feldaustauschbare Hot-Swap-Netzteile (N+1, im Bundle); AC 100–240 V. Unter AOS-CX bietet der R9W86A Layer-3-Routing (BGP, OSPF, VRF), BGP-EVPN/VXLAN-Overlays, ECMP und Programmierbarkeit per REST-API/Python. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/r9w86a;8,16;10,16;R9W86A;HP;standard;Stk;HPE Aruba CX 8100 R9W86A Switch | Hexwaren;Original HPE Aruba Networking CX 8100 R9W86A: gemanagter Layer-3-Switch mit 24× 1/10G-SFP+, Switching-Kapazität 1,28 Tbit/s, 4× QSFP28 (40/100G)-Uplinks – Airflow front-to-back, Netzteil inklusive;Netzwerk & Infrastruktur;Switches;Aruba CX 8100 Switches;TRUE;Y;Y
R9W87A;HPE Aruba Networking CX 8100 R9W87A Managed Switch (L3) – 24× 1/10G-SFP+ + 4× QSFP28 (40/100G), 19-Zoll-Rackmontage (1 HE);<p>Der HPE Aruba Networking CX 8100 R9W87A ist ein gemanagter Layer-3-Switch der Aruba-CX-8100-Serie mit 24× 1/10G-SFP+. Unter AOS-CX übernimmt er die Aggregation und das Routing im Rechenzentrum (Spine-Leaf/ToR).</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 1,28 Tbit/s und bindet per 4× QSFP28 (40/100G) an das Netz an.</p>;"<p>Der HPE Aruba Networking CX 8100 R9W87A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-8100-Familie mit 24× 1/10G-SFP+, ausgelegt für den Aggregations- und Spine-Leaf-Einsatz im Rechenzentrum und betrieben unter AOS-CX.</p><p>Mit 28 Ports erreicht der R9W87A eine Switching-Kapazität von 1,28 Tbit/s bei einer Weiterleitungsrate von 1.309 Mpps. Der R9W87A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des R9W87A erfolgt über 4× QSFP28 (40/100G); für Hochverfügbarkeit lassen sich zwei R9W87A per Aruba VSX (Virtual Switching Extension) zu einem aktiv-aktiven Paar mit synchronisiertem Forwarding-Zustand koppeln.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der R9W87A im Temperaturbereich 0 bis 40 °C; Kühlung und Stromversorgung des R9W87A übernehmen 3 feldaustauschbare Hot-Swap-Lüfter (Airflow back-to-front) sowie 2 feldaustauschbare Hot-Swap-Netzteile (N+1, im Bundle); AC 100–240 V. Unter AOS-CX bietet der R9W87A Layer-3-Routing (BGP, OSPF, VRF), BGP-EVPN/VXLAN-Overlays, ECMP und Programmierbarkeit per REST-API/Python. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/r9w87a;8,16;10,16;R9W87A;HP;standard;Stk;HPE Aruba CX 8100 R9W87A Switch | Hexwaren;Original HPE Aruba Networking CX 8100 R9W87A: gemanagter Layer-3-Switch mit 24× 1/10G-SFP+, Switching-Kapazität 1,28 Tbit/s, 4× QSFP28 (40/100G)-Uplinks – Airflow back-to-front, Netzteil inklusive;Netzwerk & Infrastruktur;Switches;Aruba CX 8100 Switches;TRUE;Y;Y
R9W94A;HPE Aruba Networking CX 8100 R9W94A Managed Switch (L3) – 24× 1/10G-SFP+ + 4× QSFP28 (40/100G), 19-Zoll-Rackmontage (1 HE);<p>Der HPE Aruba Networking CX 8100 R9W94A ist ein gemanagter Layer-3-Switch der Aruba-CX-8100-Serie mit 24× 1/10G-SFP+. Unter AOS-CX übernimmt er die Aggregation und das Routing im Rechenzentrum (Spine-Leaf/ToR).</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 1,28 Tbit/s und bindet per 4× QSFP28 (40/100G) an das Netz an.</p>;"<p>Der HPE Aruba Networking CX 8100 R9W94A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-8100-Familie mit 24× 1/10G-SFP+, ausgelegt für den Aggregations- und Spine-Leaf-Einsatz im Rechenzentrum und betrieben unter AOS-CX.</p><p>Mit 28 Ports erreicht der R9W94A eine Switching-Kapazität von 1,28 Tbit/s bei einer Weiterleitungsrate von 1.309 Mpps. Der R9W94A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des R9W94A erfolgt über 4× QSFP28 (40/100G); für Hochverfügbarkeit lassen sich zwei R9W94A per Aruba VSX (Virtual Switching Extension) zu einem aktiv-aktiven Paar mit synchronisiertem Forwarding-Zustand koppeln.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der R9W94A im Temperaturbereich 0 bis 40 °C (bei Front-to-Back-Konfiguration bis 45 °C); Kühlung und Stromversorgung des R9W94A übernehmen Feldaustauschbare Hot-Swap-Lüfter, separat bestellt (Airflow konfigurierbar (front-to-back oder back-to-front)) sowie Feldaustauschbare Hot-Swap-Netzteile, separat bestellt (bis 2, N+1); AC. Unter AOS-CX bietet der R9W94A Layer-3-Routing (BGP, OSPF, VRF), BGP-EVPN/VXLAN-Overlays, ECMP und Programmierbarkeit per REST-API/Python. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/r9w94a;8,16;10,16;R9W94A;HP;standard;Stk;HPE Aruba CX 8100 R9W94A Switch | Hexwaren;Original HPE Aruba Networking CX 8100 R9W94A: gemanagter Layer-3-Switch mit 24× 1/10G-SFP+, Switching-Kapazität 1,28 Tbit/s, 4× QSFP28 – Airflow front-to-back, Netzteil separat bestellt;Netzwerk & Infrastruktur;Switches;Aruba CX 8100 Switches;TRUE;Y;Y
R9W88A;HPE Aruba Networking CX 8100 R9W88A Managed Switch (L3) – 24× 100M/1/2.5/5/10G-BASE-T (Smart Rate) + 4× 1/10G-SFP+ + 4× QSFP28 (40/100G), 19-Zoll-Rackmontage (1 HE);<p>Der HPE Aruba Networking CX 8100 R9W88A ist ein gemanagter Layer-3-Switch der Aruba-CX-8100-Serie mit 24× 100M/1/2.5/5/10G-BASE-T (Smart Rate) + 4× 1/10G-SFP+. Unter AOS-CX übernimmt er die Aggregation und das Routing im Rechenzentrum (Spine-Leaf/ToR).</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 1,36 Tbit/s und bindet per 4× QSFP28 (40/100G) an das Netz an.</p>;"<p>Der HPE Aruba Networking CX 8100 R9W88A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-8100-Familie mit 24× 100M/1/2.5/5/10G-BASE-T (Smart Rate) + 4× 1/10G-SFP+, ausgelegt für den Aggregations- und Spine-Leaf-Einsatz im Rechenzentrum und betrieben unter AOS-CX.</p><p>Mit 32 Ports erreicht der R9W88A eine Switching-Kapazität von 1,36 Tbit/s bei einer Weiterleitungsrate von 1.309 Mpps. Der R9W88A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des R9W88A erfolgt über 4× QSFP28 (40/100G); für Hochverfügbarkeit lassen sich zwei R9W88A per Aruba VSX (Virtual Switching Extension) zu einem aktiv-aktiven Paar mit synchronisiertem Forwarding-Zustand koppeln.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der R9W88A im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des R9W88A übernehmen 3 feldaustauschbare Hot-Swap-Lüfter (Airflow front-to-back) sowie 2 feldaustauschbare Hot-Swap-Netzteile (N+1, im Bundle); AC 100–240 V. Unter AOS-CX bietet der R9W88A Layer-3-Routing (BGP, OSPF, VRF), BGP-EVPN/VXLAN-Overlays, ECMP und Programmierbarkeit per REST-API/Python. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/r9w88a;8,30;10,30;R9W88A;HP;standard;Stk;HPE Aruba CX 8100 R9W88A Switch | Hexwaren;Original HPE Aruba Networking CX 8100 R9W88A: gemanagter Layer-3-Switch mit 24× 100M/1/2. 5/5/10G-BASE-T (Smart Rate) + 4× 1/10G-SFP+, Switching-Kapazität – Airflow front-to-back, Netzteil inklusive;Netzwerk & Infrastruktur;Switches;Aruba CX 8100 Switches;TRUE;Y;Y
R9W89A;HPE Aruba Networking CX 8100 R9W89A Managed Switch (L3) – 24× 100M/1/2.5/5/10G-BASE-T (Smart Rate) + 4× 1/10G-SFP+ + 4× QSFP28 (40/100G), 19-Zoll-Rackmontage (1 HE);<p>Der HPE Aruba Networking CX 8100 R9W89A ist ein gemanagter Layer-3-Switch der Aruba-CX-8100-Serie mit 24× 100M/1/2.5/5/10G-BASE-T (Smart Rate) + 4× 1/10G-SFP+. Unter AOS-CX übernimmt er die Aggregation und das Routing im Rechenzentrum (Spine-Leaf/ToR).</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 1,36 Tbit/s und bindet per 4× QSFP28 (40/100G) an das Netz an.</p>;"<p>Der HPE Aruba Networking CX 8100 R9W89A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-8100-Familie mit 24× 100M/1/2.5/5/10G-BASE-T (Smart Rate) + 4× 1/10G-SFP+, ausgelegt für den Aggregations- und Spine-Leaf-Einsatz im Rechenzentrum und betrieben unter AOS-CX.</p><p>Mit 32 Ports erreicht der R9W89A eine Switching-Kapazität von 1,36 Tbit/s bei einer Weiterleitungsrate von 1.309 Mpps. Der R9W89A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des R9W89A erfolgt über 4× QSFP28 (40/100G); für Hochverfügbarkeit lassen sich zwei R9W89A per Aruba VSX (Virtual Switching Extension) zu einem aktiv-aktiven Paar mit synchronisiertem Forwarding-Zustand koppeln.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der R9W89A im Temperaturbereich 0 bis 40 °C; Kühlung und Stromversorgung des R9W89A übernehmen 3 feldaustauschbare Hot-Swap-Lüfter (Airflow back-to-front) sowie 2 feldaustauschbare Hot-Swap-Netzteile (N+1, im Bundle); AC 100–240 V. Unter AOS-CX bietet der R9W89A Layer-3-Routing (BGP, OSPF, VRF), BGP-EVPN/VXLAN-Overlays, ECMP und Programmierbarkeit per REST-API/Python. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/r9w89a;8,30;10,30;R9W89A;HP;standard;Stk;HPE Aruba CX 8100 R9W89A Switch | Hexwaren;Original HPE Aruba Networking CX 8100 R9W89A: gemanagter Layer-3-Switch mit 24× 100M/1/2. 5/5/10G-BASE-T (Smart Rate) + 4× 1/10G-SFP+, Switching-Kapazität – Airflow back-to-front, Netzteil inklusive;Netzwerk & Infrastruktur;Switches;Aruba CX 8100 Switches;TRUE;Y;Y
R9W95A;HPE Aruba Networking CX 8100 R9W95A Managed Switch (L3) – 24× 100M/1/2.5/5/10G-BASE-T (Smart Rate) + 4× 1/10G-SFP+ + 4× QSFP28 (40/100G), 19-Zoll-Rackmontage (1 HE);<p>Der HPE Aruba Networking CX 8100 R9W95A ist ein gemanagter Layer-3-Switch der Aruba-CX-8100-Serie mit 24× 100M/1/2.5/5/10G-BASE-T (Smart Rate) + 4× 1/10G-SFP+. Unter AOS-CX übernimmt er die Aggregation und das Routing im Rechenzentrum (Spine-Leaf/ToR).</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 1,36 Tbit/s und bindet per 4× QSFP28 (40/100G) an das Netz an.</p>;"<p>Der HPE Aruba Networking CX 8100 R9W95A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-8100-Familie mit 24× 100M/1/2.5/5/10G-BASE-T (Smart Rate) + 4× 1/10G-SFP+, ausgelegt für den Aggregations- und Spine-Leaf-Einsatz im Rechenzentrum und betrieben unter AOS-CX.</p><p>Mit 32 Ports erreicht der R9W95A eine Switching-Kapazität von 1,36 Tbit/s bei einer Weiterleitungsrate von 1.309 Mpps. Der R9W95A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des R9W95A erfolgt über 4× QSFP28 (40/100G); für Hochverfügbarkeit lassen sich zwei R9W95A per Aruba VSX (Virtual Switching Extension) zu einem aktiv-aktiven Paar mit synchronisiertem Forwarding-Zustand koppeln.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der R9W95A im Temperaturbereich 0 bis 40 °C (bei Front-to-Back-Konfiguration bis 45 °C); Kühlung und Stromversorgung des R9W95A übernehmen Feldaustauschbare Hot-Swap-Lüfter, separat bestellt (Airflow konfigurierbar (front-to-back oder back-to-front)) sowie Feldaustauschbare Hot-Swap-Netzteile, separat bestellt (bis 2, N+1); AC. Unter AOS-CX bietet der R9W95A Layer-3-Routing (BGP, OSPF, VRF), BGP-EVPN/VXLAN-Overlays, ECMP und Programmierbarkeit per REST-API/Python. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/r9w95a;8,30;10,30;R9W95A;HP;standard;Stk;HPE Aruba CX 8100 R9W95A Switch | Hexwaren;Original HPE Aruba Networking CX 8100 R9W95A: gemanagter Layer-3-Switch mit 24× 100M/1/2. 5/5/10G-BASE-T (Smart Rate) + 4× 1/10G-SFP+ – Airflow front-to-back, Netzteil separat bestellt;Netzwerk & Infrastruktur;Switches;Aruba CX 8100 Switches;TRUE;Y;Y
R9W90A;HPE Aruba Networking CX 8100 R9W90A Managed Switch (L3) – 48× 1/10G-SFP+ + 4× QSFP28 (40/100G), 19-Zoll-Rackmontage (1 HE);<p>Der HPE Aruba Networking CX 8100 R9W90A ist ein gemanagter Layer-3-Switch der Aruba-CX-8100-Serie mit 48× 1/10G-SFP+. Unter AOS-CX übernimmt er die Aggregation und das Routing im Rechenzentrum (Spine-Leaf/ToR).</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 1,76 Tbit/s und bindet per 4× QSFP28 (40/100G) an das Netz an.</p>;"<p>Der HPE Aruba Networking CX 8100 R9W90A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-8100-Familie mit 48× 1/10G-SFP+, ausgelegt für den Aggregations- und Spine-Leaf-Einsatz im Rechenzentrum und betrieben unter AOS-CX.</p><p>Mit 52 Ports erreicht der R9W90A eine Switching-Kapazität von 1,76 Tbit/s bei einer Weiterleitungsrate von 1.309 Mpps. Der R9W90A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des R9W90A erfolgt über 4× QSFP28 (40/100G); für Hochverfügbarkeit lassen sich zwei R9W90A per Aruba VSX (Virtual Switching Extension) zu einem aktiv-aktiven Paar mit synchronisiertem Forwarding-Zustand koppeln.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der R9W90A im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des R9W90A übernehmen 3 feldaustauschbare Hot-Swap-Lüfter (Airflow front-to-back) sowie 2 feldaustauschbare Hot-Swap-Netzteile (N+1, im Bundle); AC 100–240 V. Unter AOS-CX bietet der R9W90A Layer-3-Routing (BGP, OSPF, VRF), BGP-EVPN/VXLAN-Overlays, ECMP und Programmierbarkeit per REST-API/Python. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/r9w90a;8,39;10,39;R9W90A;HP;standard;Stk;HPE Aruba CX 8100 R9W90A Switch | Hexwaren;Original HPE Aruba Networking CX 8100 R9W90A: gemanagter Layer-3-Switch mit 48× 1/10G-SFP+, Switching-Kapazität 1,76 Tbit/s, 4× QSFP28 (40/100G)-Uplinks – Airflow front-to-back, Netzteil inklusive;Netzwerk & Infrastruktur;Switches;Aruba CX 8100 Switches;TRUE;Y;Y
R9W91A;HPE Aruba Networking CX 8100 R9W91A Managed Switch (L3) – 48× 1/10G-SFP+ + 4× QSFP28 (40/100G), 19-Zoll-Rackmontage (1 HE);<p>Der HPE Aruba Networking CX 8100 R9W91A ist ein gemanagter Layer-3-Switch der Aruba-CX-8100-Serie mit 48× 1/10G-SFP+. Unter AOS-CX übernimmt er die Aggregation und das Routing im Rechenzentrum (Spine-Leaf/ToR).</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 1,76 Tbit/s und bindet per 4× QSFP28 (40/100G) an das Netz an.</p>;"<p>Der HPE Aruba Networking CX 8100 R9W91A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-8100-Familie mit 48× 1/10G-SFP+, ausgelegt für den Aggregations- und Spine-Leaf-Einsatz im Rechenzentrum und betrieben unter AOS-CX.</p><p>Mit 52 Ports erreicht der R9W91A eine Switching-Kapazität von 1,76 Tbit/s bei einer Weiterleitungsrate von 1.309 Mpps. Der R9W91A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des R9W91A erfolgt über 4× QSFP28 (40/100G); für Hochverfügbarkeit lassen sich zwei R9W91A per Aruba VSX (Virtual Switching Extension) zu einem aktiv-aktiven Paar mit synchronisiertem Forwarding-Zustand koppeln.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der R9W91A im Temperaturbereich 0 bis 40 °C; Kühlung und Stromversorgung des R9W91A übernehmen 3 feldaustauschbare Hot-Swap-Lüfter (Airflow back-to-front) sowie 2 feldaustauschbare Hot-Swap-Netzteile (N+1, im Bundle); AC 100–240 V. Unter AOS-CX bietet der R9W91A Layer-3-Routing (BGP, OSPF, VRF), BGP-EVPN/VXLAN-Overlays, ECMP und Programmierbarkeit per REST-API/Python. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/r9w91a;8,39;10,39;R9W91A;HP;standard;Stk;HPE Aruba CX 8100 R9W91A Switch | Hexwaren;Original HPE Aruba Networking CX 8100 R9W91A: gemanagter Layer-3-Switch mit 48× 1/10G-SFP+, Switching-Kapazität 1,76 Tbit/s, 4× QSFP28 (40/100G)-Uplinks – Airflow back-to-front, Netzteil inklusive;Netzwerk & Infrastruktur;Switches;Aruba CX 8100 Switches;TRUE;Y;Y
R9W96A;HPE Aruba Networking CX 8100 R9W96A Managed Switch (L3) – 48× 1/10G-SFP+ + 4× QSFP28 (40/100G), 19-Zoll-Rackmontage (1 HE);<p>Der HPE Aruba Networking CX 8100 R9W96A ist ein gemanagter Layer-3-Switch der Aruba-CX-8100-Serie mit 48× 1/10G-SFP+. Unter AOS-CX übernimmt er die Aggregation und das Routing im Rechenzentrum (Spine-Leaf/ToR).</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 1,76 Tbit/s und bindet per 4× QSFP28 (40/100G) an das Netz an.</p>;"<p>Der HPE Aruba Networking CX 8100 R9W96A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-8100-Familie mit 48× 1/10G-SFP+, ausgelegt für den Aggregations- und Spine-Leaf-Einsatz im Rechenzentrum und betrieben unter AOS-CX.</p><p>Mit 52 Ports erreicht der R9W96A eine Switching-Kapazität von 1,76 Tbit/s bei einer Weiterleitungsrate von 1.309 Mpps. Der R9W96A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des R9W96A erfolgt über 4× QSFP28 (40/100G); für Hochverfügbarkeit lassen sich zwei R9W96A per Aruba VSX (Virtual Switching Extension) zu einem aktiv-aktiven Paar mit synchronisiertem Forwarding-Zustand koppeln.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der R9W96A im Temperaturbereich 0 bis 40 °C (bei Front-to-Back-Konfiguration bis 45 °C); Kühlung und Stromversorgung des R9W96A übernehmen Feldaustauschbare Hot-Swap-Lüfter, separat bestellt (Airflow konfigurierbar (front-to-back oder back-to-front)) sowie Feldaustauschbare Hot-Swap-Netzteile, separat bestellt (bis 2, N+1); AC. Unter AOS-CX bietet der R9W96A Layer-3-Routing (BGP, OSPF, VRF), BGP-EVPN/VXLAN-Overlays, ECMP und Programmierbarkeit per REST-API/Python. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/r9w96a;8,39;10,39;R9W96A;HP;standard;Stk;HPE Aruba CX 8100 R9W96A Switch | Hexwaren;Original HPE Aruba Networking CX 8100 R9W96A: gemanagter Layer-3-Switch mit 48× 1/10G-SFP+, Switching-Kapazität 1,76 Tbit/s, 4× QSFP28 – Airflow front-to-back, Netzteil separat bestellt;Netzwerk & Infrastruktur;Switches;Aruba CX 8100 Switches;TRUE;Y;Y
R9W92A;HPE Aruba Networking CX 8100 R9W92A Managed Switch (L3) – 40× 100M/1/2.5/5/10G-BASE-T (Smart Rate) + 8× 1/10G-SFP+ + 4× QSFP28 (40/100G), 19-Zoll-Rackmontage (1 HE);<p>Der HPE Aruba Networking CX 8100 R9W92A ist ein gemanagter Layer-3-Switch der Aruba-CX-8100-Serie mit 40× 100M/1/2.5/5/10G-BASE-T (Smart Rate) + 8× 1/10G-SFP+. Unter AOS-CX übernimmt er die Aggregation und das Routing im Rechenzentrum (Spine-Leaf/ToR).</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 1,76 Tbit/s und bindet per 4× QSFP28 (40/100G) an das Netz an.</p>;"<p>Der HPE Aruba Networking CX 8100 R9W92A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-8100-Familie mit 40× 100M/1/2.5/5/10G-BASE-T (Smart Rate) + 8× 1/10G-SFP+, ausgelegt für den Aggregations- und Spine-Leaf-Einsatz im Rechenzentrum und betrieben unter AOS-CX.</p><p>Mit 52 Ports erreicht der R9W92A eine Switching-Kapazität von 1,76 Tbit/s bei einer Weiterleitungsrate von 1.309 Mpps. Der R9W92A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des R9W92A erfolgt über 4× QSFP28 (40/100G); für Hochverfügbarkeit lassen sich zwei R9W92A per Aruba VSX (Virtual Switching Extension) zu einem aktiv-aktiven Paar mit synchronisiertem Forwarding-Zustand koppeln.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der R9W92A im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des R9W92A übernehmen 3 feldaustauschbare Hot-Swap-Lüfter (Airflow front-to-back) sowie 2 feldaustauschbare Hot-Swap-Netzteile (N+1, im Bundle); AC 100–240 V. Unter AOS-CX bietet der R9W92A Layer-3-Routing (BGP, OSPF, VRF), BGP-EVPN/VXLAN-Overlays, ECMP und Programmierbarkeit per REST-API/Python. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/r9w92a;8,57;10,57;R9W92A;HP;standard;Stk;HPE Aruba CX 8100 R9W92A Switch | Hexwaren;Original HPE Aruba Networking CX 8100 R9W92A: gemanagter Layer-3-Switch mit 40× 100M/1/2. 5/5/10G-BASE-T (Smart Rate) + 8× 1/10G-SFP+, Switching-Kapazität – Airflow front-to-back, Netzteil inklusive;Netzwerk & Infrastruktur;Switches;Aruba CX 8100 Switches;TRUE;Y;Y
