Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
S4B20A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/a00059009enw,datasheet,2026-06-30T13:34:20Z
S4B20A,Layer,L3,https://www.hpe.com/psnow/doc/a00059009enw,datasheet,2026-06-30T13:34:20Z
S4B20A,Portanzahl,22,https://www.hpe.com/psnow/doc/a00059009enw,datasheet,2026-06-30T13:34:20Z
S4B20A,Port-Konfiguration,18× 1/10/25G-SFP28 + 4× QSFP28 (40/100G) (Uplink),https://www.hpe.com/psnow/doc/a00059009enw,datasheet,2026-06-30T13:34:20Z
S4B20A,Port-Geschwindigkeit,"1/10/25 GbE (SFP28, Access), 40/100 GbE (QSFP28-Uplink)",https://www.hpe.com/psnow/doc/a00059009enw,datasheet,2026-06-30T13:34:20Z
S4B20A,Uplink-Ports,4× QSFP28 (40/100G),https://www.hpe.com/psnow/doc/a00059009enw,datasheet,2026-06-30T13:34:20Z
S4B20A,PoE,Nein,https://www.hpe.com/psnow/doc/a00059009enw,datasheet,2026-06-30T13:34:20Z
S4B20A,Switching-Kapazität,"2,16 Tbit/s",https://www.hpe.com/psnow/doc/a00059009enw,datasheet,2026-06-30T13:34:20Z
S4B20A,Durchsatz,Wire-Speed (modellspezifischer Mpps-Wert nicht im Datenblatt ausgewiesen),https://www.hpe.com/psnow/doc/a00059009enw,datasheet,2026-06-30T13:34:20Z
S4B20A,Bauform,"19-Zoll-Rackmontage (1 HE, halbe Breite)",https://www.hpe.com/psnow/doc/a00059009enw,datasheet,2026-06-30T13:34:20Z
S4B20A,Stromversorgung,"2 fest verbaute Netzteile (1+1-Redundanz), 100–240 VAC, max. 500 W",https://www.hpe.com/psnow/doc/a00059009enw,datasheet,2026-06-30T13:34:20Z
S4B20A,Kühlung,"4 fest verbaute Lüfter (N+1, Airflow front-to-back)",https://www.hpe.com/psnow/doc/a00059009enw,datasheet,2026-06-30T13:34:20Z
S4B20A,Stacking,"VSX (Aruba Virtual Switching Extension) – 2-Node-Hochverfügbarkeit, aktiv-aktiv mit synchronisiertem Forwarding-Zustand (MC-LAG)",https://www.hpe.com/psnow/doc/a00059009enw,datasheet,2026-06-30T13:34:20Z
S4B20A,Betriebstemperatur,0 bis 45 °C,https://www.hpe.com/psnow/doc/a00059009enw,datasheet,2026-06-30T13:34:20Z
S4B20A,Anwendung,"Kompakter Data-Center-Spine/Leaf (halbe Breite, Layer 3, AOS-CX) mit 25G/100G-Ports, BGP-EVPN/VXLAN und VSX-Hochverfügbarkeit",https://www.hpe.com/psnow/doc/a00059009enw,datasheet,2026-06-30T13:34:20Z
S4B21A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/a00059009enw,datasheet,2026-06-30T13:34:20Z
S4B21A,Layer,L3,https://www.hpe.com/psnow/doc/a00059009enw,datasheet,2026-06-30T13:34:20Z
S4B21A,Portanzahl,22,https://www.hpe.com/psnow/doc/a00059009enw,datasheet,2026-06-30T13:34:20Z
S4B21A,Port-Konfiguration,18× 1/10/25G-SFP28 + 4× QSFP28 (40/100G) (Uplink),https://www.hpe.com/psnow/doc/a00059009enw,datasheet,2026-06-30T13:34:20Z
S4B21A,Port-Geschwindigkeit,"1/10/25 GbE (SFP28, Access), 40/100 GbE (QSFP28-Uplink)",https://www.hpe.com/psnow/doc/a00059009enw,datasheet,2026-06-30T13:34:20Z
S4B21A,Uplink-Ports,4× QSFP28 (40/100G),https://www.hpe.com/psnow/doc/a00059009enw,datasheet,2026-06-30T13:34:20Z
S4B21A,PoE,Nein,https://www.hpe.com/psnow/doc/a00059009enw,datasheet,2026-06-30T13:34:20Z
S4B21A,Switching-Kapazität,"2,16 Tbit/s",https://www.hpe.com/psnow/doc/a00059009enw,datasheet,2026-06-30T13:34:20Z
S4B21A,Durchsatz,Wire-Speed (modellspezifischer Mpps-Wert nicht im Datenblatt ausgewiesen),https://www.hpe.com/psnow/doc/a00059009enw,datasheet,2026-06-30T13:34:20Z
S4B21A,Bauform,"19-Zoll-Rackmontage (1 HE, halbe Breite)",https://www.hpe.com/psnow/doc/a00059009enw,datasheet,2026-06-30T13:34:20Z
S4B21A,Stromversorgung,"2 fest verbaute Netzteile (1+1-Redundanz), 100–240 VAC, max. 500 W",https://www.hpe.com/psnow/doc/a00059009enw,datasheet,2026-06-30T13:34:20Z
