Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
JL624A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL625A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL635A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL626A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL627A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL636A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S4A51A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S4A52A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S4A49A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S4A50A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S4A48A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0G09A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0G10A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0G07A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0G08A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0G12A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL857A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL858A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL859A,,condition,Funktionsattribut,Wertliste,Deutsch,new
JL860A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S1D09A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S1D10A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S1D11A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S1D12A,,condition,Funktionsattribut,Wertliste,Deutsch,new
