Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
JL368A,,Switch,Modultyp,Management-Modul,19,Wertliste,Attribut
JL368A,,Switch,Kompatible Serie,Aruba CX 8400,20,Wertliste,Attribut
JL367A,,Switch,Switching-Kapazität,"7,2 Tbit/s (Fabric-Modul-Bandbreite)",8,Wertliste,Attribut
JL367A,,Switch,Modultyp,Fabric-Module,19,Wertliste,Attribut
JL367A,,Switch,Kompatible Serie,Aruba CX 8400,20,Wertliste,Attribut
JL363A,,Switch,Portanzahl,32,3,Wertliste,Attribut
JL363A,,Switch,Port-Konfiguration,"32× SFP+ (1/10G, MACsec)",4,Wertliste,Attribut
JL363A,,Switch,Switching-Kapazität,ZU_VERIFIZIEREN (modellspezifischer Wert nicht im Datenblatt ausgewiesen),8,Wertliste,Attribut
JL363A,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
JL363A,,Switch,Kompatible Serie,Aruba CX 8400,20,Wertliste,Attribut
JL365A,,Switch,Portanzahl,8,3,Wertliste,Attribut
JL365A,,Switch,Port-Konfiguration,8× QSFP+ (40G),4,Wertliste,Attribut
JL365A,,Switch,Switching-Kapazität,ZU_VERIFIZIEREN (modellspezifischer Wert nicht im Datenblatt ausgewiesen),8,Wertliste,Attribut
JL365A,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
JL365A,,Switch,Kompatible Serie,Aruba CX 8400,20,Wertliste,Attribut
JL366A,,Switch,Portanzahl,6,3,Wertliste,Attribut
JL366A,,Switch,Port-Konfiguration,6× QSFP28 (40/100G),4,Wertliste,Attribut
JL366A,,Switch,Switching-Kapazität,ZU_VERIFIZIEREN (modellspezifischer Wert nicht im Datenblatt ausgewiesen),8,Wertliste,Attribut
JL366A,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
JL366A,,Switch,Kompatible Serie,Aruba CX 8400,20,Wertliste,Attribut
JL687A,,Switch,Portanzahl,32,3,Wertliste,Attribut
JL687A,,Switch,Port-Konfiguration,32× SFP28 (1/10/25G),4,Wertliste,Attribut
JL687A,,Switch,Switching-Kapazität,ZU_VERIFIZIEREN (modellspezifischer Wert nicht im Datenblatt ausgewiesen),8,Wertliste,Attribut
JL687A,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
JL687A,,Switch,Kompatible Serie,Aruba CX 8400,20,Wertliste,Attribut
