Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
S0F82A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
S0F82A,,Switch,Layer,L3,2,Wertliste,Attribut
S0F82A,,Switch,Portanzahl,42,3,Wertliste,Attribut
S0F82A,,Switch,Port-Konfiguration,32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD (Uplink),4,Wertliste,Attribut
S0F82A,,Switch,Port-Geschwindigkeit,"10/25/100/200 GbE (QSFP28, Access), 400 GbE (QSFP-DD, Uplink)",5,Wertliste,Attribut
S0F82A,,Switch,Uplink-Ports,8× 400G-QSFP-DD,6,Wertliste,Attribut
S0F82A,,Switch,PoE,Nein,7,Wertliste,Attribut
S0F82A,,Switch,Switching-Kapazität,16 Tbit/s,8,Wertliste,Attribut
S0F82A,,Switch,Durchsatz,Wire-Speed (modellspezifischer Mpps-Wert nicht im Datenblatt ausgewiesen),9,Wertliste,Attribut
S0F82A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
S0F82A,,Switch,Stromversorgung,"2 feldaustauschbare Hot-Swap-Netzteile (1600 W AC, N+1, im Bundle)",11,Wertliste,Attribut
S0F82A,,Switch,Kühlung,"6 feldaustauschbare Hot-Swap-Lüfter (N+1, Airflow front-to-back)",12,Wertliste,Attribut
S0F82A,,Switch,Stacking,"VSX (Aruba Virtual Switching Extension) – 2-Node-Hochverfügbarkeit, aktiv-aktiv mit synchronisiertem Forwarding-Zustand (MC-LAG)",13,Wertliste,Attribut
S0F82A,,Switch,Betriebstemperatur,0 bis 45 °C,14,Wertliste,Attribut
S0F82A,,Switch,Anwendung,"Sicheres Data-Center-Leaf/DCI (Layer 3, AOS-CX) mit 100G-Access und 400G-QSFP-DD-Uplinks, line-rate MACsec/IPSec/VXLANsec-Verschlüsselung, EVPN-VXLAN und VSX",15,Wertliste,Attribut
S0F84A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
S0F84A,,Switch,Layer,L3,2,Wertliste,Attribut
S0F84A,,Switch,Portanzahl,42,3,Wertliste,Attribut
S0F84A,,Switch,Port-Konfiguration,32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD (Uplink),4,Wertliste,Attribut
S0F84A,,Switch,Port-Geschwindigkeit,"10/25/100/200 GbE (QSFP28, Access), 400 GbE (QSFP-DD, Uplink)",5,Wertliste,Attribut
S0F84A,,Switch,Uplink-Ports,8× 400G-QSFP-DD,6,Wertliste,Attribut
S0F84A,,Switch,PoE,Nein,7,Wertliste,Attribut
S0F84A,,Switch,Switching-Kapazität,16 Tbit/s,8,Wertliste,Attribut
S0F84A,,Switch,Durchsatz,Wire-Speed (modellspezifischer Mpps-Wert nicht im Datenblatt ausgewiesen),9,Wertliste,Attribut
S0F84A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
S0F84A,,Switch,Stromversorgung,"2 feldaustauschbare Hot-Swap-Netzteile (1600 W AC, N+1, im Bundle)",11,Wertliste,Attribut
S0F84A,,Switch,Kühlung,"6 feldaustauschbare Hot-Swap-Lüfter (N+1, Airflow back-to-front)",12,Wertliste,Attribut
S0F84A,,Switch,Stacking,"VSX (Aruba Virtual Switching Extension) – 2-Node-Hochverfügbarkeit, aktiv-aktiv mit synchronisiertem Forwarding-Zustand (MC-LAG)",13,Wertliste,Attribut
S0F84A,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
S0F84A,,Switch,Anwendung,"Sicheres Data-Center-Leaf/DCI (Layer 3, AOS-CX) mit 100G-Access und 400G-QSFP-DD-Uplinks, line-rate MACsec/IPSec/VXLANsec-Verschlüsselung, EVPN-VXLAN und VSX",15,Wertliste,Attribut
S0F88A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
S0F88A,,Switch,Layer,L3,2,Wertliste,Attribut
S0F88A,,Switch,Portanzahl,42,3,Wertliste,Attribut
S0F88A,,Switch,Port-Konfiguration,32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD (Uplink),4,Wertliste,Attribut
S0F88A,,Switch,Port-Geschwindigkeit,"10/25/100/200 GbE (QSFP28, Access), 400 GbE (QSFP-DD, Uplink)",5,Wertliste,Attribut
S0F88A,,Switch,Uplink-Ports,8× 400G-QSFP-DD,6,Wertliste,Attribut
S0F88A,,Switch,PoE,Nein,7,Wertliste,Attribut
S0F88A,,Switch,Switching-Kapazität,16 Tbit/s,8,Wertliste,Attribut
S0F88A,,Switch,Durchsatz,Wire-Speed (modellspezifischer Mpps-Wert nicht im Datenblatt ausgewiesen),9,Wertliste,Attribut
S0F88A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
S0F88A,,Switch,Stromversorgung,"2 feldaustauschbare Hot-Swap-Netzteile (1600 W DC, -40/-75 V, N+1, im Bundle)",11,Wertliste,Attribut
S0F88A,,Switch,Kühlung,"6 feldaustauschbare Hot-Swap-Lüfter (N+1, Airflow back-to-front)",12,Wertliste,Attribut
S0F88A,,Switch,Stacking,"VSX (Aruba Virtual Switching Extension) – 2-Node-Hochverfügbarkeit, aktiv-aktiv mit synchronisiertem Forwarding-Zustand (MC-LAG)",13,Wertliste,Attribut
S0F88A,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
S0F88A,,Switch,Anwendung,"Sicheres Data-Center-Leaf/DCI (Layer 3, AOS-CX) mit 100G-Access und 400G-QSFP-DD-Uplinks, line-rate MACsec/IPSec/VXLANsec-Verschlüsselung, EVPN-VXLAN und VSX",15,Wertliste,Attribut
S0F81A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
S0F81A,,Switch,Layer,L3,2,Wertliste,Attribut
S0F81A,,Switch,Portanzahl,42,3,Wertliste,Attribut
S0F81A,,Switch,Port-Konfiguration,32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD (Uplink),4,Wertliste,Attribut
S0F81A,,Switch,Port-Geschwindigkeit,"10/25/100/200 GbE (QSFP28, Access), 400 GbE (QSFP-DD, Uplink)",5,Wertliste,Attribut
S0F81A,,Switch,Uplink-Ports,8× 400G-QSFP-DD,6,Wertliste,Attribut
