Artikelnummer;Artikelname;Kurzbeschreibung;Beschreibung;URL-Pfad;Artikelgewicht;Versandgewicht;HAN;Hersteller;Versandklasse;Verkaufseinheit;Titel-Tag (SEO);Meta-Description (SEO);Kategorie Ebene 1;Kategorie Ebene 2;Kategorie Ebene 3;Überverkauf Plattform Hexwaren;Bestandsführung aktiv;Überverkäufe möglich
S0F82A;HPE Aruba Networking CX 9300S S0F82A Managed Switch (L3) – 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD, 19-Zoll-Rackmontage (1 HE);<p>Der HPE Aruba Networking CX 9300S S0F82A ist ein gemanagter Layer-3-Switch der Aruba-CX-9300S-Serie mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie). Unter AOS-CX übernimmt er den Zugang im Campus-Access-Layer.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 16 Tbit/s und bindet per 8× 400G-QSFP-DD an das Netz an.</p>;"<p>Der HPE Aruba Networking CX 9300S S0F82A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-9300S-Familie mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie), ausgelegt für den Layer-3-Campus-Access und betrieben unter AOS-CX.</p><p>Mit 42 Ports erreicht der S0F82A eine Switching-Kapazität von 16 Tbit/s bei einer Weiterleitungsrate von Wire-Speed (modellspezifischer Mpps-Wert nicht im Datenblatt ausgewiesen). Der S0F82A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des S0F82A erfolgt über 8× 400G-QSFP-DD; für Hochverfügbarkeit lassen sich zwei S0F82A per Aruba VSX (Virtual Switching Extension) zu einem aktiv-aktiven Paar mit synchronisiertem Forwarding-Zustand koppeln.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der S0F82A im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des S0F82A übernehmen 6 feldaustauschbare Hot-Swap-Lüfter (N+1, Airflow front-to-back) sowie 2 feldaustauschbare Hot-Swap-Netzteile (1600 W AC, N+1, im Bundle). Unter AOS-CX bietet der S0F82A Layer-3-Routing (BGP, OSPF, VRF), BGP-EVPN/VXLAN-Overlays, line-rate MACsec/IPSec/VXLANsec-Verschlüsselung (6,4 / 4,8 Tbit/s), PTP-Zeitsynchronisation und Programmierbarkeit per REST-API/Python. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/s0f82a;13,60;15,60;S0F82A;HP;standard;Stk;HPE Aruba CX 9300S S0F82A Switch | Hexwaren;Original HPE Aruba Networking CX 9300S S0F82A: gemanagter Layer-3-Switch mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie), Switching-Kapazität 16 – Airflow front-to-back, Netzteil inklusive;Netzwerk & Infrastruktur;Switches;Aruba CX 9300S Switches;TRUE;Y;Y
S0F84A;HPE Aruba Networking CX 9300S S0F84A Managed Switch (L3) – 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD, 19-Zoll-Rackmontage (1 HE);<p>Der HPE Aruba Networking CX 9300S S0F84A ist ein gemanagter Layer-3-Switch der Aruba-CX-9300S-Serie mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie). Unter AOS-CX übernimmt er den Zugang im Campus-Access-Layer.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 16 Tbit/s und bindet per 8× 400G-QSFP-DD an das Netz an.</p>;"<p>Der HPE Aruba Networking CX 9300S S0F84A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-9300S-Familie mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie), ausgelegt für den Layer-3-Campus-Access und betrieben unter AOS-CX.</p><p>Mit 42 Ports erreicht der S0F84A eine Switching-Kapazität von 16 Tbit/s bei einer Weiterleitungsrate von Wire-Speed (modellspezifischer Mpps-Wert nicht im Datenblatt ausgewiesen). Der S0F84A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des S0F84A erfolgt über 8× 400G-QSFP-DD; für Hochverfügbarkeit lassen sich zwei S0F84A per Aruba VSX (Virtual Switching Extension) zu einem aktiv-aktiven Paar mit synchronisiertem Forwarding-Zustand koppeln.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der S0F84A im Temperaturbereich 0 bis 40 °C; Kühlung und Stromversorgung des S0F84A übernehmen 6 feldaustauschbare Hot-Swap-Lüfter (N+1, Airflow back-to-front) sowie 2 feldaustauschbare Hot-Swap-Netzteile (1600 W AC, N+1, im Bundle). Unter AOS-CX bietet der S0F84A Layer-3-Routing (BGP, OSPF, VRF), BGP-EVPN/VXLAN-Overlays, line-rate MACsec/IPSec/VXLANsec-Verschlüsselung (6,4 / 4,8 Tbit/s), PTP-Zeitsynchronisation und Programmierbarkeit per REST-API/Python. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/s0f84a;13,60;15,60;S0F84A;HP;standard;Stk;HPE Aruba CX 9300S S0F84A Switch | Hexwaren;Original HPE Aruba Networking CX 9300S S0F84A: gemanagter Layer-3-Switch mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie), Switching-Kapazität 16 – Airflow back-to-front, Netzteil inklusive;Netzwerk & Infrastruktur;Switches;Aruba CX 9300S Switches;TRUE;Y;Y
S0F88A;HPE Aruba Networking CX 9300S S0F88A Managed Switch (L3) – 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD, 19-Zoll-Rackmontage (1 HE);<p>Der HPE Aruba Networking CX 9300S S0F88A ist ein gemanagter Layer-3-Switch der Aruba-CX-9300S-Serie mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie). Unter AOS-CX übernimmt er den Zugang im Campus-Access-Layer.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 16 Tbit/s und bindet per 8× 400G-QSFP-DD an das Netz an.</p>;"<p>Der HPE Aruba Networking CX 9300S S0F88A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-9300S-Familie mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie), ausgelegt für den Layer-3-Campus-Access und betrieben unter AOS-CX.</p><p>Mit 42 Ports erreicht der S0F88A eine Switching-Kapazität von 16 Tbit/s bei einer Weiterleitungsrate von Wire-Speed (modellspezifischer Mpps-Wert nicht im Datenblatt ausgewiesen). Der S0F88A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des S0F88A erfolgt über 8× 400G-QSFP-DD; für Hochverfügbarkeit lassen sich zwei S0F88A per Aruba VSX (Virtual Switching Extension) zu einem aktiv-aktiven Paar mit synchronisiertem Forwarding-Zustand koppeln.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der S0F88A im Temperaturbereich 0 bis 40 °C; Kühlung und Stromversorgung des S0F88A übernehmen 6 feldaustauschbare Hot-Swap-Lüfter (N+1, Airflow back-to-front) sowie 2 feldaustauschbare Hot-Swap-Netzteile (1600 W DC, -40/-75 V, N+1, im Bundle). Unter AOS-CX bietet der S0F88A Layer-3-Routing (BGP, OSPF, VRF), BGP-EVPN/VXLAN-Overlays, line-rate MACsec/IPSec/VXLANsec-Verschlüsselung (6,4 / 4,8 Tbit/s), PTP-Zeitsynchronisation und Programmierbarkeit per REST-API/Python. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/s0f88a;13,70;15,70;S0F88A;HP;standard;Stk;HPE Aruba CX 9300S S0F88A Switch | Hexwaren;Original HPE Aruba Networking CX 9300S S0F88A: gemanagter Layer-3-Switch mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie), Switching-Kapazität 16 – Airflow back-to-front, DC-Netzteil;Netzwerk & Infrastruktur;Switches;Aruba CX 9300S Switches;TRUE;Y;Y
S0F81A;HPE Aruba Networking CX 9300S S0F81A Managed Switch (L3) – 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD, 19-Zoll-Rackmontage (1 HE) (TAA, Trade Agreements Act);<p>Der HPE Aruba Networking CX 9300S S0F81A ist ein gemanagter Layer-3-Switch der Aruba-CX-9300S-Serie mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie). Unter AOS-CX übernimmt er den Zugang im Campus-Access-Layer.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 16 Tbit/s und bindet per 8× 400G-QSFP-DD an das Netz an.</p>;"<p>Der HPE Aruba Networking CX 9300S S0F81A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-9300S-Familie mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie), ausgelegt für den Layer-3-Campus-Access und betrieben unter AOS-CX.</p><p>Mit 42 Ports erreicht der S0F81A eine Switching-Kapazität von 16 Tbit/s bei einer Weiterleitungsrate von Wire-Speed (modellspezifischer Mpps-Wert nicht im Datenblatt ausgewiesen). Der S0F81A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des S0F81A erfolgt über 8× 400G-QSFP-DD; für Hochverfügbarkeit lassen sich zwei S0F81A per Aruba VSX (Virtual Switching Extension) zu einem aktiv-aktiven Paar mit synchronisiertem Forwarding-Zustand koppeln.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der S0F81A im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des S0F81A übernehmen 6 feldaustauschbare Hot-Swap-Lüfter (N+1, Airflow front-to-back) sowie 2 feldaustauschbare Hot-Swap-Netzteile (1600 W AC, N+1, im Bundle). Unter AOS-CX bietet der S0F81A Layer-3-Routing (BGP, OSPF, VRF), BGP-EVPN/VXLAN-Overlays, line-rate MACsec/IPSec/VXLANsec-Verschlüsselung (6,4 / 4,8 Tbit/s), PTP-Zeitsynchronisation und Programmierbarkeit per REST-API/Python. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/s0f81a;13,60;15,60;S0F81A;HP;standard;Stk;HPE Aruba CX 9300S S0F81A Switch | Hexwaren;Original HPE Aruba Networking CX 9300S S0F81A: gemanagter Layer-3-Switch mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) – Airflow front-to-back, Netzteil inklusive, TAA-konform;Netzwerk & Infrastruktur;Switches;Aruba CX 9300S Switches;TRUE;Y;Y
S0F83A;HPE Aruba Networking CX 9300S S0F83A Managed Switch (L3) – 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD, 19-Zoll-Rackmontage (1 HE) (TAA, Trade Agreements Act);<p>Der HPE Aruba Networking CX 9300S S0F83A ist ein gemanagter Layer-3-Switch der Aruba-CX-9300S-Serie mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie). Unter AOS-CX übernimmt er den Zugang im Campus-Access-Layer.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 16 Tbit/s und bindet per 8× 400G-QSFP-DD an das Netz an.</p>;"<p>Der HPE Aruba Networking CX 9300S S0F83A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-9300S-Familie mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie), ausgelegt für den Layer-3-Campus-Access und betrieben unter AOS-CX.</p><p>Mit 42 Ports erreicht der S0F83A eine Switching-Kapazität von 16 Tbit/s bei einer Weiterleitungsrate von Wire-Speed (modellspezifischer Mpps-Wert nicht im Datenblatt ausgewiesen). Der S0F83A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des S0F83A erfolgt über 8× 400G-QSFP-DD; für Hochverfügbarkeit lassen sich zwei S0F83A per Aruba VSX (Virtual Switching Extension) zu einem aktiv-aktiven Paar mit synchronisiertem Forwarding-Zustand koppeln.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der S0F83A im Temperaturbereich 0 bis 40 °C; Kühlung und Stromversorgung des S0F83A übernehmen 6 feldaustauschbare Hot-Swap-Lüfter (N+1, Airflow back-to-front) sowie 2 feldaustauschbare Hot-Swap-Netzteile (1600 W AC, N+1, im Bundle). Unter AOS-CX bietet der S0F83A Layer-3-Routing (BGP, OSPF, VRF), BGP-EVPN/VXLAN-Overlays, line-rate MACsec/IPSec/VXLANsec-Verschlüsselung (6,4 / 4,8 Tbit/s), PTP-Zeitsynchronisation und Programmierbarkeit per REST-API/Python. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/s0f83a;13,60;15,60;S0F83A;HP;standard;Stk;HPE Aruba CX 9300S S0F83A Switch | Hexwaren;Original HPE Aruba Networking CX 9300S S0F83A: gemanagter Layer-3-Switch mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) – Airflow back-to-front, Netzteil inklusive, TAA-konform;Netzwerk & Infrastruktur;Switches;Aruba CX 9300S Switches;TRUE;Y;Y
S0F87A;HPE Aruba Networking CX 9300S S0F87A Managed Switch (L3) – 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD, 19-Zoll-Rackmontage (1 HE) (TAA, Trade Agreements Act);<p>Der HPE Aruba Networking CX 9300S S0F87A ist ein gemanagter Layer-3-Switch der Aruba-CX-9300S-Serie mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie). Unter AOS-CX übernimmt er den Zugang im Campus-Access-Layer.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 16 Tbit/s und bindet per 8× 400G-QSFP-DD an das Netz an.</p>;"<p>Der HPE Aruba Networking CX 9300S S0F87A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-9300S-Familie mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie), ausgelegt für den Layer-3-Campus-Access und betrieben unter AOS-CX.</p><p>Mit 42 Ports erreicht der S0F87A eine Switching-Kapazität von 16 Tbit/s bei einer Weiterleitungsrate von Wire-Speed (modellspezifischer Mpps-Wert nicht im Datenblatt ausgewiesen). Der S0F87A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des S0F87A erfolgt über 8× 400G-QSFP-DD; für Hochverfügbarkeit lassen sich zwei S0F87A per Aruba VSX (Virtual Switching Extension) zu einem aktiv-aktiven Paar mit synchronisiertem Forwarding-Zustand koppeln.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der S0F87A im Temperaturbereich 0 bis 40 °C; Kühlung und Stromversorgung des S0F87A übernehmen 6 feldaustauschbare Hot-Swap-Lüfter (N+1, Airflow back-to-front) sowie 2 feldaustauschbare Hot-Swap-Netzteile (1600 W DC, -40/-75 V, N+1, im Bundle). Unter AOS-CX bietet der S0F87A Layer-3-Routing (BGP, OSPF, VRF), BGP-EVPN/VXLAN-Overlays, line-rate MACsec/IPSec/VXLANsec-Verschlüsselung (6,4 / 4,8 Tbit/s), PTP-Zeitsynchronisation und Programmierbarkeit per REST-API/Python. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/s0f87a;13,70;15,70;S0F87A;HP;standard;Stk;HPE Aruba CX 9300S S0F87A Switch | Hexwaren;Original HPE Aruba Networking CX 9300S S0F87A: gemanagter Layer-3-Switch mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) – Airflow back-to-front, DC-Netzteil, TAA-konform;Netzwerk & Infrastruktur;Switches;Aruba CX 9300S Switches;TRUE;Y;Y
S0F96A;HPE Aruba Networking CX 9300S S0F96A Managed Switch (L3) – 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD, 19-Zoll-Rackmontage (1 HE);<p>Der HPE Aruba Networking CX 9300S S0F96A ist ein gemanagter Layer-3-Switch der Aruba-CX-9300S-Serie mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie). Unter AOS-CX übernimmt er den Zugang im Campus-Access-Layer.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 16 Tbit/s und bindet per 8× 400G-QSFP-DD an das Netz an.</p>;"<p>Der HPE Aruba Networking CX 9300S S0F96A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-9300S-Familie mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie), ausgelegt für den Layer-3-Campus-Access und betrieben unter AOS-CX.</p><p>Mit 42 Ports erreicht der S0F96A eine Switching-Kapazität von 16 Tbit/s bei einer Weiterleitungsrate von Wire-Speed (modellspezifischer Mpps-Wert nicht im Datenblatt ausgewiesen). Der S0F96A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des S0F96A erfolgt über 8× 400G-QSFP-DD; für Hochverfügbarkeit lassen sich zwei S0F96A per Aruba VSX (Virtual Switching Extension) zu einem aktiv-aktiven Paar mit synchronisiertem Forwarding-Zustand koppeln.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der S0F96A im Temperaturbereich 0 bis 45 °C (Front-to-Back) bzw. 0 bis 40 °C (Back-to-Front); Kühlung und Stromversorgung des S0F96A übernehmen Feldaustauschbare Hot-Swap-Lüfter, separat bestellt (Airflow konfigurierbar (front-to-back oder back-to-front)) sowie Feldaustauschbare Hot-Swap-Netzteile (AC oder DC), separat bestellt (bis 2, N+1). Unter AOS-CX bietet der S0F96A Layer-3-Routing (BGP, OSPF, VRF), BGP-EVPN/VXLAN-Overlays, line-rate MACsec/IPSec/VXLANsec-Verschlüsselung (6,4 / 4,8 Tbit/s), PTP-Zeitsynchronisation und Programmierbarkeit per REST-API/Python. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/s0f96a;13,60;15,60;S0F96A;HP;standard;Stk;HPE Aruba CX 9300S S0F96A Switch | Hexwaren;Original HPE Aruba Networking CX 9300S S0F96A: gemanagter Layer-3-Switch mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie), Switching-Kapazität 16 Tbit/s, 8× – Bestellnummernserie S0F96;Netzwerk & Infrastruktur;Switches;Aruba CX 9300S Switches;TRUE;Y;Y
S0F95A;HPE Aruba Networking CX 9300S S0F95A Managed Switch (L3) – 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD, 19-Zoll-Rackmontage (1 HE) (TAA, Trade Agreements Act);<p>Der HPE Aruba Networking CX 9300S S0F95A ist ein gemanagter Layer-3-Switch der Aruba-CX-9300S-Serie mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie). Unter AOS-CX übernimmt er den Zugang im Campus-Access-Layer.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 16 Tbit/s und bindet per 8× 400G-QSFP-DD an das Netz an.</p>;"<p>Der HPE Aruba Networking CX 9300S S0F95A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-9300S-Familie mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie), ausgelegt für den Layer-3-Campus-Access und betrieben unter AOS-CX.</p><p>Mit 42 Ports erreicht der S0F95A eine Switching-Kapazität von 16 Tbit/s bei einer Weiterleitungsrate von Wire-Speed (modellspezifischer Mpps-Wert nicht im Datenblatt ausgewiesen). Der S0F95A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des S0F95A erfolgt über 8× 400G-QSFP-DD; für Hochverfügbarkeit lassen sich zwei S0F95A per Aruba VSX (Virtual Switching Extension) zu einem aktiv-aktiven Paar mit synchronisiertem Forwarding-Zustand koppeln.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der S0F95A im Temperaturbereich 0 bis 45 °C (Front-to-Back) bzw. 0 bis 40 °C (Back-to-Front); Kühlung und Stromversorgung des S0F95A übernehmen Feldaustauschbare Hot-Swap-Lüfter, separat bestellt (Airflow konfigurierbar (front-to-back oder back-to-front)) sowie Feldaustauschbare Hot-Swap-Netzteile (AC oder DC), separat bestellt (bis 2, N+1). Unter AOS-CX bietet der S0F95A Layer-3-Routing (BGP, OSPF, VRF), BGP-EVPN/VXLAN-Overlays, line-rate MACsec/IPSec/VXLANsec-Verschlüsselung (6,4 / 4,8 Tbit/s), PTP-Zeitsynchronisation und Programmierbarkeit per REST-API/Python. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/s0f95a;13,60;15,60;S0F95A;HP;standard;Stk;HPE Aruba CX 9300S S0F95A Switch | Hexwaren;Original HPE Aruba Networking CX 9300S S0F95A: gemanagter Layer-3-Switch mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie), Switching-Kapazität 16 – TAA-konform, Bestellnummernserie S0F95;Netzwerk & Infrastruktur;Switches;Aruba CX 9300S Switches;TRUE;Y;Y
S0F86A;HPE Aruba Networking CX 9300S S0F86A Managed Switch (L3) – 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD, 19-Zoll-Rackmontage (1 HE);<p>Der HPE Aruba Networking CX 9300S S0F86A ist ein gemanagter Layer-3-Switch der Aruba-CX-9300S-Serie mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie). Unter AOS-CX übernimmt er den Zugang im Campus-Access-Layer.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 16 Tbit/s und bindet per 8× 400G-QSFP-DD an das Netz an.</p>;"<p>Der HPE Aruba Networking CX 9300S S0F86A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-9300S-Familie mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie), ausgelegt für den Layer-3-Campus-Access und betrieben unter AOS-CX.</p><p>Mit 42 Ports erreicht der S0F86A eine Switching-Kapazität von 16 Tbit/s bei einer Weiterleitungsrate von Wire-Speed (modellspezifischer Mpps-Wert nicht im Datenblatt ausgewiesen). Der S0F86A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des S0F86A erfolgt über 8× 400G-QSFP-DD; für Hochverfügbarkeit lassen sich zwei S0F86A per Aruba VSX (Virtual Switching Extension) zu einem aktiv-aktiven Paar mit synchronisiertem Forwarding-Zustand koppeln.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der S0F86A im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des S0F86A übernehmen 6 feldaustauschbare Hot-Swap-Lüfter (N+1, Airflow front-to-back) sowie 2 feldaustauschbare Hot-Swap-Netzteile (1600 W DC, -40/-75 V, N+1, im Bundle). Unter AOS-CX bietet der S0F86A Layer-3-Routing (BGP, OSPF, VRF), BGP-EVPN/VXLAN-Overlays, line-rate MACsec/IPSec/VXLANsec-Verschlüsselung (6,4 / 4,8 Tbit/s), PTP-Zeitsynchronisation und Programmierbarkeit per REST-API/Python. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/s0f86a;13,70;15,70;S0F86A;HP;standard;Stk;HPE Aruba CX 9300S S0F86A Switch | Hexwaren;Original HPE Aruba Networking CX 9300S S0F86A: gemanagter Layer-3-Switch mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie), Switching-Kapazität 16 Tbit/s, 8× – Bestellnummernserie S0F86;Netzwerk & Infrastruktur;Switches;Aruba CX 9300S Switches;TRUE;Y;Y
S0F85A;HPE Aruba Networking CX 9300S S0F85A Managed Switch (L3) – 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD, 19-Zoll-Rackmontage (1 HE) (TAA, Trade Agreements Act);<p>Der HPE Aruba Networking CX 9300S S0F85A ist ein gemanagter Layer-3-Switch der Aruba-CX-9300S-Serie mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie). Unter AOS-CX übernimmt er den Zugang im Campus-Access-Layer.</p><p>Im Formfaktor 19-Zoll-Rackmontage (1 HE) liefert er eine Switching-Kapazität von 16 Tbit/s und bindet per 8× 400G-QSFP-DD an das Netz an.</p>;"<p>Der HPE Aruba Networking CX 9300S S0F85A ist ein gemanagter Layer-3-Switch aus der Aruba-CX-9300S-Familie mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie), ausgelegt für den Layer-3-Campus-Access und betrieben unter AOS-CX.</p><p>Mit 42 Ports erreicht der S0F85A eine Switching-Kapazität von 16 Tbit/s bei einer Weiterleitungsrate von Wire-Speed (modellspezifischer Mpps-Wert nicht im Datenblatt ausgewiesen). Der S0F85A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Die Uplink-Anbindung des S0F85A erfolgt über 8× 400G-QSFP-DD; für Hochverfügbarkeit lassen sich zwei S0F85A per Aruba VSX (Virtual Switching Extension) zu einem aktiv-aktiven Paar mit synchronisiertem Forwarding-Zustand koppeln.</p><p>Im Gehäuse 19-Zoll-Rackmontage (1 HE) arbeitet der S0F85A im Temperaturbereich 0 bis 45 °C; Kühlung und Stromversorgung des S0F85A übernehmen 6 feldaustauschbare Hot-Swap-Lüfter (N+1, Airflow front-to-back) sowie 2 feldaustauschbare Hot-Swap-Netzteile (1600 W DC, -40/-75 V, N+1, im Bundle). Unter AOS-CX bietet der S0F85A Layer-3-Routing (BGP, OSPF, VRF), BGP-EVPN/VXLAN-Overlays, line-rate MACsec/IPSec/VXLANsec-Verschlüsselung (6,4 / 4,8 Tbit/s), PTP-Zeitsynchronisation und Programmierbarkeit per REST-API/Python. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/s0f85a;13,70;15,70;S0F85A;HP;standard;Stk;HPE Aruba CX 9300S S0F85A Switch | Hexwaren;Original HPE Aruba Networking CX 9300S S0F85A: gemanagter Layer-3-Switch mit 32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie), Switching-Kapazität 16 – TAA-konform, Bestellnummernserie S0F85;Netzwerk & Infrastruktur;Switches;Aruba CX 9300S Switches;TRUE;Y;Y
