Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
S0F82A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0F84A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0F88A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0F81A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0F83A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0F87A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0F96A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0F95A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0F86A,,condition,Funktionsattribut,Wertliste,Deutsch,new
S0F85A,,condition,Funktionsattribut,Wertliste,Deutsch,new
