Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
S0F82A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F82A,Layer,L3,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F82A,Portanzahl,42,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F82A,Port-Konfiguration,32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD (Uplink),https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F82A,Port-Geschwindigkeit,"10/25/100/200 GbE (QSFP28, Access), 400 GbE (QSFP-DD, Uplink)",https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F82A,Uplink-Ports,8× 400G-QSFP-DD,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F82A,PoE,Nein,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F82A,Switching-Kapazität,16 Tbit/s,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F82A,Durchsatz,Wire-Speed (modellspezifischer Mpps-Wert nicht im Datenblatt ausgewiesen),https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F82A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F82A,Stromversorgung,"2 feldaustauschbare Hot-Swap-Netzteile (1.600 W AC, N+1, im Bundle)",https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F82A,Kühlung,"6 feldaustauschbare Hot-Swap-Lüfter (N+1, Airflow front-to-back)",https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F82A,Stacking,"VSX (Aruba Virtual Switching Extension) – 2-Node-Hochverfügbarkeit, aktiv-aktiv mit synchronisiertem Forwarding-Zustand (MC-LAG)",https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F82A,Betriebstemperatur,0 bis 45 °C,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F82A,Anwendung,"Sicheres Data-Center-Leaf/DCI (Layer 3, AOS-CX) mit 100G-Access und 400G-QSFP-DD-Uplinks, line-rate MACsec/IPSec/VXLANsec-Verschlüsselung, EVPN-VXLAN und VSX",https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F84A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F84A,Layer,L3,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F84A,Portanzahl,42,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F84A,Port-Konfiguration,32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD (Uplink),https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F84A,Port-Geschwindigkeit,"10/25/100/200 GbE (QSFP28, Access), 400 GbE (QSFP-DD, Uplink)",https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F84A,Uplink-Ports,8× 400G-QSFP-DD,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F84A,PoE,Nein,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F84A,Switching-Kapazität,16 Tbit/s,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F84A,Durchsatz,Wire-Speed (modellspezifischer Mpps-Wert nicht im Datenblatt ausgewiesen),https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F84A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F84A,Stromversorgung,"2 feldaustauschbare Hot-Swap-Netzteile (1.600 W AC, N+1, im Bundle)",https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F84A,Kühlung,"6 feldaustauschbare Hot-Swap-Lüfter (N+1, Airflow back-to-front)",https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F84A,Stacking,"VSX (Aruba Virtual Switching Extension) – 2-Node-Hochverfügbarkeit, aktiv-aktiv mit synchronisiertem Forwarding-Zustand (MC-LAG)",https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F84A,Betriebstemperatur,0 bis 40 °C,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F84A,Anwendung,"Sicheres Data-Center-Leaf/DCI (Layer 3, AOS-CX) mit 100G-Access und 400G-QSFP-DD-Uplinks, line-rate MACsec/IPSec/VXLANsec-Verschlüsselung, EVPN-VXLAN und VSX",https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F88A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F88A,Layer,L3,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F88A,Portanzahl,42,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F88A,Port-Konfiguration,32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD (Uplink),https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F88A,Port-Geschwindigkeit,"10/25/100/200 GbE (QSFP28, Access), 400 GbE (QSFP-DD, Uplink)",https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F88A,Uplink-Ports,8× 400G-QSFP-DD,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F88A,PoE,Nein,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F88A,Switching-Kapazität,16 Tbit/s,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F88A,Durchsatz,Wire-Speed (modellspezifischer Mpps-Wert nicht im Datenblatt ausgewiesen),https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F88A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F88A,Stromversorgung,"2 feldaustauschbare Hot-Swap-Netzteile (1.600 W DC, -40/-75 V, N+1, im Bundle)",https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F88A,Kühlung,"6 feldaustauschbare Hot-Swap-Lüfter (N+1, Airflow back-to-front)",https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F88A,Stacking,"VSX (Aruba Virtual Switching Extension) – 2-Node-Hochverfügbarkeit, aktiv-aktiv mit synchronisiertem Forwarding-Zustand (MC-LAG)",https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F88A,Betriebstemperatur,0 bis 40 °C,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F88A,Anwendung,"Sicheres Data-Center-Leaf/DCI (Layer 3, AOS-CX) mit 100G-Access und 400G-QSFP-DD-Uplinks, line-rate MACsec/IPSec/VXLANsec-Verschlüsselung, EVPN-VXLAN und VSX",https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F81A,Switch-Typ,Managed,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F81A,Layer,L3,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F81A,Portanzahl,42,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F81A,Port-Konfiguration,32× 10/25/100G-QSFP28 (Access) + 2× 1/10G (Telemetrie) + 8× 400G-QSFP-DD (Uplink),https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F81A,Port-Geschwindigkeit,"10/25/100/200 GbE (QSFP28, Access), 400 GbE (QSFP-DD, Uplink)",https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F81A,Uplink-Ports,8× 400G-QSFP-DD,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F81A,PoE,Nein,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F81A,Switching-Kapazität,16 Tbit/s,https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F81A,Durchsatz,Wire-Speed (modellspezifischer Mpps-Wert nicht im Datenblatt ausgewiesen),https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
S0F81A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/a00125744enw,datasheet,2026-06-30T15:45:01Z
