Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
JL810A,Switch-Typ,Smart-Managed,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL810A,Layer,L2,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL810A,Portanzahl,8,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL810A,Port-Konfiguration,8× 10/100/1000 (RJ45; Port 1 als 802.3af-Class-3-PD speisbar),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL810A,Port-Geschwindigkeit,10/100/1000 Mbit/s (RJ45),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL810A,Uplink-Ports,Kein dedizierter Uplink (alle Ports gleichwertig nutzbar),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL810A,PoE,Nein,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL810A,Switching-Kapazität,16 Gbit/s,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL810A,Durchsatz,"11,90 Mpps",https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL810A,Bauform,Desktop-/Wandmontage (kompakt),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL810A,Stromversorgung,Externes Steckernetzteil (im Lieferumfang),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL810A,Kühlung,Lüfterlos (passiv gekühlt),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL810A,Stacking,Nein (kein Stacking; Link-Aggregation über LACP),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL810A,Betriebstemperatur,0 bis 40 °C,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL810A,Anwendung,"Smart-managed SMB-Zugang (Layer 2, Aruba Instant On) mit VLANs, QoS und cloud-basiertem Management",https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL811A,Switch-Typ,Smart-Managed,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL811A,Layer,L2,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL811A,Portanzahl,8,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL811A,Port-Konfiguration,8× 10/100/1000 (RJ45; davon 4 Class-4-PoE-Ports),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL811A,Port-Geschwindigkeit,10/100/1000 Mbit/s (RJ45),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL811A,Uplink-Ports,Kein dedizierter Uplink (alle Ports gleichwertig nutzbar),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL811A,PoE,"Ja (IEEE 802.3at Class 4 PoE+, 30 W/Port, Budget 65 W)",https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL811A,Switching-Kapazität,16 Gbit/s,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL811A,Durchsatz,"11,90 Mpps",https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL811A,Bauform,Desktop-/1-HE-Rackmontage (kompakt),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL811A,Stromversorgung,Internes Netzteil,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL811A,Kühlung,Lüfterlos (passiv gekühlt),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL811A,Stacking,Nein (kein Stacking; Link-Aggregation über LACP),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL811A,Betriebstemperatur,0 bis 40 °C,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL811A,Anwendung,"Smart-managed SMB-Zugang (Layer 2, Aruba Instant On) mit VLANs, QoS und cloud-basiertem Management",https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL812A,Switch-Typ,Smart-Managed,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL812A,Layer,L2,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL812A,Portanzahl,26,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL812A,Port-Konfiguration,24× 10/100/1000 (RJ45) + 2× 1G SFP (Uplink),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL812A,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 1 GbE (SFP)",https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL812A,Uplink-Ports,2× 1G SFP,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL812A,PoE,Nein,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL812A,Switching-Kapazität,52 Gbit/s,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL812A,Durchsatz,"38,68 Mpps",https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL812A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL812A,Stromversorgung,Internes Netzteil,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL812A,Kühlung,Lüfterlos (passiv gekühlt),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL812A,Stacking,Nein (kein Stacking; Link-Aggregation über LACP),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL812A,Betriebstemperatur,0 bis 40 °C,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL812A,Anwendung,"Smart-managed SMB-Zugang (Layer 2, Aruba Instant On) mit VLANs, QoS und cloud-basiertem Management",https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL813A,Switch-Typ,Smart-Managed,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL813A,Layer,L2,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL813A,Portanzahl,26,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL813A,Port-Konfiguration,24× 10/100/1000 (RJ45; davon 12 Class-4-PoE-Ports) + 2× 1G SFP (Uplink),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL813A,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 1 GbE (SFP)",https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL813A,Uplink-Ports,2× 1G SFP,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL813A,PoE,"Ja (IEEE 802.3at Class 4 PoE+, 30 W/Port, Budget 195 W)",https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL813A,Switching-Kapazität,52 Gbit/s,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL813A,Durchsatz,"38,68 Mpps",https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL813A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL813A,Stromversorgung,Internes Netzteil,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL813A,Kühlung,Lüftergekühlt (variable Lüfterdrehzahl),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL813A,Stacking,Nein (kein Stacking; Link-Aggregation über LACP),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL813A,Betriebstemperatur,0 bis 40 °C,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL813A,Anwendung,"Smart-managed SMB-Zugang (Layer 2, Aruba Instant On) mit VLANs, QoS und cloud-basiertem Management",https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL814A,Switch-Typ,Smart-Managed,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL814A,Layer,L2,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL814A,Portanzahl,52,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL814A,Port-Konfiguration,48× 10/100/1000 (RJ45) + 4× 1G SFP (Uplink),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL814A,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 1 GbE (SFP)",https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL814A,Uplink-Ports,4× 1G SFP,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL814A,PoE,Nein,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL814A,Switching-Kapazität,104 Gbit/s,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL814A,Durchsatz,"77,37 Mpps",https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL814A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL814A,Stromversorgung,Internes Netzteil,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL814A,Kühlung,Lüftergekühlt (variable Lüfterdrehzahl),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL814A,Stacking,Nein (kein Stacking; Link-Aggregation über LACP),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL814A,Betriebstemperatur,0 bis 40 °C,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL814A,Anwendung,"Smart-managed SMB-Zugang (Layer 2, Aruba Instant On) mit VLANs, QoS und cloud-basiertem Management",https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL815A,Switch-Typ,Smart-Managed,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL815A,Layer,L2,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL815A,Portanzahl,52,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL815A,Port-Konfiguration,48× 10/100/1000 (RJ45; davon 24 Class-4-PoE-Ports) + 4× 1G SFP (Uplink),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL815A,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 1 GbE (SFP)",https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL815A,Uplink-Ports,4× 1G SFP,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL815A,PoE,"Ja (IEEE 802.3at Class 4 PoE+, 30 W/Port, Budget 370 W)",https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL815A,Switching-Kapazität,104 Gbit/s,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL815A,Durchsatz,"77,37 Mpps",https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL815A,Bauform,19-Zoll-Rackmontage (1 HE),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL815A,Stromversorgung,Internes Netzteil,https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
JL815A,Kühlung,Lüftergekühlt (variable Lüfterdrehzahl),https://www.hpe.com/psnow/doc/a00119988enw,datasheet,2026-07-02T03:59:47Z
