Artikelnummer;Artikelname;Kurzbeschreibung;Beschreibung;URL-Pfad;Artikelgewicht;Versandgewicht;HAN;Hersteller;Versandklasse;Verkaufseinheit;Titel-Tag (SEO);Meta-Description (SEO);Kategorie Ebene 1;Kategorie Ebene 2;Kategorie Ebene 3;Überverkauf Plattform Hexwaren;Bestandsführung aktiv;Überverkäufe möglich
JL680A;Aruba Instant On 1930 8G 2SFP JL680A Managed Switch (L2) – 8× 10/100/1000 (RJ45) + 2× 1G SFP, Desktop-/Wandmontage;<p>Der Aruba Instant On 1930 8G 2SFP (JL680A) ist ein gemanagter Layer-2-Switch der Aruba-Instant-On-1930-Serie mit 10 Ports, verwaltet zentral über der Aruba Instant On Cloud (Portal und Mobile-App).</p><p>Im Formfaktor Desktop-/Wandmontage liefert der JL680A eine Switching-Kapazität von 20 Gbit/s und bindet per 2× 1G SFP an das Netz an.</p>;"<p>Der Aruba Instant On 1930 8G 2SFP (JL680A) ist ein gemanagter Layer-2-Switch aus der Aruba-Instant-On-1930-Familie mit 10 Ports (8× 10/100/1000 (RJ45)), ausgelegt für den cloud-verwalteten Zugang in kleinen und mittleren Netzen.</p><p>Mit 10 Ports erreicht der JL680A eine Switching-Kapazität von 20 Gbit/s bei einer Weiterleitungsrate von 14,88 Mpps. Der JL680A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Über Aruba Instant On wird der JL680A per Mobile-App oder Cloud-Portal verwaltet; mehrere Uplinks lassen sich per LACP bündeln, ein dediziertes Stacking bietet die 1930-Serie nicht.</p><p>Im Formfaktor Desktop-/Wandmontage arbeitet der JL680A im Temperaturbereich 0 bis 40 °C; für Kühlung und Stromversorgung des JL680A sorgen Lüfterlos (passiv gekühlt) sowie Externes Steckernetzteil (im Lieferumfang). Der JL680A bietet Layer-2+-Funktionen mit statischem IPv4-Routing (bis 32 Routen), VLANs, ACLs, QoS und 802.1X. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/jl680a;0,82;2,82;JL680A;HP;standard;Stk;Aruba Instant On 1930 8G 2SFP JL680A | Hexwaren;Original Aruba Instant On 1930 8G 2SFP (JL680A): gemanagter Layer-2-Switch mit 8× 10/100/1000 (RJ45), Switching-Kapazität 20 Gbit/s, ohne PoE, Aruba Instant On Cloud-Management.;Netzwerk & Infrastruktur;Switches;Aruba Instant On 1930 Switches;TRUE;Y;Y
JL681A;Aruba Instant On 1930 8G Class4 PoE 2SFP 124W JL681A Managed Switch (L2) – 8× 10/100/1000 (RJ45, Class 4 PoE) + 2× 1G SFP, Desktop-/Wandmontage;<p>Der Aruba Instant On 1930 8G Class4 PoE 2SFP 124W (JL681A) ist ein gemanagter Layer-2-Switch der Aruba-Instant-On-1930-Serie mit 10 Ports, verwaltet zentral über der Aruba Instant On Cloud (Portal und Mobile-App).</p><p>Im Formfaktor Desktop-/Wandmontage liefert der JL681A eine Switching-Kapazität von 20 Gbit/s und bindet per 2× 1G SFP an das Netz an. Über Power over Ethernet versorgt der JL681A angeschlossene Endgeräte direkt per Netzwerkkabel.</p>;"<p>Der Aruba Instant On 1930 8G Class4 PoE 2SFP 124W (JL681A) ist ein gemanagter Layer-2-Switch aus der Aruba-Instant-On-1930-Familie mit 10 Ports (8× 10/100/1000 (RJ45, Class 4 PoE)), ausgelegt für den cloud-verwalteten Zugang in kleinen und mittleren Netzen.</p><p>Mit 10 Ports erreicht der JL681A eine Switching-Kapazität von 20 Gbit/s bei einer Weiterleitungsrate von 14,88 Mpps. Der JL681A versorgt Access Points, IP-Telefone und Kameras per Power over Ethernet direkt über das Netzwerkkabel. Über Aruba Instant On wird der JL681A per Mobile-App oder Cloud-Portal verwaltet; mehrere Uplinks lassen sich per LACP bündeln, ein dediziertes Stacking bietet die 1930-Serie nicht.</p><p>Im Formfaktor Desktop-/Wandmontage arbeitet der JL681A im Temperaturbereich 0 bis 40 °C; für Kühlung und Stromversorgung des JL681A sorgen Lüfterlos (passiv gekühlt) sowie Internes Netzteil. Der JL681A bietet Layer-2+-Funktionen mit statischem IPv4-Routing (bis 32 Routen), VLANs, ACLs, QoS und 802.1X. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/jl681a;1,16;3,16;JL681A;HP;standard;Stk;Instant On 1930 8G Class4 PoE 2SFP 124W JL681A | Hexwaren;Original Aruba Instant On 1930 8G Class4 PoE 2SFP 124W (JL681A): gemanagter Layer-2-Switch mit 8× 10/100/1000 (RJ45, Class 4 PoE), Switching-Kapazität 20 Gbit/s, PoE-Budget 124 W, Aruba Instant On Clo;Netzwerk & Infrastruktur;Switches;Aruba Instant On 1930 Switches;TRUE;Y;Y
JL682A;Aruba Instant On 1930 24G 4SFP/SFP+ JL682A Managed Switch (L2) – 24× 10/100/1000 (RJ45) + 4× 1/10G SFP+, 19-Zoll-Rackmontage;<p>Der Aruba Instant On 1930 24G 4SFP/SFP+ (JL682A) ist ein gemanagter Layer-2-Switch der Aruba-Instant-On-1930-Serie mit 28 Ports, verwaltet zentral über der Aruba Instant On Cloud (Portal und Mobile-App).</p><p>Im Formfaktor 19-Zoll-Rackmontage liefert der JL682A eine Switching-Kapazität von 128 Gbit/s und bindet per 4× 1/10G SFP+ an das Netz an.</p>;"<p>Der Aruba Instant On 1930 24G 4SFP/SFP+ (JL682A) ist ein gemanagter Layer-2-Switch aus der Aruba-Instant-On-1930-Familie mit 28 Ports (24× 10/100/1000 (RJ45)), ausgelegt für den cloud-verwalteten Zugang in kleinen und mittleren Netzen.</p><p>Mit 28 Ports erreicht der JL682A eine Switching-Kapazität von 128 Gbit/s bei einer Weiterleitungsrate von 95,23 Mpps. Der JL682A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Über Aruba Instant On wird der JL682A per Mobile-App oder Cloud-Portal verwaltet; mehrere Uplinks lassen sich per LACP bündeln, ein dediziertes Stacking bietet die 1930-Serie nicht.</p><p>Im Formfaktor 19-Zoll-Rackmontage arbeitet der JL682A im Temperaturbereich 0 bis 40 °C; für Kühlung und Stromversorgung des JL682A sorgen Lüfterlos (passiv gekühlt) sowie Internes Netzteil. Der JL682A bietet Layer-2+-Funktionen mit statischem IPv4-Routing (bis 32 Routen), VLANs, ACLs, QoS und 802.1X. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/jl682a;2,41;4,41;JL682A;HP;standard;Stk;Aruba Instant On 1930 24G 4SFP/SFP+ JL682A | Hexwaren;Original Aruba Instant On 1930 24G 4SFP/SFP+ (JL682A): gemanagter Layer-2-Switch mit 24× 10/100/1000 (RJ45), Switching-Kapazität 128 Gbit/s, ohne PoE, Aruba Instant On Cloud-Management.;Netzwerk & Infrastruktur;Switches;Aruba Instant On 1930 Switches;TRUE;Y;Y
JL683A;Aruba Instant On 1930 24G Class4 PoE 4SFP/SFP+ 195W JL683A Managed Switch (L2) – 24× 10/100/1000 (RJ45, Class 4 PoE) + 4× 1/10G SFP+, 19-Zoll-Rackmontage;<p>Der Aruba Instant On 1930 24G Class4 PoE 4SFP/SFP+ 195W (JL683A) ist ein gemanagter Layer-2-Switch der Aruba-Instant-On-1930-Serie mit 28 Ports, verwaltet zentral über der Aruba Instant On Cloud (Portal und Mobile-App).</p><p>Im Formfaktor 19-Zoll-Rackmontage liefert der JL683A eine Switching-Kapazität von 128 Gbit/s und bindet per 4× 1/10G SFP+ an das Netz an. Über Power over Ethernet versorgt der JL683A angeschlossene Endgeräte direkt per Netzwerkkabel.</p>;"<p>Der Aruba Instant On 1930 24G Class4 PoE 4SFP/SFP+ 195W (JL683A) ist ein gemanagter Layer-2-Switch aus der Aruba-Instant-On-1930-Familie mit 28 Ports (24× 10/100/1000 (RJ45, Class 4 PoE)), ausgelegt für den cloud-verwalteten Zugang in kleinen und mittleren Netzen.</p><p>Mit 28 Ports erreicht der JL683A eine Switching-Kapazität von 128 Gbit/s bei einer Weiterleitungsrate von 95,23 Mpps. Der JL683A versorgt Access Points, IP-Telefone und Kameras per Power over Ethernet direkt über das Netzwerkkabel. Über Aruba Instant On wird der JL683A per Mobile-App oder Cloud-Portal verwaltet; mehrere Uplinks lassen sich per LACP bündeln, ein dediziertes Stacking bietet die 1930-Serie nicht.</p><p>Im Formfaktor 19-Zoll-Rackmontage arbeitet der JL683A im Temperaturbereich 0 bis 40 °C; für Kühlung und Stromversorgung des JL683A sorgen Lüftergekühlt (variable Lüfterdrehzahl) sowie Internes Netzteil. Der JL683A bietet Layer-2+-Funktionen mit statischem IPv4-Routing (bis 32 Routen), VLANs, ACLs, QoS und 802.1X. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/jl683a;3,50;5,50;JL683A;HP;standard;Stk;Instant On 1930 24G Class4 PoE 4SFP/SFP+ 195W | Hexwaren;Original Aruba Instant On 1930 24G Class4 PoE 4SFP/SFP+ 195W (JL683A): gemanagter Layer-2-Switch mit 24× 10/100/1000 (RJ45, Class 4 PoE), Switching-Kapazität 128 Gbit/s, PoE-Budget 195 W, Aruba Instan;Netzwerk & Infrastruktur;Switches;Aruba Instant On 1930 Switches;TRUE;Y;Y
JL684A;Aruba Instant On 1930 24G Class4 PoE 4SFP/SFP+ 370W JL684A Managed Switch (L2) – 24× 10/100/1000 (RJ45, Class 4 PoE) + 4× 1/10G SFP+, 19-Zoll-Rackmontage;<p>Der Aruba Instant On 1930 24G Class4 PoE 4SFP/SFP+ 370W (JL684A) ist ein gemanagter Layer-2-Switch der Aruba-Instant-On-1930-Serie mit 28 Ports, verwaltet zentral über der Aruba Instant On Cloud (Portal und Mobile-App).</p><p>Im Formfaktor 19-Zoll-Rackmontage liefert der JL684A eine Switching-Kapazität von 128 Gbit/s und bindet per 4× 1/10G SFP+ an das Netz an. Über Power over Ethernet versorgt der JL684A angeschlossene Endgeräte direkt per Netzwerkkabel.</p>;"<p>Der Aruba Instant On 1930 24G Class4 PoE 4SFP/SFP+ 370W (JL684A) ist ein gemanagter Layer-2-Switch aus der Aruba-Instant-On-1930-Familie mit 28 Ports (24× 10/100/1000 (RJ45, Class 4 PoE)), ausgelegt für den cloud-verwalteten Zugang in kleinen und mittleren Netzen.</p><p>Mit 28 Ports erreicht der JL684A eine Switching-Kapazität von 128 Gbit/s bei einer Weiterleitungsrate von 95,23 Mpps. Der JL684A versorgt Access Points, IP-Telefone und Kameras per Power over Ethernet direkt über das Netzwerkkabel. Über Aruba Instant On wird der JL684A per Mobile-App oder Cloud-Portal verwaltet; mehrere Uplinks lassen sich per LACP bündeln, ein dediziertes Stacking bietet die 1930-Serie nicht.</p><p>Im Formfaktor 19-Zoll-Rackmontage arbeitet der JL684A im Temperaturbereich 0 bis 40 °C; für Kühlung und Stromversorgung des JL684A sorgen Lüftergekühlt (variable Lüfterdrehzahl) sowie Internes Netzteil. Der JL684A bietet Layer-2+-Funktionen mit statischem IPv4-Routing (bis 32 Routen), VLANs, ACLs, QoS und 802.1X. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/jl684a;3,67;5,67;JL684A;HP;standard;Stk;Instant On 1930 24G Class4 PoE 4SFP/SFP+ 370W | Hexwaren;Original Aruba Instant On 1930 24G Class4 PoE 4SFP/SFP+ 370W (JL684A): gemanagter Layer-2-Switch mit 24× 10/100/1000 (RJ45, Class 4 PoE), Switching-Kapazität 128 Gbit/s, PoE-Budget 370 W, Aruba Instan;Netzwerk & Infrastruktur;Switches;Aruba Instant On 1930 Switches;TRUE;Y;Y
JL685A;Aruba Instant On 1930 48G 4SFP/SFP+ JL685A Managed Switch (L2) – 48× 10/100/1000 (RJ45) + 4× 1/10G SFP+, 19-Zoll-Rackmontage;<p>Der Aruba Instant On 1930 48G 4SFP/SFP+ (JL685A) ist ein gemanagter Layer-2-Switch der Aruba-Instant-On-1930-Serie mit 52 Ports, verwaltet zentral über der Aruba Instant On Cloud (Portal und Mobile-App).</p><p>Im Formfaktor 19-Zoll-Rackmontage liefert der JL685A eine Switching-Kapazität von 176 Gbit/s und bindet per 4× 1/10G SFP+ an das Netz an.</p>;"<p>Der Aruba Instant On 1930 48G 4SFP/SFP+ (JL685A) ist ein gemanagter Layer-2-Switch aus der Aruba-Instant-On-1930-Familie mit 52 Ports (48× 10/100/1000 (RJ45)), ausgelegt für den cloud-verwalteten Zugang in kleinen und mittleren Netzen.</p><p>Mit 52 Ports erreicht der JL685A eine Switching-Kapazität von 176 Gbit/s bei einer Weiterleitungsrate von 130,95 Mpps. Der JL685A ist ein Modell ohne PoE und konzentriert sich auf reine Datenanbindung. Über Aruba Instant On wird der JL685A per Mobile-App oder Cloud-Portal verwaltet; mehrere Uplinks lassen sich per LACP bündeln, ein dediziertes Stacking bietet die 1930-Serie nicht.</p><p>Im Formfaktor 19-Zoll-Rackmontage arbeitet der JL685A im Temperaturbereich 0 bis 40 °C; für Kühlung und Stromversorgung des JL685A sorgen Lüfterlos (passiv gekühlt) sowie Internes Netzteil. Der JL685A bietet Layer-2+-Funktionen mit statischem IPv4-Routing (bis 32 Routen), VLANs, ACLs, QoS und 802.1X. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/jl685a;3,13;5,13;JL685A;HP;standard;Stk;Aruba Instant On 1930 48G 4SFP/SFP+ JL685A | Hexwaren;Original Aruba Instant On 1930 48G 4SFP/SFP+ (JL685A): gemanagter Layer-2-Switch mit 48× 10/100/1000 (RJ45), Switching-Kapazität 176 Gbit/s, ohne PoE, Aruba Instant On Cloud-Management.;Netzwerk & Infrastruktur;Switches;Aruba Instant On 1930 Switches;TRUE;Y;Y
JL686A;Aruba Instant On 1930 48G Class4 PoE 4SFP/SFP+ 370W JL686A Managed Switch (L2) – 48× 10/100/1000 (RJ45, Class 4 PoE) + 4× 1/10G SFP+, 19-Zoll-Rackmontage;<p>Der Aruba Instant On 1930 48G Class4 PoE 4SFP/SFP+ 370W (JL686A) ist ein gemanagter Layer-2-Switch der Aruba-Instant-On-1930-Serie mit 52 Ports, verwaltet zentral über der Aruba Instant On Cloud (Portal und Mobile-App).</p><p>Im Formfaktor 19-Zoll-Rackmontage liefert der JL686A eine Switching-Kapazität von 176 Gbit/s und bindet per 4× 1/10G SFP+ an das Netz an. Über Power over Ethernet versorgt der JL686A angeschlossene Endgeräte direkt per Netzwerkkabel.</p>;"<p>Der Aruba Instant On 1930 48G Class4 PoE 4SFP/SFP+ 370W (JL686A) ist ein gemanagter Layer-2-Switch aus der Aruba-Instant-On-1930-Familie mit 52 Ports (48× 10/100/1000 (RJ45, Class 4 PoE)), ausgelegt für den cloud-verwalteten Zugang in kleinen und mittleren Netzen.</p><p>Mit 52 Ports erreicht der JL686A eine Switching-Kapazität von 176 Gbit/s bei einer Weiterleitungsrate von 130,95 Mpps. Der JL686A versorgt Access Points, IP-Telefone und Kameras per Power over Ethernet direkt über das Netzwerkkabel. Über Aruba Instant On wird der JL686A per Mobile-App oder Cloud-Portal verwaltet; mehrere Uplinks lassen sich per LACP bündeln, ein dediziertes Stacking bietet die 1930-Serie nicht.</p><p>Im Formfaktor 19-Zoll-Rackmontage arbeitet der JL686A im Temperaturbereich 0 bis 40 °C; für Kühlung und Stromversorgung des JL686A sorgen Lüftergekühlt (variable Lüfterdrehzahl) sowie Internes Netzteil. Der JL686A bietet Layer-2+-Funktionen mit statischem IPv4-Routing (bis 32 Routen), VLANs, ACLs, QoS und 802.1X. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/jl686a;4,52;6,52;JL686A;HP;standard;Stk;Instant On 1930 48G Class4 PoE 4SFP/SFP+ 370W | Hexwaren;Original Aruba Instant On 1930 48G Class4 PoE 4SFP/SFP+ 370W (JL686A): gemanagter Layer-2-Switch mit 48× 10/100/1000 (RJ45, Class 4 PoE), Switching-Kapazität 176 Gbit/s, PoE-Budget 370 W, Aruba Instan;Netzwerk & Infrastruktur;Switches;Aruba Instant On 1930 Switches;TRUE;Y;Y
JL683B;Aruba Instant On 1930 24G Class4 PoE 4SFP/SFP+ 195W (Rev B) JL683B Managed Switch (L2) – 24× 10/100/1000 (RJ45, Class 4 PoE) + 4× 1/10G SFP+, 19-Zoll-Rackmontage;<p>Der Aruba Instant On 1930 24G Class4 PoE 4SFP/SFP+ 195W (Rev B) (JL683B) ist ein gemanagter Layer-2-Switch der Aruba-Instant-On-1930-Serie mit 28 Ports, verwaltet zentral über der Aruba Instant On Cloud (Portal und Mobile-App).</p><p>Im Formfaktor 19-Zoll-Rackmontage liefert der JL683B eine Switching-Kapazität von 128 Gbit/s und bindet per 4× 1/10G SFP+ an das Netz an. Über Power over Ethernet versorgt der JL683B angeschlossene Endgeräte direkt per Netzwerkkabel.</p>;"<p>Der Aruba Instant On 1930 24G Class4 PoE 4SFP/SFP+ 195W (Rev B) (JL683B) ist ein gemanagter Layer-2-Switch aus der Aruba-Instant-On-1930-Familie mit 28 Ports (24× 10/100/1000 (RJ45, Class 4 PoE)), ausgelegt für den cloud-verwalteten Zugang in kleinen und mittleren Netzen.</p><p>Mit 28 Ports erreicht der JL683B eine Switching-Kapazität von 128 Gbit/s bei einer Weiterleitungsrate von 95,23 Mpps. Der JL683B versorgt Access Points, IP-Telefone und Kameras per Power over Ethernet direkt über das Netzwerkkabel. Über Aruba Instant On wird der JL683B per Mobile-App oder Cloud-Portal verwaltet; mehrere Uplinks lassen sich per LACP bündeln, ein dediziertes Stacking bietet die 1930-Serie nicht.</p><p>Im Formfaktor 19-Zoll-Rackmontage arbeitet der JL683B im Temperaturbereich 0 bis 40 °C; für Kühlung und Stromversorgung des JL683B sorgen Lüftergekühlt (variable Lüfterdrehzahl) sowie Internes Netzteil. Der JL683B bietet Layer-2+-Funktionen mit statischem IPv4-Routing (bis 32 Routen), VLANs, ACLs, QoS und 802.1X. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/jl683b;3,50;5,50;JL683B;HP;standard;Stk;Instant On 1930 24G Class4 PoE 4SFP/SFP+ 195W (Re | Hexwaren;Original Aruba Instant On 1930 24G Class4 PoE 4SFP/SFP+ 195W (Rev B) (JL683B): gemanagter Layer-2-Switch mit 24× 10/100/1000 (RJ45, Class 4 PoE), Switching-Kapazität 128 Gbit/s, PoE-Budget 195 W, Arub;Netzwerk & Infrastruktur;Switches;Aruba Instant On 1930 Switches;TRUE;Y;Y
JL684B;Aruba Instant On 1930 24G Class4 PoE 4SFP/SFP+ 370W (Rev B) JL684B Managed Switch (L2) – 24× 10/100/1000 (RJ45, Class 4 PoE) + 4× 1/10G SFP+, 19-Zoll-Rackmontage;<p>Der Aruba Instant On 1930 24G Class4 PoE 4SFP/SFP+ 370W (Rev B) (JL684B) ist ein gemanagter Layer-2-Switch der Aruba-Instant-On-1930-Serie mit 28 Ports, verwaltet zentral über der Aruba Instant On Cloud (Portal und Mobile-App).</p><p>Im Formfaktor 19-Zoll-Rackmontage liefert der JL684B eine Switching-Kapazität von 128 Gbit/s und bindet per 4× 1/10G SFP+ an das Netz an. Über Power over Ethernet versorgt der JL684B angeschlossene Endgeräte direkt per Netzwerkkabel.</p>;"<p>Der Aruba Instant On 1930 24G Class4 PoE 4SFP/SFP+ 370W (Rev B) (JL684B) ist ein gemanagter Layer-2-Switch aus der Aruba-Instant-On-1930-Familie mit 28 Ports (24× 10/100/1000 (RJ45, Class 4 PoE)), ausgelegt für den cloud-verwalteten Zugang in kleinen und mittleren Netzen.</p><p>Mit 28 Ports erreicht der JL684B eine Switching-Kapazität von 128 Gbit/s bei einer Weiterleitungsrate von 95,23 Mpps. Der JL684B versorgt Access Points, IP-Telefone und Kameras per Power over Ethernet direkt über das Netzwerkkabel. Über Aruba Instant On wird der JL684B per Mobile-App oder Cloud-Portal verwaltet; mehrere Uplinks lassen sich per LACP bündeln, ein dediziertes Stacking bietet die 1930-Serie nicht.</p><p>Im Formfaktor 19-Zoll-Rackmontage arbeitet der JL684B im Temperaturbereich 0 bis 40 °C; für Kühlung und Stromversorgung des JL684B sorgen Lüftergekühlt (variable Lüfterdrehzahl) sowie Internes Netzteil. Der JL684B bietet Layer-2+-Funktionen mit statischem IPv4-Routing (bis 32 Routen), VLANs, ACLs, QoS und 802.1X. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/jl684b;3,67;5,67;JL684B;HP;standard;Stk;Instant On 1930 24G Class4 PoE 4SFP/SFP+ 370W (Re | Hexwaren;Original Aruba Instant On 1930 24G Class4 PoE 4SFP/SFP+ 370W (Rev B) (JL684B): gemanagter Layer-2-Switch mit 24× 10/100/1000 (RJ45, Class 4 PoE), Switching-Kapazität 128 Gbit/s, PoE-Budget 370 W, Arub;Netzwerk & Infrastruktur;Switches;Aruba Instant On 1930 Switches;TRUE;Y;Y
JL686B;Aruba Instant On 1930 48G Class4 PoE 4SFP/SFP+ 370W (Rev B) JL686B Managed Switch (L2) – 48× 10/100/1000 (RJ45, Class 4 PoE) + 4× 1/10G SFP+, 19-Zoll-Rackmontage;<p>Der Aruba Instant On 1930 48G Class4 PoE 4SFP/SFP+ 370W (Rev B) (JL686B) ist ein gemanagter Layer-2-Switch der Aruba-Instant-On-1930-Serie mit 52 Ports, verwaltet zentral über der Aruba Instant On Cloud (Portal und Mobile-App).</p><p>Im Formfaktor 19-Zoll-Rackmontage liefert der JL686B eine Switching-Kapazität von 176 Gbit/s und bindet per 4× 1/10G SFP+ an das Netz an. Über Power over Ethernet versorgt der JL686B angeschlossene Endgeräte direkt per Netzwerkkabel.</p>;"<p>Der Aruba Instant On 1930 48G Class4 PoE 4SFP/SFP+ 370W (Rev B) (JL686B) ist ein gemanagter Layer-2-Switch aus der Aruba-Instant-On-1930-Familie mit 52 Ports (48× 10/100/1000 (RJ45, Class 4 PoE)), ausgelegt für den cloud-verwalteten Zugang in kleinen und mittleren Netzen.</p><p>Mit 52 Ports erreicht der JL686B eine Switching-Kapazität von 176 Gbit/s bei einer Weiterleitungsrate von 130,95 Mpps. Der JL686B versorgt Access Points, IP-Telefone und Kameras per Power over Ethernet direkt über das Netzwerkkabel. Über Aruba Instant On wird der JL686B per Mobile-App oder Cloud-Portal verwaltet; mehrere Uplinks lassen sich per LACP bündeln, ein dediziertes Stacking bietet die 1930-Serie nicht.</p><p>Im Formfaktor 19-Zoll-Rackmontage arbeitet der JL686B im Temperaturbereich 0 bis 40 °C; für Kühlung und Stromversorgung des JL686B sorgen Lüftergekühlt (variable Lüfterdrehzahl) sowie Internes Netzteil. Der JL686B bietet Layer-2+-Funktionen mit statischem IPv4-Routing (bis 32 Routen), VLANs, ACLs, QoS und 802.1X. Originaler HP-Switch für den professionellen Einsatz in HP-Netzwerkumgebungen.</p>";hpe-aruba/jl686b;4,52;6,52;JL686B;HP;standard;Stk;Instant On 1930 48G Class4 PoE 4SFP/SFP+ 370W (Re | Hexwaren;Original Aruba Instant On 1930 48G Class4 PoE 4SFP/SFP+ 370W (Rev B) (JL686B): gemanagter Layer-2-Switch mit 48× 10/100/1000 (RJ45, Class 4 PoE), Switching-Kapazität 176 Gbit/s, PoE-Budget 370 W, Arub;Netzwerk & Infrastruktur;Switches;Aruba Instant On 1930 Switches;TRUE;Y;Y
