Artikelnummer,FAQ
JL680A,"Wie viele Ports hat der JL680A?||Der JL680A bietet insgesamt 10 Ports: 8× 10/100/1000 (RJ45) + 2× 1G SFP (Uplink).##Unterstützt der JL680A PoE?||Nein. Der JL680A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Wie wird der JL680A verwaltet?||Der JL680A wird über der Aruba Instant On Cloud (Portal und Mobile-App) verwaltet – ohne eigenen Management-Server, per Mobile-App oder Web-Portal.##Was zeichnet den JL680A technisch aus?||Der JL680A bietet eine Switching-Kapazität von 20 Gbit/s und eine Weiterleitungsrate von 14,88 Mpps. Er bietet Layer-2+-Funktionen mit statischem IPv4-Routing (bis 32 Routen), VLANs, ACLs, QoS und 802.1X. Für Stromversorgung und Kühlung des JL680A sorgen Externes Steckernetzteil (im Lieferumfang) sowie Lüfterlos (passiv gekühlt)."
JL681A,"Wie viele Ports hat der JL681A?||Der JL681A bietet insgesamt 10 Ports: 8× 10/100/1000 (RJ45, Class 4 PoE) + 2× 1G SFP (Uplink).##Unterstützt der JL681A PoE?||Ja. Der JL681A stellt IEEE 802.3at Class 4 PoE+ (30 W/Port, Budget 124 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Wie wird der JL681A verwaltet?||Der JL681A wird über der Aruba Instant On Cloud (Portal und Mobile-App) verwaltet – ohne eigenen Management-Server, per Mobile-App oder Web-Portal.##Was zeichnet den JL681A technisch aus?||Der JL681A bietet eine Switching-Kapazität von 20 Gbit/s und eine Weiterleitungsrate von 14,88 Mpps. Er bietet Layer-2+-Funktionen mit statischem IPv4-Routing (bis 32 Routen), VLANs, ACLs, QoS und 802.1X. Für Stromversorgung und Kühlung des JL681A sorgen Internes Netzteil sowie Lüfterlos (passiv gekühlt)."
JL682A,"Wie viele Ports hat der JL682A?||Der JL682A bietet insgesamt 28 Ports: 24× 10/100/1000 (RJ45) + 4× 1/10G SFP+ (Uplink).##Unterstützt der JL682A PoE?||Nein. Der JL682A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Wie wird der JL682A verwaltet?||Der JL682A wird über der Aruba Instant On Cloud (Portal und Mobile-App) verwaltet – ohne eigenen Management-Server, per Mobile-App oder Web-Portal.##Was zeichnet den JL682A technisch aus?||Der JL682A bietet eine Switching-Kapazität von 128 Gbit/s und eine Weiterleitungsrate von 95,23 Mpps. Er bietet Layer-2+-Funktionen mit statischem IPv4-Routing (bis 32 Routen), VLANs, ACLs, QoS und 802.1X. Für Stromversorgung und Kühlung des JL682A sorgen Internes Netzteil sowie Lüfterlos (passiv gekühlt)."
JL683A,"Wie viele Ports hat der JL683A?||Der JL683A bietet insgesamt 28 Ports: 24× 10/100/1000 (RJ45, Class 4 PoE) + 4× 1/10G SFP+ (Uplink).##Unterstützt der JL683A PoE?||Ja. Der JL683A stellt IEEE 802.3at Class 4 PoE+ (30 W/Port, Budget 195 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Wie wird der JL683A verwaltet?||Der JL683A wird über der Aruba Instant On Cloud (Portal und Mobile-App) verwaltet – ohne eigenen Management-Server, per Mobile-App oder Web-Portal.##Was zeichnet den JL683A technisch aus?||Der JL683A bietet eine Switching-Kapazität von 128 Gbit/s und eine Weiterleitungsrate von 95,23 Mpps. Er bietet Layer-2+-Funktionen mit statischem IPv4-Routing (bis 32 Routen), VLANs, ACLs, QoS und 802.1X. Für Stromversorgung und Kühlung des JL683A sorgen Internes Netzteil sowie Lüftergekühlt (variable Lüfterdrehzahl)."
JL684A,"Wie viele Ports hat der JL684A?||Der JL684A bietet insgesamt 28 Ports: 24× 10/100/1000 (RJ45, Class 4 PoE) + 4× 1/10G SFP+ (Uplink).##Unterstützt der JL684A PoE?||Ja. Der JL684A stellt IEEE 802.3at Class 4 PoE+ (30 W/Port, Budget 370 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Wie wird der JL684A verwaltet?||Der JL684A wird über der Aruba Instant On Cloud (Portal und Mobile-App) verwaltet – ohne eigenen Management-Server, per Mobile-App oder Web-Portal.##Was zeichnet den JL684A technisch aus?||Der JL684A bietet eine Switching-Kapazität von 128 Gbit/s und eine Weiterleitungsrate von 95,23 Mpps. Er bietet Layer-2+-Funktionen mit statischem IPv4-Routing (bis 32 Routen), VLANs, ACLs, QoS und 802.1X. Für Stromversorgung und Kühlung des JL684A sorgen Internes Netzteil sowie Lüftergekühlt (variable Lüfterdrehzahl)."
JL685A,"Wie viele Ports hat der JL685A?||Der JL685A bietet insgesamt 52 Ports: 48× 10/100/1000 (RJ45) + 4× 1/10G SFP+ (Uplink).##Unterstützt der JL685A PoE?||Nein. Der JL685A ist ein Modell ohne Power over Ethernet und für reine Datenanbindung ausgelegt.##Wie wird der JL685A verwaltet?||Der JL685A wird über der Aruba Instant On Cloud (Portal und Mobile-App) verwaltet – ohne eigenen Management-Server, per Mobile-App oder Web-Portal.##Was zeichnet den JL685A technisch aus?||Der JL685A bietet eine Switching-Kapazität von 176 Gbit/s und eine Weiterleitungsrate von 130,95 Mpps. Er bietet Layer-2+-Funktionen mit statischem IPv4-Routing (bis 32 Routen), VLANs, ACLs, QoS und 802.1X. Für Stromversorgung und Kühlung des JL685A sorgen Internes Netzteil sowie Lüfterlos (passiv gekühlt)."
JL686A,"Wie viele Ports hat der JL686A?||Der JL686A bietet insgesamt 52 Ports: 48× 10/100/1000 (RJ45, Class 4 PoE) + 4× 1/10G SFP+ (Uplink).##Unterstützt der JL686A PoE?||Ja. Der JL686A stellt IEEE 802.3at Class 4 PoE+ (30 W/Port, Budget 370 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Wie wird der JL686A verwaltet?||Der JL686A wird über der Aruba Instant On Cloud (Portal und Mobile-App) verwaltet – ohne eigenen Management-Server, per Mobile-App oder Web-Portal.##Was zeichnet den JL686A technisch aus?||Der JL686A bietet eine Switching-Kapazität von 176 Gbit/s und eine Weiterleitungsrate von 130,95 Mpps. Er bietet Layer-2+-Funktionen mit statischem IPv4-Routing (bis 32 Routen), VLANs, ACLs, QoS und 802.1X. Für Stromversorgung und Kühlung des JL686A sorgen Internes Netzteil sowie Lüftergekühlt (variable Lüfterdrehzahl)."
JL683B,"Wie viele Ports hat der JL683B?||Der JL683B bietet insgesamt 28 Ports: 24× 10/100/1000 (RJ45, Class 4 PoE) + 4× 1/10G SFP+ (Uplink).##Unterstützt der JL683B PoE?||Ja. Der JL683B stellt IEEE 802.3at Class 4 PoE+ (30 W/Port, Budget 195 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Wie wird der JL683B verwaltet?||Der JL683B wird über der Aruba Instant On Cloud (Portal und Mobile-App) verwaltet – ohne eigenen Management-Server, per Mobile-App oder Web-Portal.##Was zeichnet den JL683B technisch aus?||Der JL683B bietet eine Switching-Kapazität von 128 Gbit/s und eine Weiterleitungsrate von 95,23 Mpps. Er bietet Layer-2+-Funktionen mit statischem IPv4-Routing (bis 32 Routen), VLANs, ACLs, QoS und 802.1X. Für Stromversorgung und Kühlung des JL683B sorgen Internes Netzteil sowie Lüftergekühlt (variable Lüfterdrehzahl)."
JL684B,"Wie viele Ports hat der JL684B?||Der JL684B bietet insgesamt 28 Ports: 24× 10/100/1000 (RJ45, Class 4 PoE) + 4× 1/10G SFP+ (Uplink).##Unterstützt der JL684B PoE?||Ja. Der JL684B stellt IEEE 802.3at Class 4 PoE+ (30 W/Port, Budget 370 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Wie wird der JL684B verwaltet?||Der JL684B wird über der Aruba Instant On Cloud (Portal und Mobile-App) verwaltet – ohne eigenen Management-Server, per Mobile-App oder Web-Portal.##Was zeichnet den JL684B technisch aus?||Der JL684B bietet eine Switching-Kapazität von 128 Gbit/s und eine Weiterleitungsrate von 95,23 Mpps. Er bietet Layer-2+-Funktionen mit statischem IPv4-Routing (bis 32 Routen), VLANs, ACLs, QoS und 802.1X. Für Stromversorgung und Kühlung des JL684B sorgen Internes Netzteil sowie Lüftergekühlt (variable Lüfterdrehzahl)."
JL686B,"Wie viele Ports hat der JL686B?||Der JL686B bietet insgesamt 52 Ports: 48× 10/100/1000 (RJ45, Class 4 PoE) + 4× 1/10G SFP+ (Uplink).##Unterstützt der JL686B PoE?||Ja. Der JL686B stellt IEEE 802.3at Class 4 PoE+ (30 W/Port, Budget 370 W) bereit und versorgt angeschlossene Geräte direkt über das Netzwerkkabel.##Wie wird der JL686B verwaltet?||Der JL686B wird über der Aruba Instant On Cloud (Portal und Mobile-App) verwaltet – ohne eigenen Management-Server, per Mobile-App oder Web-Portal.##Was zeichnet den JL686B technisch aus?||Der JL686B bietet eine Switching-Kapazität von 176 Gbit/s und eine Weiterleitungsrate von 130,95 Mpps. Er bietet Layer-2+-Funktionen mit statischem IPv4-Routing (bis 32 Routen), VLANs, ACLs, QoS und 802.1X. Für Stromversorgung und Kühlung des JL686B sorgen Internes Netzteil sowie Lüftergekühlt (variable Lüfterdrehzahl)."
