Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
JL805A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
JL805A,,Switch,Layer,L2,2,Wertliste,Attribut
JL805A,,Switch,Portanzahl,16,3,Wertliste,Attribut
JL805A,,Switch,Port-Konfiguration,12× 100/1000/10GBASE-T (RJ45) + 4× 10G SFP+ (Uplink),4,Wertliste,Attribut
JL805A,,Switch,Port-Geschwindigkeit,"100/1000 Mbit/s / 10 GbE (10GBASE-T, RJ45), 10 GbE (SFP+)",5,Wertliste,Attribut
JL805A,,Switch,Uplink-Ports,4× 10G SFP+,6,Wertliste,Attribut
JL805A,,Switch,PoE,Nein,7,Wertliste,Attribut
JL805A,,Switch,Switching-Kapazität,320 Gbit/s,8,Wertliste,Attribut
JL805A,,Switch,Durchsatz,238 Mpps,9,Wertliste,Attribut
JL805A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
JL805A,,Switch,Stromversorgung,Internes Netzteil,11,Wertliste,Attribut
JL805A,,Switch,Kühlung,Lüftergekühlt (variable Lüfterdrehzahl),12,Wertliste,Attribut
JL805A,,Switch,Stacking,"Aruba Instant On True Stacking – bis zu 4 Einheiten, zentral über die Instant On Cloud verwaltet",13,Wertliste,Attribut
JL805A,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
JL805A,,Switch,Anwendung,"Smart-managed SMB-/Campus-Aggregation (Layer 2+, Aruba Instant On) mit 10-GbE-Uplinks, statischem Routing und True Stacking",15,Wertliste,Attribut
JL806A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
JL806A,,Switch,Layer,L2,2,Wertliste,Attribut
JL806A,,Switch,Portanzahl,28,3,Wertliste,Attribut
JL806A,,Switch,Port-Konfiguration,24× 10/100/1000 (RJ45) + 2× 10G SFP+ + 2× 10GBASE-T (RJ45) (Uplink),4,Wertliste,Attribut
JL806A,,Switch,Port-Geschwindigkeit,"10/100/1000 Mbit/s (RJ45), 10 GbE (SFP+), 10 GbE (10GBASE-T, RJ45)",5,Wertliste,Attribut
JL806A,,Switch,Uplink-Ports,2× 10G SFP+ + 2× 10GBASE-T (RJ45),6,Wertliste,Attribut
JL806A,,Switch,PoE,Nein,7,Wertliste,Attribut
JL806A,,Switch,Switching-Kapazität,128 Gbit/s,8,Wertliste,Attribut
JL806A,,Switch,Durchsatz,95 Mpps,9,Wertliste,Attribut
JL806A,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
JL806A,,Switch,Stromversorgung,Internes Netzteil,11,Wertliste,Attribut
JL806A,,Switch,Kühlung,Lüfterlos (passiv gekühlt),12,Wertliste,Attribut
JL806A,,Switch,Stacking,"Aruba Instant On True Stacking – bis zu 4 Einheiten, zentral über die Instant On Cloud verwaltet",13,Wertliste,Attribut
JL806A,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
JL806A,,Switch,Anwendung,"Smart-managed SMB-/Campus-Aggregation (Layer 2+, Aruba Instant On) mit 10-GbE-Uplinks, statischem Routing und True Stacking",15,Wertliste,Attribut
JL807A,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
JL807A,,Switch,Layer,L2,2,Wertliste,Attribut
JL807A,,Switch,Portanzahl,28,3,Wertliste,Attribut
