Artikelnummer;Netto-VK
C9300X-48HX;14.000,00
C9300X-48TX;9.500,00
C9300X-48HXN;13.000,00
C9300X-24HX;11.500,00
C9300X-12Y;7.000,00
C9300X-24Y;10.500,00
C9300-24T;2.900,00
C9300-48T;4.300,00
C9300-24P;4.100,00
C9300-48P;5.900,00
C9300-24U;5.600,00
C9300-48U;8.000,00
C9300-24UX;7.600,00
C9300-48UXM;10.500,00
C9300-48UN;9.500,00
C9300-24UB;5.600,00
C9300-24UXB;7.600,00
C9300-48UB;8.000,00
C9300-24H;7.600,00
C9300-48H;10.000,00
C9300-24S;4.400,00
C9300-48S;6.300,00
C9300L-24T-4G;1.500,00
C9300L-24T-4X;1.700,00
C9300L-48T-4G;2.000,00
C9300L-48T-4X;2.200,00
C9300L-24P-4G;1.900,00
C9300L-24P-4X;2.100,00
C9300L-48P-4G;2.300,00
C9300L-48P-4X;2.400,00
C9300L-48PF-4G;2.600,00
C9300L-48PF-4X;2.800,00
C9300L-24UXG-4X;3.500,00
C9300L-24UXG-2Q;3.700,00
C9300L-48UXG-4X;4.800,00
C9300L-48UXG-2Q;5.000,00
C9300LM-48UX-4Y;4.600,00
C9300LM-48U-4Y;4.000,00
C9300LM-24U-4Y;2.800,00
C9300LM-48T-4Y;3.200,00
