Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
C9300X-48HX,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9300-series-switches/nb-06-cat9300-ser-data-sheet-cte-en.html,datasheet,2026-06-21T20:50:53Z
C9300X-48HX,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9300-series-switches/nb-06-cat9300-ser-data-sheet-cte-en.html,datasheet,2026-06-21T20:50:53Z
C9300X-48HX,Portanzahl,48,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9300-series-switches/nb-06-cat9300-ser-data-sheet-cte-en.html,datasheet,2026-06-21T20:50:53Z
C9300X-48HX,Port-Konfiguration,"48× 10G-Multigigabit-RJ45 (UPOE+, 90 W)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9300-series-switches/nb-06-cat9300-ser-data-sheet-cte-en.html,datasheet,2026-06-21T20:50:53Z
C9300X-48HX,Port-Geschwindigkeit,100 Mbit/s bis 10 GbE (Multigigabit),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9300-series-switches/nb-06-cat9300-ser-data-sheet-cte-en.html,datasheet,2026-06-21T20:50:53Z
C9300X-48HX,Uplink-Ports,Modulare Uplinks (C9300-NM-/C9300X-NM-Netzwerkmodul: 1G/10G/25G/40G/100G),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9300-series-switches/nb-06-cat9300-ser-data-sheet-cte-en.html,datasheet,2026-06-21T20:50:53Z
C9300X-48HX,PoE,"Ja (Cisco UPOE+, 90 W/Port, Budget 590 W bei 1100-W-Netzteil, mit 2. Netzteil erweiterbar)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9300-series-switches/nb-06-cat9300-ser-data-sheet-cte-en.html,datasheet,2026-06-21T20:50:53Z
C9300X-48HX,Switching-Kapazität,"1,760 Tbit/s",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9300-series-switches/nb-06-cat9300-ser-data-sheet-cte-en.html,datasheet,2026-06-21T20:50:53Z
C9300X-48HX,Durchsatz,1309 Mpps,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9300-series-switches/nb-06-cat9300-ser-data-sheet-cte-en.html,datasheet,2026-06-21T20:50:53Z
C9300X-48HX,Bauform,19-Zoll-Rackmontage (1 HE),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9300-series-switches/nb-06-cat9300-ser-data-sheet-cte-en.html,datasheet,2026-06-21T20:50:53Z
C9300X-48HX,Stromversorgung,"Duale, redundante Hot-Swap-Netzteile (1100 W AC im Lieferumfang, 2. optional); StackPower-fähig",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9300-series-switches/nb-06-cat9300-ser-data-sheet-cte-en.html,datasheet,2026-06-21T20:50:53Z
C9300X-48HX,Kühlung,"3 feldaustauschbare Lüfter (N+1-Redundanz, variable Drehzahl)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9300-series-switches/nb-06-cat9300-ser-data-sheet-cte-en.html,datasheet,2026-06-21T20:50:53Z
C9300X-48HX,Stacking,"Ja (StackWise-1T, 1 Tbit/s, bis 8 Einheiten)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9300-series-switches/nb-06-cat9300-ser-data-sheet-cte-en.html,datasheet,2026-06-21T20:50:53Z
C9300X-48HX,Betriebstemperatur,-5 bis 45 °C,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-9300-series-switches/nb-06-cat9300-ser-data-sheet-cte-en.html,datasheet,2026-06-21T20:50:53Z
