Artikelnummer,Netto-VK,Anker-Quelle,Methode,Anker-PN
C1000-8T-2G-L,"150,00","Genuine-New-Sealed EoS-Entry-SMB (Cat 1000, EoS 30.04.2025): Bechtle/ORM-Anker — 8P-2G-L €296 (Bechtle), 48P-4X-L ~€1.380, 24T-4G-L ~€580, FE-24T-4G-L ~€420; refurb (groß) hart ignoriert. Monoton Ports×PoE×Uplink; FE<Gigabit; -E≈Basis.",geschätzt-aus-Vergleich,C1000-8P-2G-L
C1000-8T-E-2G-L,"145,00","Genuine-New-Sealed EoS-Entry-SMB (Cat 1000, EoS 30.04.2025): Bechtle/ORM-Anker — 8P-2G-L €296 (Bechtle), 48P-4X-L ~€1.380, 24T-4G-L ~€580, FE-24T-4G-L ~€420; refurb (groß) hart ignoriert. Monoton Ports×PoE×Uplink; FE<Gigabit; -E≈Basis.",geschätzt-aus-Vergleich,C1000-8T-2G-L
C1000-8P-2G-L,"296,00","Genuine-New-Sealed EoS-Entry-SMB (Cat 1000, EoS 30.04.2025): Bechtle/ORM-Anker — 8P-2G-L €296 (Bechtle), 48P-4X-L ~€1.380, 24T-4G-L ~€580, FE-24T-4G-L ~€420; refurb (groß) hart ignoriert. Monoton Ports×PoE×Uplink; FE<Gigabit; -E≈Basis.",direkt,Bechtle 8P-2G-L
C1000-8P-E-2G-L,"285,00","Genuine-New-Sealed EoS-Entry-SMB (Cat 1000, EoS 30.04.2025): Bechtle/ORM-Anker — 8P-2G-L €296 (Bechtle), 48P-4X-L ~€1.380, 24T-4G-L ~€580, FE-24T-4G-L ~€420; refurb (groß) hart ignoriert. Monoton Ports×PoE×Uplink; FE<Gigabit; -E≈Basis.",geschätzt-aus-Vergleich,C1000-8P-2G-L
C1000-8FP-2G-L,"390,00","Genuine-New-Sealed EoS-Entry-SMB (Cat 1000, EoS 30.04.2025): Bechtle/ORM-Anker — 8P-2G-L €296 (Bechtle), 48P-4X-L ~€1.380, 24T-4G-L ~€580, FE-24T-4G-L ~€420; refurb (groß) hart ignoriert. Monoton Ports×PoE×Uplink; FE<Gigabit; -E≈Basis.",geschätzt-aus-Vergleich,C1000-8P-2G-L
C1000-8FP-E-2G-L,"380,00","Genuine-New-Sealed EoS-Entry-SMB (Cat 1000, EoS 30.04.2025): Bechtle/ORM-Anker — 8P-2G-L €296 (Bechtle), 48P-4X-L ~€1.380, 24T-4G-L ~€580, FE-24T-4G-L ~€420; refurb (groß) hart ignoriert. Monoton Ports×PoE×Uplink; FE<Gigabit; -E≈Basis.",geschätzt-aus-Vergleich,C1000-8FP-2G-L
C1000-16T-2G-L,"240,00","Genuine-New-Sealed EoS-Entry-SMB (Cat 1000, EoS 30.04.2025): Bechtle/ORM-Anker — 8P-2G-L €296 (Bechtle), 48P-4X-L ~€1.380, 24T-4G-L ~€580, FE-24T-4G-L ~€420; refurb (groß) hart ignoriert. Monoton Ports×PoE×Uplink; FE<Gigabit; -E≈Basis.",geschätzt-aus-Vergleich,C1000-8P-2G-L
C1000-16T-E-2G-L,"230,00","Genuine-New-Sealed EoS-Entry-SMB (Cat 1000, EoS 30.04.2025): Bechtle/ORM-Anker — 8P-2G-L €296 (Bechtle), 48P-4X-L ~€1.380, 24T-4G-L ~€580, FE-24T-4G-L ~€420; refurb (groß) hart ignoriert. Monoton Ports×PoE×Uplink; FE<Gigabit; -E≈Basis.",geschätzt-aus-Vergleich,C1000-16T-2G-L
C1000-16P-2G-L,"400,00","Genuine-New-Sealed EoS-Entry-SMB (Cat 1000, EoS 30.04.2025): Bechtle/ORM-Anker — 8P-2G-L €296 (Bechtle), 48P-4X-L ~€1.380, 24T-4G-L ~€580, FE-24T-4G-L ~€420; refurb (groß) hart ignoriert. Monoton Ports×PoE×Uplink; FE<Gigabit; -E≈Basis.",geschätzt-aus-Vergleich,C1000-16FP-2G-L
C1000-16P-E-2G-L,"390,00","Genuine-New-Sealed EoS-Entry-SMB (Cat 1000, EoS 30.04.2025): Bechtle/ORM-Anker — 8P-2G-L €296 (Bechtle), 48P-4X-L ~€1.380, 24T-4G-L ~€580, FE-24T-4G-L ~€420; refurb (groß) hart ignoriert. Monoton Ports×PoE×Uplink; FE<Gigabit; -E≈Basis.",geschätzt-aus-Vergleich,C1000-16P-2G-L
C1000-16FP-2G-L,"560,00","Genuine-New-Sealed EoS-Entry-SMB (Cat 1000, EoS 30.04.2025): Bechtle/ORM-Anker — 8P-2G-L €296 (Bechtle), 48P-4X-L ~€1.380, 24T-4G-L ~€580, FE-24T-4G-L ~€420; refurb (groß) hart ignoriert. Monoton Ports×PoE×Uplink; FE<Gigabit; -E≈Basis.",geschätzt-aus-Vergleich,C1000-16P-2G-L
C1000-24T-4G-L,"580,00","Genuine-New-Sealed EoS-Entry-SMB (Cat 1000, EoS 30.04.2025): Bechtle/ORM-Anker — 8P-2G-L €296 (Bechtle), 48P-4X-L ~€1.380, 24T-4G-L ~€580, FE-24T-4G-L ~€420; refurb (groß) hart ignoriert. Monoton Ports×PoE×Uplink; FE<Gigabit; -E≈Basis.",direkt,ORM 24T-4G-L $627
C1000-24P-4G-L,"760,00","Genuine-New-Sealed EoS-Entry-SMB (Cat 1000, EoS 30.04.2025): Bechtle/ORM-Anker — 8P-2G-L €296 (Bechtle), 48P-4X-L ~€1.380, 24T-4G-L ~€580, FE-24T-4G-L ~€420; refurb (groß) hart ignoriert. Monoton Ports×PoE×Uplink; FE<Gigabit; -E≈Basis.",geschätzt-aus-Vergleich,C1000-24T-4G-L
C1000-24FP-4G-L,"980,00","Genuine-New-Sealed EoS-Entry-SMB (Cat 1000, EoS 30.04.2025): Bechtle/ORM-Anker — 8P-2G-L €296 (Bechtle), 48P-4X-L ~€1.380, 24T-4G-L ~€580, FE-24T-4G-L ~€420; refurb (groß) hart ignoriert. Monoton Ports×PoE×Uplink; FE<Gigabit; -E≈Basis.",geschätzt-aus-Vergleich,C1000-24P-4G-L
C1000-48T-4G-L,"780,00","Genuine-New-Sealed EoS-Entry-SMB (Cat 1000, EoS 30.04.2025): Bechtle/ORM-Anker — 8P-2G-L €296 (Bechtle), 48P-4X-L ~€1.380, 24T-4G-L ~€580, FE-24T-4G-L ~€420; refurb (groß) hart ignoriert. Monoton Ports×PoE×Uplink; FE<Gigabit; -E≈Basis.",geschätzt-aus-Vergleich,C1000-48P-4G-L
C1000-48P-4G-L,"1080,00","Genuine-New-Sealed EoS-Entry-SMB (Cat 1000, EoS 30.04.2025): Bechtle/ORM-Anker — 8P-2G-L €296 (Bechtle), 48P-4X-L ~€1.380, 24T-4G-L ~€580, FE-24T-4G-L ~€420; refurb (groß) hart ignoriert. Monoton Ports×PoE×Uplink; FE<Gigabit; -E≈Basis.",geschätzt-aus-Vergleich,C1000-48P-4X-L
