Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
C1200-8T-D,,condition,Funktionsattribut,Wertliste,Deutsch,new
C1200-8T-E-2G,,condition,Funktionsattribut,Wertliste,Deutsch,new
C1200-8P-E-2G,,condition,Funktionsattribut,Wertliste,Deutsch,new
C1200-8FP-2G,,condition,Funktionsattribut,Wertliste,Deutsch,new
C1200-16T-2G,,condition,Funktionsattribut,Wertliste,Deutsch,new
C1200-16P-2G,,condition,Funktionsattribut,Wertliste,Deutsch,new
C1200-24T-4G,,condition,Funktionsattribut,Wertliste,Deutsch,new
C1200-24P-4G,,condition,Funktionsattribut,Wertliste,Deutsch,new
C1200-24FP-4G,,condition,Funktionsattribut,Wertliste,Deutsch,new
C1200-48T-4G,,condition,Funktionsattribut,Wertliste,Deutsch,new
C1200-48P-4G,,condition,Funktionsattribut,Wertliste,Deutsch,new
C1200-24T-4X,,condition,Funktionsattribut,Wertliste,Deutsch,new
C1200-24P-4X,,condition,Funktionsattribut,Wertliste,Deutsch,new
C1200-24FP-4X,,condition,Funktionsattribut,Wertliste,Deutsch,new
C1200-48T-4X,,condition,Funktionsattribut,Wertliste,Deutsch,new
C1200-48P-4X,,condition,Funktionsattribut,Wertliste,Deutsch,new
