Artikelnummer;Netto-VK
C1300-8T-E-2G;170,00
C1300-8P-E-2G;269,00
C1300-8FP-2G;330,00
C1300-16T-2G;250,00
C1300-16P-2G;360,00
C1300-16FP-2G;480,00
C1300-24T-4G;380,00
C1300-24P-4G;540,00
C1300-24FP-4G;720,00
C1300-48T-4G;650,00
C1300-48P-4G;969,00
C1300-48FP-4G;1487,00
C1300-16P-4X;480,00
C1300-24T-4X;580,00
C1300-24P-4X;750,00
C1300-24FP-4X;950,00
C1300-48T-4X;890,00
C1300-48P-4X;1089,00
C1300-48FP-4X;1654,00
C1300-8MGP-2X;550,00
C1300-24MGP-4X;1250,00
C1300-48MGP-4X;1950,00
C1300-12XT-2X;1100,00
C1300-12XS;1150,00
C1300-16XTS;1500,00
C1300-24XS;2450,00
C1300-24XT;2400,00
C1300-24XTS;2550,00
