Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
WS-C2960C-8TC-L,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
WS-C2960C-8TC-L,,Switch,Layer,L2,2,Wertliste,Attribut
WS-C2960C-8TC-L,,Switch,Portanzahl,10,3,Wertliste,Attribut
WS-C2960C-8TC-L,,Switch,Port-Konfiguration,8× FE-RJ45 + 2× 1G-Combo,4,Wertliste,Attribut
WS-C2960C-8TC-L,,Switch,Port-Geschwindigkeit,100M (Uplink 1G),5,Wertliste,Attribut
WS-C2960C-8TC-L,,Switch,PoE,Nein,7,Wertliste,Attribut
WS-C2960C-8TC-L,,Switch,Switching-Kapazität,"5,6 Gbit/s",8,Wertliste,Attribut
WS-C2960C-8TC-L,,Switch,Durchsatz,"3,8 Mpps",9,Wertliste,Attribut
WS-C2960C-8TC-L,,Switch,Bauform,"Kompakt-Gehäuse (lüfterlos, geringe Bautiefe)",10,Wertliste,Attribut
WS-C2960C-8TC-L,,Switch,Stromversorgung,Internes Netzteil (100–240 V AC),11,Wertliste,Attribut
WS-C2960C-8TC-L,,Switch,Kühlung,Lüfterlos (passiv gekühlt),12,Wertliste,Attribut
WS-C2960C-8TC-L,,Switch,Stacking,Nein,13,Wertliste,Attribut
WS-C2960C-8TC-L,,Switch,Betriebstemperatur,-5 bis 45 °C,14,Wertliste,Attribut
WS-C2960C-8TC-L,,Switch,Anwendung,"Out-of-the-Wiring-Closet-Zugang (kompakt, lüfterlos, Fast-Ethernet (10/100), Layer 2) – Verkaufsfläche, Klassenraum, Hotelzimmer und WLAN-Erweiterung; reiner Daten-Switch ohne PoE; wand-, untertisch-, DIN-schienen-, rack- oder freistehend montierbar; verwaltet über Cisco IOS (CLI)",15,Wertliste,Attribut
WS-C2960C-8TC-S,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
WS-C2960C-8TC-S,,Switch,Layer,L2,2,Wertliste,Attribut
WS-C2960C-8TC-S,,Switch,Portanzahl,10,3,Wertliste,Attribut
WS-C2960C-8TC-S,,Switch,Port-Konfiguration,8× FE-RJ45 + 2× 1G-Combo,4,Wertliste,Attribut
WS-C2960C-8TC-S,,Switch,Port-Geschwindigkeit,100M (Uplink 1G),5,Wertliste,Attribut
WS-C2960C-8TC-S,,Switch,PoE,Nein,7,Wertliste,Attribut
WS-C2960C-8TC-S,,Switch,Switching-Kapazität,"5,6 Gbit/s",8,Wertliste,Attribut
WS-C2960C-8TC-S,,Switch,Durchsatz,"3,8 Mpps",9,Wertliste,Attribut
WS-C2960C-8TC-S,,Switch,Bauform,"Kompakt-Gehäuse (lüfterlos, geringe Bautiefe)",10,Wertliste,Attribut
WS-C2960C-8TC-S,,Switch,Stromversorgung,Internes Netzteil (100–240 V AC),11,Wertliste,Attribut
WS-C2960C-8TC-S,,Switch,Kühlung,Lüfterlos (passiv gekühlt),12,Wertliste,Attribut
WS-C2960C-8TC-S,,Switch,Stacking,Nein,13,Wertliste,Attribut
WS-C2960C-8TC-S,,Switch,Betriebstemperatur,-5 bis 45 °C,14,Wertliste,Attribut
WS-C2960C-8TC-S,,Switch,Anwendung,"Out-of-the-Wiring-Closet-Zugang (kompakt, lüfterlos, Fast-Ethernet (10/100), Layer 2) – Verkaufsfläche, Klassenraum, Hotelzimmer und WLAN-Erweiterung; reiner Daten-Switch ohne PoE; wand-, untertisch-, DIN-schienen-, rack- oder freistehend montierbar; verwaltet über Cisco IOS (CLI)",15,Wertliste,Attribut
WS-C2960C-8PC-L,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
WS-C2960C-8PC-L,,Switch,Layer,L2,2,Wertliste,Attribut
WS-C2960C-8PC-L,,Switch,Portanzahl,10,3,Wertliste,Attribut
WS-C2960C-8PC-L,,Switch,Port-Konfiguration,8× FE-RJ45 (PoE) + 2× 1G-Combo,4,Wertliste,Attribut
WS-C2960C-8PC-L,,Switch,Port-Geschwindigkeit,100M (Uplink 1G),5,Wertliste,Attribut
WS-C2960C-8PC-L,,Switch,PoE,"Ja – PoE (802.3af, bis 15,4 W/Port), 124 W",7,Wertliste,Attribut
WS-C2960C-8PC-L,,Switch,Switching-Kapazität,"5,6 Gbit/s",8,Wertliste,Attribut
WS-C2960C-8PC-L,,Switch,Durchsatz,"3,8 Mpps",9,Wertliste,Attribut
WS-C2960C-8PC-L,,Switch,Bauform,"Kompakt-Gehäuse (lüfterlos, geringe Bautiefe)",10,Wertliste,Attribut
