Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
WS-C2960CX-8TC-L,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3560-cx-series-switches/datasheet-c78-733229.html,datasheet,2026-06-24T18:24:06Z
WS-C2960CX-8TC-L,Layer,L2,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3560-cx-series-switches/datasheet-c78-733229.html,datasheet,2026-06-24T18:24:06Z
WS-C2960CX-8TC-L,Portanzahl,12,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3560-cx-series-switches/datasheet-c78-733229.html,datasheet,2026-06-24T18:24:06Z
WS-C2960CX-8TC-L,Port-Konfiguration,8× 1G-RJ45 + 2× 1G-SFP + 2× 1G-RJ45,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3560-cx-series-switches/datasheet-c78-733229.html,datasheet,2026-06-24T18:24:06Z
WS-C2960CX-8TC-L,Port-Geschwindigkeit,1G,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3560-cx-series-switches/datasheet-c78-733229.html,datasheet,2026-06-24T18:24:06Z
WS-C2960CX-8TC-L,PoE,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3560-cx-series-switches/datasheet-c78-733229.html,datasheet,2026-06-24T18:24:06Z
WS-C2960CX-8TC-L,Switching-Kapazität,24 Gbit/s,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3560-cx-series-switches/datasheet-c78-733229.html,datasheet,2026-06-24T18:24:06Z
WS-C2960CX-8TC-L,Durchsatz,"17,9 Mpps",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3560-cx-series-switches/datasheet-c78-733229.html,datasheet,2026-06-24T18:24:06Z
WS-C2960CX-8TC-L,Bauform,"Kompakt-Gehäuse (lüfterlos, geringe Bautiefe)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3560-cx-series-switches/datasheet-c78-733229.html,datasheet,2026-06-24T18:24:06Z
WS-C2960CX-8TC-L,Stromversorgung,Internes Netzteil (100–240 V AC),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3560-cx-series-switches/datasheet-c78-733229.html,datasheet,2026-06-24T18:24:06Z
WS-C2960CX-8TC-L,Kühlung,Lüfterlos (passiv gekühlt),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3560-cx-series-switches/datasheet-c78-733229.html,datasheet,2026-06-24T18:24:06Z
WS-C2960CX-8TC-L,Stacking,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3560-cx-series-switches/datasheet-c78-733229.html,datasheet,2026-06-24T18:24:06Z
WS-C2960CX-8TC-L,Betriebstemperatur,-5 bis 45 °C,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3560-cx-series-switches/datasheet-c78-733229.html,datasheet,2026-06-24T18:24:06Z
