Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
WS-C2960L-8TS-LL,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
WS-C2960L-8TS-LL,,Switch,Layer,L2,2,Wertliste,Attribut
WS-C2960L-8TS-LL,,Switch,Portanzahl,10,3,Wertliste,Attribut
WS-C2960L-8TS-LL,,Switch,Port-Konfiguration,8× 1G-RJ45 + 2× 1G-SFP,4,Wertliste,Attribut
WS-C2960L-8TS-LL,,Switch,Port-Geschwindigkeit,1G,5,Wertliste,Attribut
WS-C2960L-8TS-LL,,Switch,PoE,Nein,7,Wertliste,Attribut
WS-C2960L-8TS-LL,,Switch,Switching-Kapazität,20 Gbit/s,8,Wertliste,Attribut
WS-C2960L-8TS-LL,,Switch,Durchsatz,"14,9 Mpps",9,Wertliste,Attribut
WS-C2960L-8TS-LL,,Switch,Bauform,"Kompakt-Gehäuse (lüfterlos, geringe Bautiefe)",10,Wertliste,Attribut
WS-C2960L-8TS-LL,,Switch,Stromversorgung,Internes Netzteil (100–240 V AC),11,Wertliste,Attribut
WS-C2960L-8TS-LL,,Switch,Kühlung,Lüfterlos (passiv gekühlt),12,Wertliste,Attribut
WS-C2960L-8TS-LL,,Switch,Stacking,Nein,13,Wertliste,Attribut
WS-C2960L-8TS-LL,,Switch,Betriebstemperatur,-5 bis 45 °C,14,Wertliste,Attribut
WS-C2960L-8TS-LL,,Switch,Anwendung,"Enterprise-/Campus-Zugang (Gigabit, Layer 2); lüfterloser, kompakter Out-of-the-Wiring-Closet-Switch; verwaltet über Cisco IOS (CLI), Web-UI und Cisco DNA Center; eigenständiger Betrieb ohne Stacking",15,Wertliste,Attribut
WS-C2960L-SM-8TS,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
WS-C2960L-SM-8TS,,Switch,Layer,L2,2,Wertliste,Attribut
WS-C2960L-SM-8TS,,Switch,Portanzahl,10,3,Wertliste,Attribut
WS-C2960L-SM-8TS,,Switch,Port-Konfiguration,8× 1G-RJ45 + 2× 1G-SFP,4,Wertliste,Attribut
WS-C2960L-SM-8TS,,Switch,Port-Geschwindigkeit,1G,5,Wertliste,Attribut
WS-C2960L-SM-8TS,,Switch,PoE,Nein,7,Wertliste,Attribut
WS-C2960L-SM-8TS,,Switch,Switching-Kapazität,20 Gbit/s,8,Wertliste,Attribut
WS-C2960L-SM-8TS,,Switch,Durchsatz,"14,9 Mpps",9,Wertliste,Attribut
WS-C2960L-SM-8TS,,Switch,Bauform,"Kompakt-Gehäuse (lüfterlos, geringe Bautiefe)",10,Wertliste,Attribut
WS-C2960L-SM-8TS,,Switch,Stromversorgung,Internes Netzteil (100–240 V AC),11,Wertliste,Attribut
WS-C2960L-SM-8TS,,Switch,Kühlung,Lüfterlos (passiv gekühlt),12,Wertliste,Attribut
WS-C2960L-SM-8TS,,Switch,Stacking,Nein,13,Wertliste,Attribut
WS-C2960L-SM-8TS,,Switch,Betriebstemperatur,-5 bis 45 °C,14,Wertliste,Attribut
WS-C2960L-SM-8TS,,Switch,Anwendung,"Enterprise-/Campus-Zugang (Gigabit, Layer 2; Smart Managed, Web-UI-first); lüfterloser, kompakter Out-of-the-Wiring-Closet-Switch; verwaltet über Cisco IOS (CLI), Web-UI und Cisco DNA Center; eigenständiger Betrieb ohne Stacking",15,Wertliste,Attribut
WS-C2960L-8PS-LL,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
WS-C2960L-8PS-LL,,Switch,Layer,L2,2,Wertliste,Attribut
WS-C2960L-8PS-LL,,Switch,Portanzahl,10,3,Wertliste,Attribut
WS-C2960L-8PS-LL,,Switch,Port-Konfiguration,8× 1G-RJ45 (PoE+) + 2× 1G-SFP,4,Wertliste,Attribut
WS-C2960L-8PS-LL,,Switch,Port-Geschwindigkeit,1G,5,Wertliste,Attribut
WS-C2960L-8PS-LL,,Switch,PoE,"Ja – PoE+ (802.3af/at, bis 30 W/Port), 67 W (Perpetual PoE)",7,Wertliste,Attribut
WS-C2960L-8PS-LL,,Switch,Switching-Kapazität,20 Gbit/s,8,Wertliste,Attribut
WS-C2960L-8PS-LL,,Switch,Durchsatz,"14,9 Mpps",9,Wertliste,Attribut
WS-C2960L-8PS-LL,,Switch,Bauform,"Kompakt-Gehäuse (lüfterlos, geringe Bautiefe)",10,Wertliste,Attribut
WS-C2960L-8PS-LL,,Switch,Stromversorgung,Internes Netzteil (100–240 V AC),11,Wertliste,Attribut
WS-C2960L-8PS-LL,,Switch,Kühlung,Lüfterlos (passiv gekühlt),12,Wertliste,Attribut
WS-C2960L-8PS-LL,,Switch,Stacking,Nein,13,Wertliste,Attribut
WS-C2960L-8PS-LL,,Switch,Betriebstemperatur,-5 bis 45 °C,14,Wertliste,Attribut
WS-C2960L-8PS-LL,,Switch,Anwendung,"Enterprise-/Campus-Zugang (Gigabit, Layer 2); PoE+-Versorgung (Perpetual PoE) für IP-Telefone, WLAN-Access-Points und IoT-Geräte; lüfterloser, kompakter Out-of-the-Wiring-Closet-Switch; verwaltet über Cisco IOS (CLI), Web-UI und Cisco DNA Center; eigenständiger Betrieb ohne Stacking",15,Wertliste,Attribut
WS-C2960L-SM-8PS,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
WS-C2960L-SM-8PS,,Switch,Layer,L2,2,Wertliste,Attribut
WS-C2960L-SM-8PS,,Switch,Portanzahl,10,3,Wertliste,Attribut
WS-C2960L-SM-8PS,,Switch,Port-Konfiguration,8× 1G-RJ45 (PoE+) + 2× 1G-SFP,4,Wertliste,Attribut
WS-C2960L-SM-8PS,,Switch,Port-Geschwindigkeit,1G,5,Wertliste,Attribut
WS-C2960L-SM-8PS,,Switch,PoE,"Ja – PoE+ (802.3af/at, bis 30 W/Port), 67 W (Perpetual PoE)",7,Wertliste,Attribut
WS-C2960L-SM-8PS,,Switch,Switching-Kapazität,20 Gbit/s,8,Wertliste,Attribut
WS-C2960L-SM-8PS,,Switch,Durchsatz,"14,9 Mpps",9,Wertliste,Attribut
WS-C2960L-SM-8PS,,Switch,Bauform,"Kompakt-Gehäuse (lüfterlos, geringe Bautiefe)",10,Wertliste,Attribut
WS-C2960L-SM-8PS,,Switch,Stromversorgung,Internes Netzteil (100–240 V AC),11,Wertliste,Attribut
WS-C2960L-SM-8PS,,Switch,Kühlung,Lüfterlos (passiv gekühlt),12,Wertliste,Attribut
WS-C2960L-SM-8PS,,Switch,Stacking,Nein,13,Wertliste,Attribut
WS-C2960L-SM-8PS,,Switch,Betriebstemperatur,-5 bis 45 °C,14,Wertliste,Attribut
WS-C2960L-SM-8PS,,Switch,Anwendung,"Enterprise-/Campus-Zugang (Gigabit, Layer 2; Smart Managed, Web-UI-first); PoE+-Versorgung (Perpetual PoE) für IP-Telefone, WLAN-Access-Points und IoT-Geräte; lüfterloser, kompakter Out-of-the-Wiring-Closet-Switch; verwaltet über Cisco IOS (CLI), Web-UI und Cisco DNA Center; eigenständiger Betrieb ohne Stacking",15,Wertliste,Attribut
WS-C2960L-16TS-LL,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
WS-C2960L-16TS-LL,,Switch,Layer,L2,2,Wertliste,Attribut
WS-C2960L-16TS-LL,,Switch,Portanzahl,18,3,Wertliste,Attribut
WS-C2960L-16TS-LL,,Switch,Port-Konfiguration,16× 1G-RJ45 + 2× 1G-SFP,4,Wertliste,Attribut
WS-C2960L-16TS-LL,,Switch,Port-Geschwindigkeit,1G,5,Wertliste,Attribut
