Artikelnummer;Überverkauf Plattform Hexwaren
WS-C2960L-8TS-LL;TRUE
WS-C2960L-SM-8TS;TRUE
WS-C2960L-8PS-LL;TRUE
WS-C2960L-SM-8PS;TRUE
WS-C2960L-16TS-LL;TRUE
WS-C2960L-SM-16TS;TRUE
WS-C2960L-16PS-LL;TRUE
WS-C2960L-SM-16PS;TRUE
WS-C2960L-24TS-LL;TRUE
WS-C2960L-SM-24TS;TRUE
WS-C2960L-24PS-LL;TRUE
WS-C2960L-SM-24PS;TRUE
WS-C2960L-48TS-LL;TRUE
WS-C2960L-SM-48TS;TRUE
WS-C2960L-48PS-LL;TRUE
WS-C2960L-SM-48PS;TRUE
WS-C2960L-24TQ-LL;TRUE
WS-C2960L-SM-24TQ;TRUE
WS-C2960L-24PQ-LL;TRUE
WS-C2960L-SM-24PQ;TRUE
WS-C2960L-48TQ-LL;TRUE
WS-C2960L-SM-48TQ;TRUE
WS-C2960L-48PQ-LL;TRUE
WS-C2960L-SM-48PQ;TRUE
