Artikelnummer;Netto-VK
WS-C2960L-8TS-LL;265,00
WS-C2960L-SM-8TS;250,00
WS-C2960L-8PS-LL;420,00
WS-C2960L-SM-8PS;400,00
WS-C2960L-16TS-LL;400,00
WS-C2960L-SM-16TS;380,00
WS-C2960L-16PS-LL;640,00
WS-C2960L-SM-16PS;610,00
WS-C2960L-24TS-LL;620,00
WS-C2960L-SM-24TS;590,00
WS-C2960L-24PS-LL;1000,00
WS-C2960L-SM-24PS;950,00
WS-C2960L-48TS-LL;1050,00
WS-C2960L-SM-48TS;1000,00
WS-C2960L-48PS-LL;1650,00
WS-C2960L-SM-48PS;1570,00
WS-C2960L-24TQ-LL;960,00
WS-C2960L-SM-24TQ;910,00
WS-C2960L-24PQ-LL;1400,00
WS-C2960L-SM-24PQ;1330,00
WS-C2960L-48TQ-LL;1700,00
WS-C2960L-SM-48TQ;1620,00
WS-C2960L-48PQ-LL;2500,00
WS-C2960L-SM-48PQ;2380,00
