Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
WS-C2960L-8TS-LL,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960L-SM-8TS,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960L-8PS-LL,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960L-SM-8PS,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960L-16TS-LL,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960L-SM-16TS,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960L-16PS-LL,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960L-SM-16PS,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960L-24TS-LL,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960L-SM-24TS,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960L-24PS-LL,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960L-SM-24PS,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960L-48TS-LL,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960L-SM-48TS,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960L-48PS-LL,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960L-SM-48PS,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960L-24TQ-LL,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960L-SM-24TQ,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960L-24PQ-LL,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960L-SM-24PQ,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960L-48TQ-LL,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960L-SM-48TQ,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960L-48PQ-LL,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960L-SM-48PQ,,condition,Funktionsattribut,Wertliste,Deutsch,new
