Artikelnummer,Netto-VK,Anker-Quelle,Methode,Anker-PN
WS-C2960L-8TS-LL,"265,00","Genuine-New-Sealed ONLY (Catalyst 2960-L, EoS angekündigt Nov-2022): neueste 2960-Linie (Gigabit, echtes PoE+/Perpetual, lüfterlos) — refurb-gesättigt, refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€250 (SM-8TS) -> ~€2.500 (48PQ-LL). Über den FE-Linien (SF/Plus), da neuer/Gigabit. Monoton Ports(8<16<24<48)×Uplink(1G-SFP<10G-SFP+ = S<Q)×PoE(kein<Budget); -SM = -LL ×0,95 (identische Hardware, Web-UI-first). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,8-Port 1G no-PoE (LL-Floor) (-LL full managed)
WS-C2960L-SM-8TS,"250,00","Genuine-New-Sealed ONLY (Catalyst 2960-L, EoS angekündigt Nov-2022): neueste 2960-Linie (Gigabit, echtes PoE+/Perpetual, lüfterlos) — refurb-gesättigt, refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€250 (SM-8TS) -> ~€2.500 (48PQ-LL). Über den FE-Linien (SF/Plus), da neuer/Gigabit. Monoton Ports(8<16<24<48)×Uplink(1G-SFP<10G-SFP+ = S<Q)×PoE(kein<Budget); -SM = -LL ×0,95 (identische Hardware, Web-UI-first). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,"8-Port 1G no-PoE (LL-Floor) (-SM Smart Managed = -LL x0,95)"
WS-C2960L-8PS-LL,"420,00","Genuine-New-Sealed ONLY (Catalyst 2960-L, EoS angekündigt Nov-2022): neueste 2960-Linie (Gigabit, echtes PoE+/Perpetual, lüfterlos) — refurb-gesättigt, refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€250 (SM-8TS) -> ~€2.500 (48PQ-LL). Über den FE-Linien (SF/Plus), da neuer/Gigabit. Monoton Ports(8<16<24<48)×Uplink(1G-SFP<10G-SFP+ = S<Q)×PoE(kein<Budget); -SM = -LL ×0,95 (identische Hardware, Web-UI-first). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,8-Port 1G PoE-67 (-LL full managed)
WS-C2960L-SM-8PS,"400,00","Genuine-New-Sealed ONLY (Catalyst 2960-L, EoS angekündigt Nov-2022): neueste 2960-Linie (Gigabit, echtes PoE+/Perpetual, lüfterlos) — refurb-gesättigt, refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€250 (SM-8TS) -> ~€2.500 (48PQ-LL). Über den FE-Linien (SF/Plus), da neuer/Gigabit. Monoton Ports(8<16<24<48)×Uplink(1G-SFP<10G-SFP+ = S<Q)×PoE(kein<Budget); -SM = -LL ×0,95 (identische Hardware, Web-UI-first). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,"8-Port 1G PoE-67 (-SM Smart Managed = -LL x0,95)"
WS-C2960L-16TS-LL,"400,00","Genuine-New-Sealed ONLY (Catalyst 2960-L, EoS angekündigt Nov-2022): neueste 2960-Linie (Gigabit, echtes PoE+/Perpetual, lüfterlos) — refurb-gesättigt, refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€250 (SM-8TS) -> ~€2.500 (48PQ-LL). Über den FE-Linien (SF/Plus), da neuer/Gigabit. Monoton Ports(8<16<24<48)×Uplink(1G-SFP<10G-SFP+ = S<Q)×PoE(kein<Budget); -SM = -LL ×0,95 (identische Hardware, Web-UI-first). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,16-Port 1G no-PoE (-LL full managed)
WS-C2960L-SM-16TS,"380,00","Genuine-New-Sealed ONLY (Catalyst 2960-L, EoS angekündigt Nov-2022): neueste 2960-Linie (Gigabit, echtes PoE+/Perpetual, lüfterlos) — refurb-gesättigt, refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€250 (SM-8TS) -> ~€2.500 (48PQ-LL). Über den FE-Linien (SF/Plus), da neuer/Gigabit. Monoton Ports(8<16<24<48)×Uplink(1G-SFP<10G-SFP+ = S<Q)×PoE(kein<Budget); -SM = -LL ×0,95 (identische Hardware, Web-UI-first). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,"16-Port 1G no-PoE (-SM Smart Managed = -LL x0,95)"
WS-C2960L-16PS-LL,"640,00","Genuine-New-Sealed ONLY (Catalyst 2960-L, EoS angekündigt Nov-2022): neueste 2960-Linie (Gigabit, echtes PoE+/Perpetual, lüfterlos) — refurb-gesättigt, refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€250 (SM-8TS) -> ~€2.500 (48PQ-LL). Über den FE-Linien (SF/Plus), da neuer/Gigabit. Monoton Ports(8<16<24<48)×Uplink(1G-SFP<10G-SFP+ = S<Q)×PoE(kein<Budget); -SM = -LL ×0,95 (identische Hardware, Web-UI-first). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,16-Port 1G PoE-120 (-LL full managed)
WS-C2960L-SM-16PS,"610,00","Genuine-New-Sealed ONLY (Catalyst 2960-L, EoS angekündigt Nov-2022): neueste 2960-Linie (Gigabit, echtes PoE+/Perpetual, lüfterlos) — refurb-gesättigt, refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€250 (SM-8TS) -> ~€2.500 (48PQ-LL). Über den FE-Linien (SF/Plus), da neuer/Gigabit. Monoton Ports(8<16<24<48)×Uplink(1G-SFP<10G-SFP+ = S<Q)×PoE(kein<Budget); -SM = -LL ×0,95 (identische Hardware, Web-UI-first). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,"16-Port 1G PoE-120 (-SM Smart Managed = -LL x0,95)"
WS-C2960L-24TS-LL,"620,00","Genuine-New-Sealed ONLY (Catalyst 2960-L, EoS angekündigt Nov-2022): neueste 2960-Linie (Gigabit, echtes PoE+/Perpetual, lüfterlos) — refurb-gesättigt, refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€250 (SM-8TS) -> ~€2.500 (48PQ-LL). Über den FE-Linien (SF/Plus), da neuer/Gigabit. Monoton Ports(8<16<24<48)×Uplink(1G-SFP<10G-SFP+ = S<Q)×PoE(kein<Budget); -SM = -LL ×0,95 (identische Hardware, Web-UI-first). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,24-Port 1G no-PoE (-LL full managed)
WS-C2960L-SM-24TS,"590,00","Genuine-New-Sealed ONLY (Catalyst 2960-L, EoS angekündigt Nov-2022): neueste 2960-Linie (Gigabit, echtes PoE+/Perpetual, lüfterlos) — refurb-gesättigt, refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€250 (SM-8TS) -> ~€2.500 (48PQ-LL). Über den FE-Linien (SF/Plus), da neuer/Gigabit. Monoton Ports(8<16<24<48)×Uplink(1G-SFP<10G-SFP+ = S<Q)×PoE(kein<Budget); -SM = -LL ×0,95 (identische Hardware, Web-UI-first). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,"24-Port 1G no-PoE (-SM Smart Managed = -LL x0,95)"
