Artikelnummer,Netto-VK,Anker-Quelle,Methode,Anker-PN
WS-C2960+48PST-L,"1400,00","Genuine-New-Sealed ONLY (Catalyst 2960-Plus, EoS/EoL): einfachste FE-Linie (802.3af-PoE, kein Stacking, kein 10G) — refurb-gesättigt. Refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€200 (24TC-S LAN Lite) bis ~€1.800; Decke hier €1.400 (48PST-L), knapp UNTER dem 2960-SF-Pendant, da einfachere Linie. Monoton Featureset(LAN Lite<LAN Base)×Portzahl(24<48)×PoE(kein<123<370)×Uplinks(2 Combo<4 48PST). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,Ceiling: 48-Port FE LAN Base PoE-370 4-Uplink (< 2960-SF)
WS-C2960+24PC-L,"680,00","Genuine-New-Sealed ONLY (Catalyst 2960-Plus, EoS/EoL): einfachste FE-Linie (802.3af-PoE, kein Stacking, kein 10G) — refurb-gesättigt. Refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€200 (24TC-S LAN Lite) bis ~€1.800; Decke hier €1.400 (48PST-L), knapp UNTER dem 2960-SF-Pendant, da einfachere Linie. Monoton Featureset(LAN Lite<LAN Base)×Portzahl(24<48)×PoE(kein<123<370)×Uplinks(2 Combo<4 48PST). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,24-Port FE LAN Base PoE-370
WS-C2960+24LC-L,"480,00","Genuine-New-Sealed ONLY (Catalyst 2960-Plus, EoS/EoL): einfachste FE-Linie (802.3af-PoE, kein Stacking, kein 10G) — refurb-gesättigt. Refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€200 (24TC-S LAN Lite) bis ~€1.800; Decke hier €1.400 (48PST-L), knapp UNTER dem 2960-SF-Pendant, da einfachere Linie. Monoton Featureset(LAN Lite<LAN Base)×Portzahl(24<48)×PoE(kein<123<370)×Uplinks(2 Combo<4 48PST). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,24-Port FE LAN Base 123W/8-PoE
WS-C2960+48TC-L,"750,00","Genuine-New-Sealed ONLY (Catalyst 2960-Plus, EoS/EoL): einfachste FE-Linie (802.3af-PoE, kein Stacking, kein 10G) — refurb-gesättigt. Refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€200 (24TC-S LAN Lite) bis ~€1.800; Decke hier €1.400 (48PST-L), knapp UNTER dem 2960-SF-Pendant, da einfachere Linie. Monoton Featureset(LAN Lite<LAN Base)×Portzahl(24<48)×PoE(kein<123<370)×Uplinks(2 Combo<4 48PST). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,48-Port FE LAN Base no-PoE
WS-C2960+24TC-L,"300,00","Genuine-New-Sealed ONLY (Catalyst 2960-Plus, EoS/EoL): einfachste FE-Linie (802.3af-PoE, kein Stacking, kein 10G) — refurb-gesättigt. Refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€200 (24TC-S LAN Lite) bis ~€1.800; Decke hier €1.400 (48PST-L), knapp UNTER dem 2960-SF-Pendant, da einfachere Linie. Monoton Featureset(LAN Lite<LAN Base)×Portzahl(24<48)×PoE(kein<123<370)×Uplinks(2 Combo<4 48PST). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,24-Port FE LAN Base no-PoE
WS-C2960+48PST-S,"950,00","Genuine-New-Sealed ONLY (Catalyst 2960-Plus, EoS/EoL): einfachste FE-Linie (802.3af-PoE, kein Stacking, kein 10G) — refurb-gesättigt. Refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€200 (24TC-S LAN Lite) bis ~€1.800; Decke hier €1.400 (48PST-L), knapp UNTER dem 2960-SF-Pendant, da einfachere Linie. Monoton Featureset(LAN Lite<LAN Base)×Portzahl(24<48)×PoE(kein<123<370)×Uplinks(2 Combo<4 48PST). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,48-Port FE LAN Lite PoE-370 4-Uplink
WS-C2960+24PC-S,"450,00","Genuine-New-Sealed ONLY (Catalyst 2960-Plus, EoS/EoL): einfachste FE-Linie (802.3af-PoE, kein Stacking, kein 10G) — refurb-gesättigt. Refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€200 (24TC-S LAN Lite) bis ~€1.800; Decke hier €1.400 (48PST-L), knapp UNTER dem 2960-SF-Pendant, da einfachere Linie. Monoton Featureset(LAN Lite<LAN Base)×Portzahl(24<48)×PoE(kein<123<370)×Uplinks(2 Combo<4 48PST). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,24-Port FE LAN Lite PoE-370
WS-C2960+24LC-S,"320,00","Genuine-New-Sealed ONLY (Catalyst 2960-Plus, EoS/EoL): einfachste FE-Linie (802.3af-PoE, kein Stacking, kein 10G) — refurb-gesättigt. Refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€200 (24TC-S LAN Lite) bis ~€1.800; Decke hier €1.400 (48PST-L), knapp UNTER dem 2960-SF-Pendant, da einfachere Linie. Monoton Featureset(LAN Lite<LAN Base)×Portzahl(24<48)×PoE(kein<123<370)×Uplinks(2 Combo<4 48PST). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,24-Port FE LAN Lite 123W/8-PoE
WS-C2960+48TC-S,"500,00","Genuine-New-Sealed ONLY (Catalyst 2960-Plus, EoS/EoL): einfachste FE-Linie (802.3af-PoE, kein Stacking, kein 10G) — refurb-gesättigt. Refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€200 (24TC-S LAN Lite) bis ~€1.800; Decke hier €1.400 (48PST-L), knapp UNTER dem 2960-SF-Pendant, da einfachere Linie. Monoton Featureset(LAN Lite<LAN Base)×Portzahl(24<48)×PoE(kein<123<370)×Uplinks(2 Combo<4 48PST). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,48-Port FE LAN Lite no-PoE
WS-C2960+24TC-S,"200,00","Genuine-New-Sealed ONLY (Catalyst 2960-Plus, EoS/EoL): einfachste FE-Linie (802.3af-PoE, kein Stacking, kein 10G) — refurb-gesättigt. Refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€200 (24TC-S LAN Lite) bis ~€1.800; Decke hier €1.400 (48PST-L), knapp UNTER dem 2960-SF-Pendant, da einfachere Linie. Monoton Featureset(LAN Lite<LAN Base)×Portzahl(24<48)×PoE(kein<123<370)×Uplinks(2 Combo<4 48PST). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,Operator-Floor: 24-Port FE LAN Lite no-PoE
