Artikelnummer,Netto-VK,Anker-Quelle,Methode,Anker-PN
WS-C2960S-48FPD-L,"2800,00","Genuine-New-Sealed ONLY (Catalyst 2960-S, past End-of-Support, abgelöst durch 2960-X/-L): gleicher refurb-gesättigter Markt wie der 2960-X. Refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€300 (24TS-S LAN Lite) -> ~€3.000 (48FPD-L) — knapp UNTER dem 2960-X-Band (€400-4000), da ältere Linie. Monoton Featureset(LAN Lite<LAN Base)×Portzahl(24<48)×Uplink(S/1G<D/10G)×PoE(kein<370<740). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,Ceiling: 48-Port LAN Base PoE-740 10G (< 2960-X 48FPD-L)
WS-C2960S-48LPD-L,"1650,00","Genuine-New-Sealed ONLY (Catalyst 2960-S, past End-of-Support, abgelöst durch 2960-X/-L): gleicher refurb-gesättigter Markt wie der 2960-X. Refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€300 (24TS-S LAN Lite) -> ~€3.000 (48FPD-L) — knapp UNTER dem 2960-X-Band (€400-4000), da ältere Linie. Monoton Featureset(LAN Lite<LAN Base)×Portzahl(24<48)×Uplink(S/1G<D/10G)×PoE(kein<370<740). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,48-Port LAN Base PoE-370 10G
WS-C2960S-24PD-L,"1150,00","Genuine-New-Sealed ONLY (Catalyst 2960-S, past End-of-Support, abgelöst durch 2960-X/-L): gleicher refurb-gesättigter Markt wie der 2960-X. Refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€300 (24TS-S LAN Lite) -> ~€3.000 (48FPD-L) — knapp UNTER dem 2960-X-Band (€400-4000), da ältere Linie. Monoton Featureset(LAN Lite<LAN Base)×Portzahl(24<48)×Uplink(S/1G<D/10G)×PoE(kein<370<740). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,24-Port LAN Base PoE-370 10G
WS-C2960S-48TD-L,"1100,00","Genuine-New-Sealed ONLY (Catalyst 2960-S, past End-of-Support, abgelöst durch 2960-X/-L): gleicher refurb-gesättigter Markt wie der 2960-X. Refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€300 (24TS-S LAN Lite) -> ~€3.000 (48FPD-L) — knapp UNTER dem 2960-X-Band (€400-4000), da ältere Linie. Monoton Featureset(LAN Lite<LAN Base)×Portzahl(24<48)×Uplink(S/1G<D/10G)×PoE(kein<370<740). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,48-Port LAN Base data 10G
WS-C2960S-24TD-L,"650,00","Genuine-New-Sealed ONLY (Catalyst 2960-S, past End-of-Support, abgelöst durch 2960-X/-L): gleicher refurb-gesättigter Markt wie der 2960-X. Refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€300 (24TS-S LAN Lite) -> ~€3.000 (48FPD-L) — knapp UNTER dem 2960-X-Band (€400-4000), da ältere Linie. Monoton Featureset(LAN Lite<LAN Base)×Portzahl(24<48)×Uplink(S/1G<D/10G)×PoE(kein<370<740). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,24-Port LAN Base data 10G-Uplink
WS-C2960S-48FPS-L,"1750,00","Genuine-New-Sealed ONLY (Catalyst 2960-S, past End-of-Support, abgelöst durch 2960-X/-L): gleicher refurb-gesättigter Markt wie der 2960-X. Refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€300 (24TS-S LAN Lite) -> ~€3.000 (48FPD-L) — knapp UNTER dem 2960-X-Band (€400-4000), da ältere Linie. Monoton Featureset(LAN Lite<LAN Base)×Portzahl(24<48)×Uplink(S/1G<D/10G)×PoE(kein<370<740). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,48-Port LAN Base PoE-740 1G
WS-C2960S-48LPS-L,"1250,00","Genuine-New-Sealed ONLY (Catalyst 2960-S, past End-of-Support, abgelöst durch 2960-X/-L): gleicher refurb-gesättigter Markt wie der 2960-X. Refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€300 (24TS-S LAN Lite) -> ~€3.000 (48FPD-L) — knapp UNTER dem 2960-X-Band (€400-4000), da ältere Linie. Monoton Featureset(LAN Lite<LAN Base)×Portzahl(24<48)×Uplink(S/1G<D/10G)×PoE(kein<370<740). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,48-Port LAN Base PoE-370 1G
WS-C2960S-24PS-L,"800,00","Genuine-New-Sealed ONLY (Catalyst 2960-S, past End-of-Support, abgelöst durch 2960-X/-L): gleicher refurb-gesättigter Markt wie der 2960-X. Refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€300 (24TS-S LAN Lite) -> ~€3.000 (48FPD-L) — knapp UNTER dem 2960-X-Band (€400-4000), da ältere Linie. Monoton Featureset(LAN Lite<LAN Base)×Portzahl(24<48)×Uplink(S/1G<D/10G)×PoE(kein<370<740). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,24-Port LAN Base PoE-370 1G
WS-C2960S-48TS-L,"750,00","Genuine-New-Sealed ONLY (Catalyst 2960-S, past End-of-Support, abgelöst durch 2960-X/-L): gleicher refurb-gesättigter Markt wie der 2960-X. Refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€300 (24TS-S LAN Lite) -> ~€3.000 (48FPD-L) — knapp UNTER dem 2960-X-Band (€400-4000), da ältere Linie. Monoton Featureset(LAN Lite<LAN Base)×Portzahl(24<48)×Uplink(S/1G<D/10G)×PoE(kein<370<740). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,48-Port LAN Base data 1G
WS-C2960S-24TS-L,"450,00","Genuine-New-Sealed ONLY (Catalyst 2960-S, past End-of-Support, abgelöst durch 2960-X/-L): gleicher refurb-gesättigter Markt wie der 2960-X. Refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€300 (24TS-S LAN Lite) -> ~€3.000 (48FPD-L) — knapp UNTER dem 2960-X-Band (€400-4000), da ältere Linie. Monoton Featureset(LAN Lite<LAN Base)×Portzahl(24<48)×Uplink(S/1G<D/10G)×PoE(kein<370<740). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,24-Port LAN Base data 1G-Uplink
WS-C2960S-48TS-S,"480,00","Genuine-New-Sealed ONLY (Catalyst 2960-S, past End-of-Support, abgelöst durch 2960-X/-L): gleicher refurb-gesättigter Markt wie der 2960-X. Refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€300 (24TS-S LAN Lite) -> ~€3.000 (48FPD-L) — knapp UNTER dem 2960-X-Band (€400-4000), da ältere Linie. Monoton Featureset(LAN Lite<LAN Base)×Portzahl(24<48)×Uplink(S/1G<D/10G)×PoE(kein<370<740). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,48-Port LAN Lite
WS-C2960S-24TS-S,"300,00","Genuine-New-Sealed ONLY (Catalyst 2960-S, past End-of-Support, abgelöst durch 2960-X/-L): gleicher refurb-gesättigter Markt wie der 2960-X. Refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€300 (24TS-S LAN Lite) -> ~€3.000 (48FPD-L) — knapp UNTER dem 2960-X-Band (€400-4000), da ältere Linie. Monoton Featureset(LAN Lite<LAN Base)×Portzahl(24<48)×Uplink(S/1G<D/10G)×PoE(kein<370<740). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,Operator-Floor: 24-Port LAN Lite no-PoE
