Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
WS-C2960X-48FPD-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960X-48LPD-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960X-24PD-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960X-48TD-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960X-24TD-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960X-48FPS-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960X-48LPS-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960X-24PS-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960X-24PSQ-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960X-48TS-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960X-24TS-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960X-48TS-LL,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960X-24TS-LL,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960XR-48FPD-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960XR-48LPD-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960XR-24PD-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960XR-48TD-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960XR-24TD-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960XR-48FPS-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960XR-48LPS-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960XR-24PS-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960XR-48TS-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C2960XR-24TS-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
