Artikelnummer,Netto-VK,Anker-Quelle,Methode,Anker-PN
WS-C3560-24TS-S,"150,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-Festswitch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3560-24TS-E,"220,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-Festswitch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3560-48TS-S,"250,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-Festswitch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3560-48TS-E,"360,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-Festswitch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3560-24PS-S,"250,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-Festswitch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3560-24PS-E,"360,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-Festswitch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3560-48PS-S,"400,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-Festswitch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3560-48PS-E,"560,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-Festswitch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3560G-24TS-S,"250,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-Festswitch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3560G-24TS-E,"360,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-Festswitch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3560G-48TS-S,"400,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-Festswitch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3560G-48TS-E,"560,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-Festswitch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3560G-24PS-S,"400,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-Festswitch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3560G-24PS-E,"560,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-Festswitch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3560G-48PS-S,"550,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-Festswitch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3560G-48PS-E,"750,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-Festswitch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
