Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
WS-C3560CG-8TC-S,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8TC-S,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8TC-S,Portanzahl,10,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8TC-S,Port-Konfiguration,8× 1G-RJ45 + 2× Dual-Purpose (1G-RJ45/SFP),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8TC-S,Port-Geschwindigkeit,1G,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8TC-S,PoE,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8TC-S,Switching-Kapazität,20 Gbit/s,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8TC-S,Durchsatz,"14,9 Mpps",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8TC-S,Bauform,"Kompakt-Gehäuse (lüfterlos, geringe Bautiefe)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8TC-S,Stromversorgung,"Internes Netzteil (100–240 V AC, lüfterlos)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8TC-S,Kühlung,Lüfterlos (passiv gekühlt),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8TC-S,Stacking,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8TC-S,Betriebstemperatur,-5 bis 40 °C,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8TC-S,Anwendung,"Kompakter, lüfterloser Layer-3-Access außerhalb des Verteilerschranks (IP Base) – Verkaufsfläche, Klassenraum, Hotelzimmer, Fertigung; reine Datenports ohne PoE; Gigabit-Downlinks; Routed Access mit MACsec-Verschlüsselung; wand-, rack- oder DIN-schienen-montierbar; verwaltet über Cisco IOS (CLI)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8TC-S,WS-C3560CG-8TC-S,EoL,"Cisco Catalyst 3560-C End-of-Sale (kompakte Serie, ~2012–2020) — informativ als Original-Ersatz-/Bestands-Spare geführt, nicht entfernt.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,2026-06-25T00:44:08Z
WS-C3560CG-8PC-S,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8PC-S,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8PC-S,Portanzahl,10,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8PC-S,Port-Konfiguration,8× 1G-RJ45 (PoE+) + 2× Dual-Purpose (1G-RJ45/SFP),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8PC-S,Port-Geschwindigkeit,1G,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8PC-S,PoE,"Ja – PoE+ (IEEE 802.3at, bis 30 W/Port), 124 W",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8PC-S,Switching-Kapazität,20 Gbit/s,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8PC-S,Durchsatz,"14,9 Mpps",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8PC-S,Bauform,"Kompakt-Gehäuse (lüfterlos, geringe Bautiefe)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8PC-S,Stromversorgung,"Internes Netzteil (100–240 V AC, lüfterlos)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8PC-S,Kühlung,Lüfterlos (passiv gekühlt),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8PC-S,Stacking,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8PC-S,Betriebstemperatur,-5 bis 40 °C,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8PC-S,Anwendung,"Kompakter, lüfterloser Layer-3-Access außerhalb des Verteilerschranks (IP Base) – Verkaufsfläche, Klassenraum, Hotelzimmer, Fertigung; PoE+-Versorgung (802.3at, 124 W) für IP-Telefone, WLAN-Access-Points und Kameras; Gigabit-Downlinks; Routed Access mit MACsec-Verschlüsselung; wand-, rack- oder DIN-schienen-montierbar; verwaltet über Cisco IOS (CLI)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CG-8PC-S,WS-C3560CG-8PC-S,EoL,"Cisco Catalyst 3560-C End-of-Sale (kompakte Serie, ~2012–2020) — informativ als Original-Ersatz-/Bestands-Spare geführt, nicht entfernt.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,2026-06-25T00:44:08Z
WS-C3560CPD-8PT-S,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CPD-8PT-S,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CPD-8PT-S,Portanzahl,10,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CPD-8PT-S,Port-Konfiguration,8× 1G-RJ45 (PoE+ Passthrough) + 2× 1G-RJ45 (UPOE-Eingang),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CPD-8PT-S,Port-Geschwindigkeit,1G,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CPD-8PT-S,PoE,"Ja – PoE+-Passthrough (über UPOE-Uplink gespeist, bis 23,8 W)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CPD-8PT-S,Switching-Kapazität,20 Gbit/s,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CPD-8PT-S,Durchsatz,"14,9 Mpps",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CPD-8PT-S,Bauform,"Kompakt-Gehäuse (lüfterlos, geringe Bautiefe)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CPD-8PT-S,Stromversorgung,Kein internes Netzteil – Speisung über PoE+/UPOE-Uplink (optionaler Adapter PWR-ADPT),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CPD-8PT-S,Kühlung,Lüfterlos (passiv gekühlt),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CPD-8PT-S,Stacking,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CPD-8PT-S,Betriebstemperatur,-5 bis 40 °C,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CPD-8PT-S,Anwendung,"Kompakter, lüfterloser Layer-3-Access außerhalb des Verteilerschranks (IP Base) – Verkaufsfläche, Klassenraum, Hotelzimmer, Fertigung; PoE-Passthrough an die Downlinks (über Uplink gespeist); Gigabit-Downlinks; Routed Access mit MACsec-Verschlüsselung; wand-, rack- oder DIN-schienen-montierbar; verwaltet über Cisco IOS (CLI)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560CPD-8PT-S,WS-C3560CPD-8PT-S,EoL,"Cisco Catalyst 3560-C End-of-Sale (kompakte Serie, ~2012–2020) — informativ als Original-Ersatz-/Bestands-Spare geführt, nicht entfernt.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,2026-06-25T00:44:08Z
WS-C3560C-8PC-S,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560C-8PC-S,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560C-8PC-S,Portanzahl,10,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560C-8PC-S,Port-Konfiguration,8× 100M-RJ45 (PoE+) + 2× Dual-Purpose (1G-RJ45/SFP),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560C-8PC-S,Port-Geschwindigkeit,100M (Uplink 1G),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560C-8PC-S,PoE,"Ja – PoE+ (IEEE 802.3at, bis 30 W/Port), 124 W",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560C-8PC-S,Switching-Kapazität,"5,6 Gbit/s",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560C-8PC-S,Durchsatz,"4,2 Mpps",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560C-8PC-S,Bauform,"Kompakt-Gehäuse (lüfterlos, geringe Bautiefe)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560C-8PC-S,Stromversorgung,"Internes Netzteil (100–240 V AC, lüfterlos)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560C-8PC-S,Kühlung,Lüfterlos (passiv gekühlt),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560C-8PC-S,Stacking,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560C-8PC-S,Betriebstemperatur,-5 bis 45 °C,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560C-8PC-S,Anwendung,"Kompakter, lüfterloser Layer-3-Access außerhalb des Verteilerschranks (IP Base) – Verkaufsfläche, Klassenraum, Hotelzimmer, Fertigung; PoE+-Versorgung (802.3at, 124 W) für IP-Telefone, WLAN-Access-Points und Kameras; Fast-Ethernet-Downlinks; Routed Access (IP Base); wand-, rack- oder DIN-schienen-montierbar; verwaltet über Cisco IOS (CLI)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560C-8PC-S,WS-C3560C-8PC-S,EoL,"Cisco Catalyst 3560-C End-of-Sale (kompakte Serie, ~2012–2020) — informativ als Original-Ersatz-/Bestands-Spare geführt, nicht entfernt.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,2026-06-25T00:44:08Z
WS-C3560C-12PC-S,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560C-12PC-S,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
WS-C3560C-12PC-S,Portanzahl,14,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-2960-c-series-switches/data_sheet_c78-639705.html,datasheet,2026-06-25T00:44:08Z
