Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
WS-C3750-24TS-S,Switch-Typ,Managed,https://web.archive.org/web/2018/https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3750-series-switches/product_data_sheet0900aecd80371991.html,datasheet,2026-06-29T03:56:53Z
WS-C3750-24TS-S,Layer,L3,https://web.archive.org/web/2018/https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3750-series-switches/product_data_sheet0900aecd80371991.html,datasheet,2026-06-29T03:56:53Z
WS-C3750-24TS-S,Portanzahl,24,https://web.archive.org/web/2018/https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3750-series-switches/product_data_sheet0900aecd80371991.html,datasheet,2026-06-29T03:56:53Z
WS-C3750-24TS-S,Port-Konfiguration,24× 10/100,https://web.archive.org/web/2018/https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3750-series-switches/product_data_sheet0900aecd80371991.html,datasheet,2026-06-29T03:56:53Z
WS-C3750-24TS-S,Port-Geschwindigkeit,100M,https://web.archive.org/web/2018/https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3750-series-switches/product_data_sheet0900aecd80371991.html,datasheet,2026-06-29T03:56:53Z
WS-C3750-24TS-S,Uplink-Ports,2× SFP (GbE),https://web.archive.org/web/2018/https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3750-series-switches/product_data_sheet0900aecd80371991.html,datasheet,2026-06-29T03:56:53Z
WS-C3750-24TS-S,PoE,Nein,https://web.archive.org/web/2018/https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3750-series-switches/product_data_sheet0900aecd80371991.html,datasheet,2026-06-29T03:56:53Z
WS-C3750-24TS-S,Switching-Kapazität,32 Gbit/s,https://web.archive.org/web/2018/https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3750-series-switches/product_data_sheet0900aecd80371991.html,datasheet,2026-06-29T03:56:53Z
WS-C3750-24TS-S,Durchsatz,"6,5 Mpps",https://web.archive.org/web/2018/https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3750-series-switches/product_data_sheet0900aecd80371991.html,datasheet,2026-06-29T03:56:53Z
WS-C3750-24TS-S,Bauform,19-Zoll-Rackmontage (1 HE),https://web.archive.org/web/2018/https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3750-series-switches/product_data_sheet0900aecd80371991.html,datasheet,2026-06-29T03:56:53Z
