Artikelnummer;Artikelname;Kurzbeschreibung;Beschreibung;URL-Pfad;Artikelgewicht;Versandgewicht;HAN;Hersteller;Versandklasse;Verkaufseinheit;Titel-Tag (SEO);Meta-Description (SEO);Kategorie Ebene 1;Kategorie Ebene 2;Kategorie Ebene 3;Überverkauf Plattform Hexwaren;Bestandsführung aktiv;Überverkäufe möglich
WS-C3750E-24TD-S;Cisco WS-C3750E-24TD-S Catalyst 3750-E gemanagter stapelbarer L3-Access-Switch (24× 10/100/1000 und 2× X2 (10G), IP Base, 1 HE);"<p>Der Cisco WS-C3750E-24TD-S ist ein gemanagter, stapelbarer Layer-3-Access-Switch der Catalyst 3750-E-Serie: 24× 10/100/1000 und 2× X2 (10G), 128 Gbit/s, 65,5 Mpps, Cisco StackWise Plus (64 Gbit/s Stack-Ring), Image IP Base, ohne PoE unter klassisches Cisco IOS (nicht IOS-XE).</p><p>Der WS-C3750E-24TD-S ist ein 1-HE-Gerät. Abgekündigt (End-of-Sale 2011/2014); ungebrauchte Original-Hardware.</p>";"<p>Der Cisco WS-C3750E-24TD-S ist ein gemanagter, stapelbarer Layer-3-Access-Switch der Catalyst 3750-E-Serie – ein festes 1-HE-Gerät mit 24× 10/100/1000 und 2× X2 (10G)-Uplinks für den Enterprise- und Campus-Zugang.</p><p>Der WS-C3750E-24TD-S bündelt per Cisco StackWise Plus (64 Gbit/s Stack-Ring) bis zu neun Einheiten zu einem logischen Switch und liefert 128 Gbit/s Switching-Kapazität sowie 65,5 Mpps Durchsatz. Im Software-Image IP Base führt der WS-C3750E-24TD-S hardwarebasiertes IP-Routing (CEF) aus – IP Base (SMI): statisches Routing, RIP und EIGRP-Stub – und arbeitet im reinen Datenbetrieb ohne PoE. Betrieben wird der WS-C3750E-24TD-S unter klassisches Cisco IOS (nicht IOS-XE).</p><p>Im 19-Zoll-Rack (1 HE) arbeitet der WS-C3750E-24TD-S mit aktiv (feldtauschbarer lüfter-einschub) und feldtauschbares ac-netzteil (bis 1150 w) im Bereich 0 bis 45 °C. Der WS-C3750E-24TD-S ist ein abgekündigtes Modell (End-of-Sale 2011/2014); als ungebrauchte Original-Hardware bleibt der WS-C3750E-24TD-S für Ersatz und Bestandserweiterung in Stack-Installationen verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ws-c3750e-24td-s;8,10;10,60;WS-C3750E-24TD-S;Cisco;standard;Stk;Cisco WS-C3750E-24TD-S Catalyst 3750-E L3 IP Base | Hexwaren;Original Cisco WS-C3750E-24TD-S (Catalyst 3750-E): gemanagter, stapelbarer L3-Access-Switch, 24× 10/100/1000 und 2× X2 (10G), 128 Gbit/s, Cisco StackWise Plus, Image IP Base, klassisches Cisco ….;Netzwerk & Infrastruktur;Switches;Cisco Catalyst 3750 Switches;TRUE;Y;Y
WS-C3750E-24TD-E;Cisco WS-C3750E-24TD-E Catalyst 3750-E gemanagter stapelbarer L3-Access-Switch (24× 10/100/1000 und 2× X2 (10G), IP Services, 1 HE);"<p>Der Cisco WS-C3750E-24TD-E ist ein gemanagter, stapelbarer Layer-3-Access-Switch der Catalyst 3750-E-Serie: 24× 10/100/1000 und 2× X2 (10G), 128 Gbit/s, 65,5 Mpps, Cisco StackWise Plus (64 Gbit/s Stack-Ring), Image IP Services, ohne PoE unter klassisches Cisco IOS (nicht IOS-XE).</p><p>Der WS-C3750E-24TD-E ist ein 1-HE-Gerät. Abgekündigt (End-of-Sale 2011/2014); ungebrauchte Original-Hardware.</p>";"<p>Der Cisco WS-C3750E-24TD-E ist ein gemanagter, stapelbarer Layer-3-Access-Switch der Catalyst 3750-E-Serie – ein festes 1-HE-Gerät mit 24× 10/100/1000 und 2× X2 (10G)-Uplinks für den Enterprise- und Campus-Zugang.</p><p>Der WS-C3750E-24TD-E bündelt per Cisco StackWise Plus (64 Gbit/s Stack-Ring) bis zu neun Einheiten zu einem logischen Switch und liefert 128 Gbit/s Switching-Kapazität sowie 65,5 Mpps Durchsatz. Im Software-Image IP Services führt der WS-C3750E-24TD-E hardwarebasiertes IP-Routing (CEF) aus – IP Services (EMI): voll dynamisches Routing (OSPF, EIGRP, BGP, PIM), IPv6 und Policy-Based Routing – und arbeitet im reinen Datenbetrieb ohne PoE. Betrieben wird der WS-C3750E-24TD-E unter klassisches Cisco IOS (nicht IOS-XE).</p><p>Im 19-Zoll-Rack (1 HE) arbeitet der WS-C3750E-24TD-E mit aktiv (feldtauschbarer lüfter-einschub) und feldtauschbares ac-netzteil (bis 1150 w) im Bereich 0 bis 45 °C. Der WS-C3750E-24TD-E ist ein abgekündigtes Modell (End-of-Sale 2011/2014); als ungebrauchte Original-Hardware bleibt der WS-C3750E-24TD-E für Ersatz und Bestandserweiterung in Stack-Installationen verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ws-c3750e-24td-e;8,10;10,60;WS-C3750E-24TD-E;Cisco;standard;Stk;Cisco WS-C3750E-24TD-E Catalyst 3750-E L3 | Hexwaren;Original Cisco WS-C3750E-24TD-E (Catalyst 3750-E): gemanagter, stapelbarer L3-Access-Switch, 24× 10/100/1000 und 2× X2 (10G), 128 Gbit/s, Cisco StackWise Plus, Image IP Services, klassisches Cisco ….;Netzwerk & Infrastruktur;Switches;Cisco Catalyst 3750 Switches;TRUE;Y;Y
WS-C3750E-24PD-S;Cisco WS-C3750E-24PD-S Catalyst 3750-E gemanagter stapelbarer L3-Access-Switch (24× 10/100/1000 und 2× X2 (10G), IP Base, 1 HE);"<p>Der Cisco WS-C3750E-24PD-S ist ein gemanagter, stapelbarer Layer-3-Access-Switch der Catalyst 3750-E-Serie: 24× 10/100/1000 und 2× X2 (10G), 128 Gbit/s, 65,5 Mpps, Cisco StackWise Plus (64 Gbit/s Stack-Ring), Image IP Base, PoE 802.3af unter klassisches Cisco IOS (nicht IOS-XE).</p><p>Der WS-C3750E-24PD-S ist ein 1-HE-Gerät. Abgekündigt (End-of-Sale 2011/2014); ungebrauchte Original-Hardware.</p>";"<p>Der Cisco WS-C3750E-24PD-S ist ein gemanagter, stapelbarer Layer-3-Access-Switch der Catalyst 3750-E-Serie – ein festes 1-HE-Gerät mit 24× 10/100/1000 und 2× X2 (10G)-Uplinks für den Enterprise- und Campus-Zugang.</p><p>Der WS-C3750E-24PD-S bündelt per Cisco StackWise Plus (64 Gbit/s Stack-Ring) bis zu neun Einheiten zu einem logischen Switch und liefert 128 Gbit/s Switching-Kapazität sowie 65,5 Mpps Durchsatz. Im Software-Image IP Base führt der WS-C3750E-24PD-S hardwarebasiertes IP-Routing (CEF) aus – IP Base (SMI): statisches Routing, RIP und EIGRP-Stub – und versorgt seine Zugangsports per PoE nach IEEE 802.3af (plus Cisco prestandard). Betrieben wird der WS-C3750E-24PD-S unter klassisches Cisco IOS (nicht IOS-XE).</p><p>Im 19-Zoll-Rack (1 HE) arbeitet der WS-C3750E-24PD-S mit aktiv (feldtauschbarer lüfter-einschub) und feldtauschbares ac-netzteil (bis 1150 w) im Bereich 0 bis 45 °C. Der WS-C3750E-24PD-S ist ein abgekündigtes Modell (End-of-Sale 2011/2014); als ungebrauchte Original-Hardware bleibt der WS-C3750E-24PD-S für Ersatz und Bestandserweiterung in Stack-Installationen verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ws-c3750e-24pd-s;8,30;10,80;WS-C3750E-24PD-S;Cisco;standard;Stk;Cisco WS-C3750E-24PD-S Catalyst 3750-E L3 IP Base | Hexwaren;Original Cisco WS-C3750E-24PD-S (Catalyst 3750-E): gemanagter, stapelbarer L3-Access-Switch, 24× 10/100/1000 und 2× X2 (10G), 128 Gbit/s, Cisco StackWise Plus, Image IP Base, PoE, klassisches ….;Netzwerk & Infrastruktur;Switches;Cisco Catalyst 3750 Switches;TRUE;Y;Y
WS-C3750E-24PD-E;Cisco WS-C3750E-24PD-E Catalyst 3750-E gemanagter stapelbarer L3-Access-Switch (24× 10/100/1000 und 2× X2 (10G), IP Services, 1 HE);"<p>Der Cisco WS-C3750E-24PD-E ist ein gemanagter, stapelbarer Layer-3-Access-Switch der Catalyst 3750-E-Serie: 24× 10/100/1000 und 2× X2 (10G), 128 Gbit/s, 65,5 Mpps, Cisco StackWise Plus (64 Gbit/s Stack-Ring), Image IP Services, PoE 802.3af unter klassisches Cisco IOS (nicht IOS-XE).</p><p>Der WS-C3750E-24PD-E ist ein 1-HE-Gerät. Abgekündigt (End-of-Sale 2011/2014); ungebrauchte Original-Hardware.</p>";"<p>Der Cisco WS-C3750E-24PD-E ist ein gemanagter, stapelbarer Layer-3-Access-Switch der Catalyst 3750-E-Serie – ein festes 1-HE-Gerät mit 24× 10/100/1000 und 2× X2 (10G)-Uplinks für den Enterprise- und Campus-Zugang.</p><p>Der WS-C3750E-24PD-E bündelt per Cisco StackWise Plus (64 Gbit/s Stack-Ring) bis zu neun Einheiten zu einem logischen Switch und liefert 128 Gbit/s Switching-Kapazität sowie 65,5 Mpps Durchsatz. Im Software-Image IP Services führt der WS-C3750E-24PD-E hardwarebasiertes IP-Routing (CEF) aus – IP Services (EMI): voll dynamisches Routing (OSPF, EIGRP, BGP, PIM), IPv6 und Policy-Based Routing – und versorgt seine Zugangsports per PoE nach IEEE 802.3af (plus Cisco prestandard). Betrieben wird der WS-C3750E-24PD-E unter klassisches Cisco IOS (nicht IOS-XE).</p><p>Im 19-Zoll-Rack (1 HE) arbeitet der WS-C3750E-24PD-E mit aktiv (feldtauschbarer lüfter-einschub) und feldtauschbares ac-netzteil (bis 1150 w) im Bereich 0 bis 45 °C. Der WS-C3750E-24PD-E ist ein abgekündigtes Modell (End-of-Sale 2011/2014); als ungebrauchte Original-Hardware bleibt der WS-C3750E-24PD-E für Ersatz und Bestandserweiterung in Stack-Installationen verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ws-c3750e-24pd-e;8,30;10,80;WS-C3750E-24PD-E;Cisco;standard;Stk;Cisco WS-C3750E-24PD-E Catalyst 3750-E L3 | Hexwaren;Original Cisco WS-C3750E-24PD-E (Catalyst 3750-E): gemanagter, stapelbarer L3-Access-Switch, 24× 10/100/1000 und 2× X2 (10G), 128 Gbit/s, Cisco StackWise Plus, Image IP Services, PoE, klassisches ….;Netzwerk & Infrastruktur;Switches;Cisco Catalyst 3750 Switches;TRUE;Y;Y
WS-C3750E-48TD-S;Cisco WS-C3750E-48TD-S Catalyst 3750-E gemanagter stapelbarer L3-Access-Switch (48× 10/100/1000 und 2× X2 (10G), IP Base, 1 HE);"<p>Der Cisco WS-C3750E-48TD-S ist ein gemanagter, stapelbarer Layer-3-Access-Switch der Catalyst 3750-E-Serie: 48× 10/100/1000 und 2× X2 (10G), 128 Gbit/s, 101,2 Mpps, Cisco StackWise Plus (64 Gbit/s Stack-Ring), Image IP Base, ohne PoE unter klassisches Cisco IOS (nicht IOS-XE).</p><p>Der WS-C3750E-48TD-S ist ein 1-HE-Gerät. Abgekündigt (End-of-Sale 2011/2014); ungebrauchte Original-Hardware.</p>";"<p>Der Cisco WS-C3750E-48TD-S ist ein gemanagter, stapelbarer Layer-3-Access-Switch der Catalyst 3750-E-Serie – ein festes 1-HE-Gerät mit 48× 10/100/1000 und 2× X2 (10G)-Uplinks für den Enterprise- und Campus-Zugang.</p><p>Der WS-C3750E-48TD-S bündelt per Cisco StackWise Plus (64 Gbit/s Stack-Ring) bis zu neun Einheiten zu einem logischen Switch und liefert 128 Gbit/s Switching-Kapazität sowie 101,2 Mpps Durchsatz. Im Software-Image IP Base führt der WS-C3750E-48TD-S hardwarebasiertes IP-Routing (CEF) aus – IP Base (SMI): statisches Routing, RIP und EIGRP-Stub – und arbeitet im reinen Datenbetrieb ohne PoE. Betrieben wird der WS-C3750E-48TD-S unter klassisches Cisco IOS (nicht IOS-XE).</p><p>Im 19-Zoll-Rack (1 HE) arbeitet der WS-C3750E-48TD-S mit aktiv (feldtauschbarer lüfter-einschub) und feldtauschbares ac-netzteil (bis 1150 w) im Bereich 0 bis 45 °C. Der WS-C3750E-48TD-S ist ein abgekündigtes Modell (End-of-Sale 2011/2014); als ungebrauchte Original-Hardware bleibt der WS-C3750E-48TD-S für Ersatz und Bestandserweiterung in Stack-Installationen verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ws-c3750e-48td-s;8,60;11,10;WS-C3750E-48TD-S;Cisco;standard;Stk;Cisco WS-C3750E-48TD-S Catalyst 3750-E L3 IP Base | Hexwaren;Original Cisco WS-C3750E-48TD-S (Catalyst 3750-E): gemanagter, stapelbarer L3-Access-Switch, 48× 10/100/1000 und 2× X2 (10G), 128 Gbit/s, Cisco StackWise Plus, Image IP Base, klassisches Cisco ….;Netzwerk & Infrastruktur;Switches;Cisco Catalyst 3750 Switches;TRUE;Y;Y
WS-C3750E-48TD-E;Cisco WS-C3750E-48TD-E Catalyst 3750-E gemanagter stapelbarer L3-Access-Switch (48× 10/100/1000 und 2× X2 (10G), IP Services, 1 HE);"<p>Der Cisco WS-C3750E-48TD-E ist ein gemanagter, stapelbarer Layer-3-Access-Switch der Catalyst 3750-E-Serie: 48× 10/100/1000 und 2× X2 (10G), 128 Gbit/s, 101,2 Mpps, Cisco StackWise Plus (64 Gbit/s Stack-Ring), Image IP Services, ohne PoE unter klassisches Cisco IOS (nicht IOS-XE).</p><p>Der WS-C3750E-48TD-E ist ein 1-HE-Gerät. Abgekündigt (End-of-Sale 2011/2014); ungebrauchte Original-Hardware.</p>";"<p>Der Cisco WS-C3750E-48TD-E ist ein gemanagter, stapelbarer Layer-3-Access-Switch der Catalyst 3750-E-Serie – ein festes 1-HE-Gerät mit 48× 10/100/1000 und 2× X2 (10G)-Uplinks für den Enterprise- und Campus-Zugang.</p><p>Der WS-C3750E-48TD-E bündelt per Cisco StackWise Plus (64 Gbit/s Stack-Ring) bis zu neun Einheiten zu einem logischen Switch und liefert 128 Gbit/s Switching-Kapazität sowie 101,2 Mpps Durchsatz. Im Software-Image IP Services führt der WS-C3750E-48TD-E hardwarebasiertes IP-Routing (CEF) aus – IP Services (EMI): voll dynamisches Routing (OSPF, EIGRP, BGP, PIM), IPv6 und Policy-Based Routing – und arbeitet im reinen Datenbetrieb ohne PoE. Betrieben wird der WS-C3750E-48TD-E unter klassisches Cisco IOS (nicht IOS-XE).</p><p>Im 19-Zoll-Rack (1 HE) arbeitet der WS-C3750E-48TD-E mit aktiv (feldtauschbarer lüfter-einschub) und feldtauschbares ac-netzteil (bis 1150 w) im Bereich 0 bis 45 °C. Der WS-C3750E-48TD-E ist ein abgekündigtes Modell (End-of-Sale 2011/2014); als ungebrauchte Original-Hardware bleibt der WS-C3750E-48TD-E für Ersatz und Bestandserweiterung in Stack-Installationen verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ws-c3750e-48td-e;8,60;11,10;WS-C3750E-48TD-E;Cisco;standard;Stk;Cisco WS-C3750E-48TD-E Catalyst 3750-E L3 | Hexwaren;Original Cisco WS-C3750E-48TD-E (Catalyst 3750-E): gemanagter, stapelbarer L3-Access-Switch, 48× 10/100/1000 und 2× X2 (10G), 128 Gbit/s, Cisco StackWise Plus, Image IP Services, klassisches Cisco ….;Netzwerk & Infrastruktur;Switches;Cisco Catalyst 3750 Switches;TRUE;Y;Y
WS-C3750E-48PD-S;Cisco WS-C3750E-48PD-S Catalyst 3750-E gemanagter stapelbarer L3-Access-Switch (48× 10/100/1000 und 2× X2 (10G), IP Base, 1 HE);"<p>Der Cisco WS-C3750E-48PD-S ist ein gemanagter, stapelbarer Layer-3-Access-Switch der Catalyst 3750-E-Serie: 48× 10/100/1000 und 2× X2 (10G), 128 Gbit/s, 101,2 Mpps, Cisco StackWise Plus (64 Gbit/s Stack-Ring), Image IP Base, PoE 802.3af unter klassisches Cisco IOS (nicht IOS-XE).</p><p>Der WS-C3750E-48PD-S ist ein 1-HE-Gerät. Abgekündigt (End-of-Sale 2011/2014); ungebrauchte Original-Hardware.</p>";"<p>Der Cisco WS-C3750E-48PD-S ist ein gemanagter, stapelbarer Layer-3-Access-Switch der Catalyst 3750-E-Serie – ein festes 1-HE-Gerät mit 48× 10/100/1000 und 2× X2 (10G)-Uplinks für den Enterprise- und Campus-Zugang.</p><p>Der WS-C3750E-48PD-S bündelt per Cisco StackWise Plus (64 Gbit/s Stack-Ring) bis zu neun Einheiten zu einem logischen Switch und liefert 128 Gbit/s Switching-Kapazität sowie 101,2 Mpps Durchsatz. Im Software-Image IP Base führt der WS-C3750E-48PD-S hardwarebasiertes IP-Routing (CEF) aus – IP Base (SMI): statisches Routing, RIP und EIGRP-Stub – und versorgt seine Zugangsports per PoE nach IEEE 802.3af (plus Cisco prestandard). Betrieben wird der WS-C3750E-48PD-S unter klassisches Cisco IOS (nicht IOS-XE).</p><p>Im 19-Zoll-Rack (1 HE) arbeitet der WS-C3750E-48PD-S mit aktiv (feldtauschbarer lüfter-einschub) und feldtauschbares ac-netzteil (bis 1150 w) im Bereich 0 bis 45 °C. Der WS-C3750E-48PD-S ist ein abgekündigtes Modell (End-of-Sale 2011/2014); als ungebrauchte Original-Hardware bleibt der WS-C3750E-48PD-S für Ersatz und Bestandserweiterung in Stack-Installationen verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ws-c3750e-48pd-s;8,75;11,25;WS-C3750E-48PD-S;Cisco;standard;Stk;Cisco WS-C3750E-48PD-S Catalyst 3750-E L3 IP Base | Hexwaren;Original Cisco WS-C3750E-48PD-S (Catalyst 3750-E): gemanagter, stapelbarer L3-Access-Switch, 48× 10/100/1000 und 2× X2 (10G), 128 Gbit/s, Cisco StackWise Plus, Image IP Base, PoE, klassisches ….;Netzwerk & Infrastruktur;Switches;Cisco Catalyst 3750 Switches;TRUE;Y;Y
WS-C3750E-48PD-E;Cisco WS-C3750E-48PD-E Catalyst 3750-E gemanagter stapelbarer L3-Access-Switch (48× 10/100/1000 und 2× X2 (10G), IP Services, 1 HE);"<p>Der Cisco WS-C3750E-48PD-E ist ein gemanagter, stapelbarer Layer-3-Access-Switch der Catalyst 3750-E-Serie: 48× 10/100/1000 und 2× X2 (10G), 128 Gbit/s, 101,2 Mpps, Cisco StackWise Plus (64 Gbit/s Stack-Ring), Image IP Services, PoE 802.3af unter klassisches Cisco IOS (nicht IOS-XE).</p><p>Der WS-C3750E-48PD-E ist ein 1-HE-Gerät. Abgekündigt (End-of-Sale 2011/2014); ungebrauchte Original-Hardware.</p>";"<p>Der Cisco WS-C3750E-48PD-E ist ein gemanagter, stapelbarer Layer-3-Access-Switch der Catalyst 3750-E-Serie – ein festes 1-HE-Gerät mit 48× 10/100/1000 und 2× X2 (10G)-Uplinks für den Enterprise- und Campus-Zugang.</p><p>Der WS-C3750E-48PD-E bündelt per Cisco StackWise Plus (64 Gbit/s Stack-Ring) bis zu neun Einheiten zu einem logischen Switch und liefert 128 Gbit/s Switching-Kapazität sowie 101,2 Mpps Durchsatz. Im Software-Image IP Services führt der WS-C3750E-48PD-E hardwarebasiertes IP-Routing (CEF) aus – IP Services (EMI): voll dynamisches Routing (OSPF, EIGRP, BGP, PIM), IPv6 und Policy-Based Routing – und versorgt seine Zugangsports per PoE nach IEEE 802.3af (plus Cisco prestandard). Betrieben wird der WS-C3750E-48PD-E unter klassisches Cisco IOS (nicht IOS-XE).</p><p>Im 19-Zoll-Rack (1 HE) arbeitet der WS-C3750E-48PD-E mit aktiv (feldtauschbarer lüfter-einschub) und feldtauschbares ac-netzteil (bis 1150 w) im Bereich 0 bis 45 °C. Der WS-C3750E-48PD-E ist ein abgekündigtes Modell (End-of-Sale 2011/2014); als ungebrauchte Original-Hardware bleibt der WS-C3750E-48PD-E für Ersatz und Bestandserweiterung in Stack-Installationen verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ws-c3750e-48pd-e;8,75;11,25;WS-C3750E-48PD-E;Cisco;standard;Stk;Cisco WS-C3750E-48PD-E Catalyst 3750-E L3 | Hexwaren;Original Cisco WS-C3750E-48PD-E (Catalyst 3750-E): gemanagter, stapelbarer L3-Access-Switch, 48× 10/100/1000 und 2× X2 (10G), 128 Gbit/s, Cisco StackWise Plus, Image IP Services, PoE, klassisches ….;Netzwerk & Infrastruktur;Switches;Cisco Catalyst 3750 Switches;TRUE;Y;Y
WS-C3750E-48PD-SF;Cisco WS-C3750E-48PD-SF Catalyst 3750-E gemanagter stapelbarer L3-Access-Switch (48× 10/100/1000 und 2× X2 (10G), IP Base, 1 HE);"<p>Der Cisco WS-C3750E-48PD-SF ist ein gemanagter, stapelbarer Layer-3-Access-Switch der Catalyst 3750-E-Serie: 48× 10/100/1000 und 2× X2 (10G), 128 Gbit/s, 101,2 Mpps, Cisco StackWise Plus (64 Gbit/s Stack-Ring), Image IP Base, PoE 802.3af unter klassisches Cisco IOS (nicht IOS-XE).</p><p>Der WS-C3750E-48PD-SF ist ein 1-HE-Gerät. Abgekündigt (End-of-Sale 2011/2014); ungebrauchte Original-Hardware.</p>";"<p>Der Cisco WS-C3750E-48PD-SF ist ein gemanagter, stapelbarer Layer-3-Access-Switch der Catalyst 3750-E-Serie – ein festes 1-HE-Gerät mit 48× 10/100/1000 und 2× X2 (10G)-Uplinks für den Enterprise- und Campus-Zugang.</p><p>Der WS-C3750E-48PD-SF bündelt per Cisco StackWise Plus (64 Gbit/s Stack-Ring) bis zu neun Einheiten zu einem logischen Switch und liefert 128 Gbit/s Switching-Kapazität sowie 101,2 Mpps Durchsatz. Im Software-Image IP Base führt der WS-C3750E-48PD-SF hardwarebasiertes IP-Routing (CEF) aus – IP Base (SMI): statisches Routing, RIP und EIGRP-Stub – und versorgt seine Zugangsports per PoE nach IEEE 802.3af (plus Cisco prestandard). Betrieben wird der WS-C3750E-48PD-SF unter klassisches Cisco IOS (nicht IOS-XE).</p><p>Im 19-Zoll-Rack (1 HE) arbeitet der WS-C3750E-48PD-SF mit aktiv (feldtauschbarer lüfter-einschub) und feldtauschbares ac-netzteil (bis 1150 w) im Bereich 0 bis 45 °C. Der WS-C3750E-48PD-SF ist ein abgekündigtes Modell (End-of-Sale 2011/2014); als ungebrauchte Original-Hardware bleibt der WS-C3750E-48PD-SF für Ersatz und Bestandserweiterung in Stack-Installationen verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ws-c3750e-48pd-sf;9,50;12,00;WS-C3750E-48PD-SF;Cisco;standard;Stk;Cisco WS-C3750E-48PD-SF Catalyst 3750-E L3 | Hexwaren;Original Cisco WS-C3750E-48PD-SF (Catalyst 3750-E): gemanagter, stapelbarer L3-Access-Switch, 48× 10/100/1000 und 2× X2 (10G), 128 Gbit/s, Cisco StackWise Plus, Image IP Base, PoE, klassisches ….;Netzwerk & Infrastruktur;Switches;Cisco Catalyst 3750 Switches;TRUE;Y;Y
WS-C3750E-48PD-EF;Cisco WS-C3750E-48PD-EF Catalyst 3750-E gemanagter stapelbarer L3-Access-Switch (48× 10/100/1000 und 2× X2 (10G), IP Services, 1 HE);"<p>Der Cisco WS-C3750E-48PD-EF ist ein gemanagter, stapelbarer Layer-3-Access-Switch der Catalyst 3750-E-Serie: 48× 10/100/1000 und 2× X2 (10G), 128 Gbit/s, 101,2 Mpps, Cisco StackWise Plus (64 Gbit/s Stack-Ring), Image IP Services, PoE 802.3af unter klassisches Cisco IOS (nicht IOS-XE).</p><p>Der WS-C3750E-48PD-EF ist ein 1-HE-Gerät. Abgekündigt (End-of-Sale 2011/2014); ungebrauchte Original-Hardware.</p>";"<p>Der Cisco WS-C3750E-48PD-EF ist ein gemanagter, stapelbarer Layer-3-Access-Switch der Catalyst 3750-E-Serie – ein festes 1-HE-Gerät mit 48× 10/100/1000 und 2× X2 (10G)-Uplinks für den Enterprise- und Campus-Zugang.</p><p>Der WS-C3750E-48PD-EF bündelt per Cisco StackWise Plus (64 Gbit/s Stack-Ring) bis zu neun Einheiten zu einem logischen Switch und liefert 128 Gbit/s Switching-Kapazität sowie 101,2 Mpps Durchsatz. Im Software-Image IP Services führt der WS-C3750E-48PD-EF hardwarebasiertes IP-Routing (CEF) aus – IP Services (EMI): voll dynamisches Routing (OSPF, EIGRP, BGP, PIM), IPv6 und Policy-Based Routing – und versorgt seine Zugangsports per PoE nach IEEE 802.3af (plus Cisco prestandard). Betrieben wird der WS-C3750E-48PD-EF unter klassisches Cisco IOS (nicht IOS-XE).</p><p>Im 19-Zoll-Rack (1 HE) arbeitet der WS-C3750E-48PD-EF mit aktiv (feldtauschbarer lüfter-einschub) und feldtauschbares ac-netzteil (bis 1150 w) im Bereich 0 bis 45 °C. Der WS-C3750E-48PD-EF ist ein abgekündigtes Modell (End-of-Sale 2011/2014); als ungebrauchte Original-Hardware bleibt der WS-C3750E-48PD-EF für Ersatz und Bestandserweiterung in Stack-Installationen verfügbar. Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ws-c3750e-48pd-ef;9,50;12,00;WS-C3750E-48PD-EF;Cisco;standard;Stk;Cisco WS-C3750E-48PD-EF Catalyst 3750-E L3 | Hexwaren;Original Cisco WS-C3750E-48PD-EF (Catalyst 3750-E): gemanagter, stapelbarer L3-Access-Switch, 48× 10/100/1000 und 2× X2 (10G), 128 Gbit/s, Cisco StackWise Plus, Image IP Services, PoE, klassisches ….;Netzwerk & Infrastruktur;Switches;Cisco Catalyst 3750 Switches;TRUE;Y;Y
