Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
WS-C3750E-24TD-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3750E-24TD-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3750E-24PD-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3750E-24PD-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3750E-48TD-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3750E-48TD-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3750E-48PD-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3750E-48PD-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3750E-48PD-SF,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3750E-48PD-EF,,condition,Funktionsattribut,Wertliste,Deutsch,new
