Artikelnummer,Netto-VK,Anker-Quelle,Methode,Anker-PN
WS-C3750E-24TD-S,"400,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-3750-StackWise-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3750E-24TD-E,"560,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-3750-StackWise-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3750E-24PD-S,"550,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-3750-StackWise-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3750E-24PD-E,"750,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-3750-StackWise-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3750E-48TD-S,"650,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-3750-StackWise-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3750E-48TD-E,"900,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-3750-StackWise-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3750E-48PD-S,"850,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-3750-StackWise-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3750E-48PD-E,"1150,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-3750-StackWise-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3750E-48PD-SF,"900,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-3750-StackWise-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3750E-48PD-EF,"1200,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-3750-StackWise-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
