Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
WS-C3750G-24TS-S1U,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3750G-24TS-E1U,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3750G-24T-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3750G-24T-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3750G-24PS-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3750G-24PS-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3750G-48TS-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3750G-48TS-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3750G-48PS-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3750G-48PS-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3750G-12S-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3750G-12S-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
