Artikelnummer,Netto-VK,Anker-Quelle,Methode,Anker-PN
WS-C3750G-24TS-S1U,"200,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-3750-StackWise-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3750G-24TS-E1U,"290,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-3750-StackWise-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3750G-24T-S,"180,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-3750-StackWise-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3750G-24T-E,"260,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-3750-StackWise-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3750G-24PS-S,"320,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-3750-StackWise-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3750G-24PS-E,"450,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-3750-StackWise-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3750G-48TS-S,"350,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-3750-StackWise-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3750G-48TS-E,"490,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-3750-StackWise-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3750G-48PS-S,"500,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-3750-StackWise-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3750G-48PS-E,"700,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-3750-StackWise-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3750G-12S-S,"250,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-3750-StackWise-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
WS-C3750G-12S-E,"360,00","PROVISORISCH (Phase-1-Platzhalter, NICHT verankert): EoL-Catalyst-3750-StackWise-Switch, neuwertige €-Klasse; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware. NICHT als Verkaufspreis verwenden.",provisorisch-Phase-1,(unanchored)
