Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
WS-C3750X-24T-L,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
WS-C3750X-24T-L,,Switch,Layer,L2,2,Wertliste,Attribut
WS-C3750X-24T-L,,Switch,Portanzahl,24,3,Wertliste,Attribut
WS-C3750X-24T-L,,Switch,Port-Konfiguration,"24× 1G-RJ45 + modularer Uplink-Slot (C3KX-NM, optional)",4,Wertliste,Attribut
WS-C3750X-24T-L,,Switch,Port-Geschwindigkeit,1G,5,Wertliste,Attribut
WS-C3750X-24T-L,,Switch,PoE,Nein,7,Wertliste,Attribut
WS-C3750X-24T-L,,Switch,Switching-Kapazität,160 Gbit/s,8,Wertliste,Attribut
WS-C3750X-24T-L,,Switch,Durchsatz,"65,5 Mpps",9,Wertliste,Attribut
WS-C3750X-24T-L,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
WS-C3750X-24T-L,,Switch,Stromversorgung,"Internes AC-Netzteil (350 W, modular, hot-swap; 2. Netzteil optional); Cisco StackPower (Strom-Sharing im Stack) und XPS 2200",11,Wertliste,Attribut
WS-C3750X-24T-L,,Switch,Kühlung,"Aktiv (modulare, hot-swap Lüfter)",12,Wertliste,Attribut
WS-C3750X-24T-L,,Switch,Stacking,"Ja – Cisco StackWise Plus (bis 9 Einheiten, 64 Gbit/s Stack-Ring)",13,Wertliste,Attribut
WS-C3750X-24T-L,,Switch,Betriebstemperatur,-5 bis 45 °C,14,Wertliste,Attribut
WS-C3750X-24T-L,,Switch,Anwendung,"Stapelbarer Enterprise-/Campus-Zugang (Gigabit, Layer-2, LAN Base); reine Datenports ohne PoE; Cisco StackWise Plus (bis 9 Einheiten) und StackPower; MACsec-Hardware-Verschlüsselung; verwaltet über Cisco IOS (CLI)",15,Wertliste,Attribut
WS-C3750X-24T-S,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
WS-C3750X-24T-S,,Switch,Layer,L3,2,Wertliste,Attribut
WS-C3750X-24T-S,,Switch,Portanzahl,24,3,Wertliste,Attribut
WS-C3750X-24T-S,,Switch,Port-Konfiguration,"24× 1G-RJ45 + modularer Uplink-Slot (C3KX-NM, optional)",4,Wertliste,Attribut
WS-C3750X-24T-S,,Switch,Port-Geschwindigkeit,1G,5,Wertliste,Attribut
WS-C3750X-24T-S,,Switch,PoE,Nein,7,Wertliste,Attribut
WS-C3750X-24T-S,,Switch,Switching-Kapazität,160 Gbit/s,8,Wertliste,Attribut
WS-C3750X-24T-S,,Switch,Durchsatz,"65,5 Mpps",9,Wertliste,Attribut
WS-C3750X-24T-S,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
WS-C3750X-24T-S,,Switch,Stromversorgung,"Internes AC-Netzteil (350 W, modular, hot-swap; 2. Netzteil optional); Cisco StackPower (Strom-Sharing im Stack) und XPS 2200",11,Wertliste,Attribut
WS-C3750X-24T-S,,Switch,Kühlung,"Aktiv (modulare, hot-swap Lüfter)",12,Wertliste,Attribut
WS-C3750X-24T-S,,Switch,Stacking,"Ja – Cisco StackWise Plus (bis 9 Einheiten, 64 Gbit/s Stack-Ring)",13,Wertliste,Attribut
WS-C3750X-24T-S,,Switch,Betriebstemperatur,-5 bis 45 °C,14,Wertliste,Attribut
WS-C3750X-24T-S,,Switch,Anwendung,"Stapelbarer Enterprise-/Campus-Zugang (Gigabit, Layer-3, IP Base); reine Datenports ohne PoE; Cisco StackWise Plus (bis 9 Einheiten) und StackPower; MACsec-Hardware-Verschlüsselung; verwaltet über Cisco IOS (CLI)",15,Wertliste,Attribut
WS-C3750X-24T-E,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
WS-C3750X-24T-E,,Switch,Layer,L3,2,Wertliste,Attribut
WS-C3750X-24T-E,,Switch,Portanzahl,24,3,Wertliste,Attribut
WS-C3750X-24T-E,,Switch,Port-Konfiguration,"24× 1G-RJ45 + modularer Uplink-Slot (C3KX-NM, optional)",4,Wertliste,Attribut
WS-C3750X-24T-E,,Switch,Port-Geschwindigkeit,1G,5,Wertliste,Attribut
WS-C3750X-24T-E,,Switch,PoE,Nein,7,Wertliste,Attribut
WS-C3750X-24T-E,,Switch,Switching-Kapazität,160 Gbit/s,8,Wertliste,Attribut
WS-C3750X-24T-E,,Switch,Durchsatz,"65,5 Mpps",9,Wertliste,Attribut
WS-C3750X-24T-E,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
WS-C3750X-24T-E,,Switch,Stromversorgung,"Internes AC-Netzteil (350 W, modular, hot-swap; 2. Netzteil optional); Cisco StackPower (Strom-Sharing im Stack) und XPS 2200",11,Wertliste,Attribut
WS-C3750X-24T-E,,Switch,Kühlung,"Aktiv (modulare, hot-swap Lüfter)",12,Wertliste,Attribut
WS-C3750X-24T-E,,Switch,Stacking,"Ja – Cisco StackWise Plus (bis 9 Einheiten, 64 Gbit/s Stack-Ring)",13,Wertliste,Attribut
WS-C3750X-24T-E,,Switch,Betriebstemperatur,-5 bis 45 °C,14,Wertliste,Attribut
WS-C3750X-24T-E,,Switch,Anwendung,"Stapelbarer Enterprise-/Campus-Zugang (Gigabit, Layer-3, IP Services); reine Datenports ohne PoE; Cisco StackWise Plus (bis 9 Einheiten) und StackPower; MACsec-Hardware-Verschlüsselung; verwaltet über Cisco IOS (CLI)",15,Wertliste,Attribut
WS-C3750X-48T-L,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
WS-C3750X-48T-L,,Switch,Layer,L2,2,Wertliste,Attribut
WS-C3750X-48T-L,,Switch,Portanzahl,48,3,Wertliste,Attribut
WS-C3750X-48T-L,,Switch,Port-Konfiguration,"48× 1G-RJ45 + modularer Uplink-Slot (C3KX-NM, optional)",4,Wertliste,Attribut
WS-C3750X-48T-L,,Switch,Port-Geschwindigkeit,1G,5,Wertliste,Attribut
WS-C3750X-48T-L,,Switch,PoE,Nein,7,Wertliste,Attribut
WS-C3750X-48T-L,,Switch,Switching-Kapazität,160 Gbit/s,8,Wertliste,Attribut
WS-C3750X-48T-L,,Switch,Durchsatz,"101,2 Mpps",9,Wertliste,Attribut
WS-C3750X-48T-L,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
WS-C3750X-48T-L,,Switch,Stromversorgung,"Internes AC-Netzteil (350 W, modular, hot-swap; 2. Netzteil optional); Cisco StackPower (Strom-Sharing im Stack) und XPS 2200",11,Wertliste,Attribut
WS-C3750X-48T-L,,Switch,Kühlung,"Aktiv (modulare, hot-swap Lüfter)",12,Wertliste,Attribut
WS-C3750X-48T-L,,Switch,Stacking,"Ja – Cisco StackWise Plus (bis 9 Einheiten, 64 Gbit/s Stack-Ring)",13,Wertliste,Attribut
WS-C3750X-48T-L,,Switch,Betriebstemperatur,-5 bis 45 °C,14,Wertliste,Attribut
WS-C3750X-48T-L,,Switch,Anwendung,"Stapelbarer Enterprise-/Campus-Zugang (Gigabit, Layer-2, LAN Base); reine Datenports ohne PoE; Cisco StackWise Plus (bis 9 Einheiten) und StackPower; MACsec-Hardware-Verschlüsselung; verwaltet über Cisco IOS (CLI)",15,Wertliste,Attribut
WS-C3750X-48T-S,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
WS-C3750X-48T-S,,Switch,Layer,L3,2,Wertliste,Attribut
WS-C3750X-48T-S,,Switch,Portanzahl,48,3,Wertliste,Attribut
WS-C3750X-48T-S,,Switch,Port-Konfiguration,"48× 1G-RJ45 + modularer Uplink-Slot (C3KX-NM, optional)",4,Wertliste,Attribut
WS-C3750X-48T-S,,Switch,Port-Geschwindigkeit,1G,5,Wertliste,Attribut
WS-C3750X-48T-S,,Switch,PoE,Nein,7,Wertliste,Attribut
WS-C3750X-48T-S,,Switch,Switching-Kapazität,160 Gbit/s,8,Wertliste,Attribut
WS-C3750X-48T-S,,Switch,Durchsatz,"101,2 Mpps",9,Wertliste,Attribut
WS-C3750X-48T-S,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
WS-C3750X-48T-S,,Switch,Stromversorgung,"Internes AC-Netzteil (350 W, modular, hot-swap; 2. Netzteil optional); Cisco StackPower (Strom-Sharing im Stack) und XPS 2200",11,Wertliste,Attribut
WS-C3750X-48T-S,,Switch,Kühlung,"Aktiv (modulare, hot-swap Lüfter)",12,Wertliste,Attribut
WS-C3750X-48T-S,,Switch,Stacking,"Ja – Cisco StackWise Plus (bis 9 Einheiten, 64 Gbit/s Stack-Ring)",13,Wertliste,Attribut
WS-C3750X-48T-S,,Switch,Betriebstemperatur,-5 bis 45 °C,14,Wertliste,Attribut
WS-C3750X-48T-S,,Switch,Anwendung,"Stapelbarer Enterprise-/Campus-Zugang (Gigabit, Layer-3, IP Base); reine Datenports ohne PoE; Cisco StackWise Plus (bis 9 Einheiten) und StackPower; MACsec-Hardware-Verschlüsselung; verwaltet über Cisco IOS (CLI)",15,Wertliste,Attribut
WS-C3750X-48T-E,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
WS-C3750X-48T-E,,Switch,Layer,L3,2,Wertliste,Attribut
WS-C3750X-48T-E,,Switch,Portanzahl,48,3,Wertliste,Attribut
WS-C3750X-48T-E,,Switch,Port-Konfiguration,"48× 1G-RJ45 + modularer Uplink-Slot (C3KX-NM, optional)",4,Wertliste,Attribut
WS-C3750X-48T-E,,Switch,Port-Geschwindigkeit,1G,5,Wertliste,Attribut
WS-C3750X-48T-E,,Switch,PoE,Nein,7,Wertliste,Attribut
WS-C3750X-48T-E,,Switch,Switching-Kapazität,160 Gbit/s,8,Wertliste,Attribut
WS-C3750X-48T-E,,Switch,Durchsatz,"101,2 Mpps",9,Wertliste,Attribut
WS-C3750X-48T-E,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
WS-C3750X-48T-E,,Switch,Stromversorgung,"Internes AC-Netzteil (350 W, modular, hot-swap; 2. Netzteil optional); Cisco StackPower (Strom-Sharing im Stack) und XPS 2200",11,Wertliste,Attribut
WS-C3750X-48T-E,,Switch,Kühlung,"Aktiv (modulare, hot-swap Lüfter)",12,Wertliste,Attribut
WS-C3750X-48T-E,,Switch,Stacking,"Ja – Cisco StackWise Plus (bis 9 Einheiten, 64 Gbit/s Stack-Ring)",13,Wertliste,Attribut
WS-C3750X-48T-E,,Switch,Betriebstemperatur,-5 bis 45 °C,14,Wertliste,Attribut
