Artikelnummer;Netto-VK
WS-C3750X-24T-L;380,00
WS-C3750X-24T-S;490,00
WS-C3750X-24T-E;650,00
WS-C3750X-48T-L;560,00
WS-C3750X-48T-S;730,00
WS-C3750X-48T-E;950,00
WS-C3750X-24P-L;650,00
WS-C3750X-24P-S;840,00
WS-C3750X-24P-E;1100,00
WS-C3750X-48P-L;920,00
WS-C3750X-48P-S;1200,00
WS-C3750X-48P-E;1560,00
WS-C3750X-48PF-L;1130,00
WS-C3750X-48PF-S;1470,00
WS-C3750X-48PF-E;1920,00
WS-C3750X-24U-L;890,00
WS-C3750X-24U-S;1160,00
WS-C3750X-24U-E;1510,00
WS-C3750X-48U-L;1650,00
WS-C3750X-48U-S;2140,00
WS-C3750X-48U-E;2800,00
WS-C3750X-12S-S;650,00
WS-C3750X-12S-E;850,00
WS-C3750X-24S-S;810,00
WS-C3750X-24S-E;1050,00
