Artikelnummer,Netto-VK,Anker-Quelle,Methode,Anker-PN
WS-C3750X-24T-L,"380,00","Genuine-New-Sealed ONLY (Catalyst 3750-X stapelbar, EoS ~2010-2020): refurb-gesättigt, refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€380 (24T-L) -> ~€2.800 (48U-E); moderater Stacking-Aufpreis über dem 3560-X. Monoton Ports(12S<24<48)×PoE-Tier(Daten/SFP<PoE+435<PoE+800<UPOE)×Lizenz(LAN Base<IP Base<IP Services); -S=Basis x1,3, -E=Basis x1,7. 12S-S niedrig, aber über dem Kupfer-Daten-Floor (SFP-Aufpreis). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,24T LAN Base
WS-C3750X-24T-S,"490,00","Genuine-New-Sealed ONLY (Catalyst 3750-X stapelbar, EoS ~2010-2020): refurb-gesättigt, refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€380 (24T-L) -> ~€2.800 (48U-E); moderater Stacking-Aufpreis über dem 3560-X. Monoton Ports(12S<24<48)×PoE-Tier(Daten/SFP<PoE+435<PoE+800<UPOE)×Lizenz(LAN Base<IP Base<IP Services); -S=Basis x1,3, -E=Basis x1,7. 12S-S niedrig, aber über dem Kupfer-Daten-Floor (SFP-Aufpreis). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,24T IP Base
WS-C3750X-24T-E,"650,00","Genuine-New-Sealed ONLY (Catalyst 3750-X stapelbar, EoS ~2010-2020): refurb-gesättigt, refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€380 (24T-L) -> ~€2.800 (48U-E); moderater Stacking-Aufpreis über dem 3560-X. Monoton Ports(12S<24<48)×PoE-Tier(Daten/SFP<PoE+435<PoE+800<UPOE)×Lizenz(LAN Base<IP Base<IP Services); -S=Basis x1,3, -E=Basis x1,7. 12S-S niedrig, aber über dem Kupfer-Daten-Floor (SFP-Aufpreis). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,24T IP Services
WS-C3750X-48T-L,"560,00","Genuine-New-Sealed ONLY (Catalyst 3750-X stapelbar, EoS ~2010-2020): refurb-gesättigt, refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€380 (24T-L) -> ~€2.800 (48U-E); moderater Stacking-Aufpreis über dem 3560-X. Monoton Ports(12S<24<48)×PoE-Tier(Daten/SFP<PoE+435<PoE+800<UPOE)×Lizenz(LAN Base<IP Base<IP Services); -S=Basis x1,3, -E=Basis x1,7. 12S-S niedrig, aber über dem Kupfer-Daten-Floor (SFP-Aufpreis). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,48T LAN Base
WS-C3750X-48T-S,"730,00","Genuine-New-Sealed ONLY (Catalyst 3750-X stapelbar, EoS ~2010-2020): refurb-gesättigt, refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€380 (24T-L) -> ~€2.800 (48U-E); moderater Stacking-Aufpreis über dem 3560-X. Monoton Ports(12S<24<48)×PoE-Tier(Daten/SFP<PoE+435<PoE+800<UPOE)×Lizenz(LAN Base<IP Base<IP Services); -S=Basis x1,3, -E=Basis x1,7. 12S-S niedrig, aber über dem Kupfer-Daten-Floor (SFP-Aufpreis). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,48T IP Base
WS-C3750X-48T-E,"950,00","Genuine-New-Sealed ONLY (Catalyst 3750-X stapelbar, EoS ~2010-2020): refurb-gesättigt, refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€380 (24T-L) -> ~€2.800 (48U-E); moderater Stacking-Aufpreis über dem 3560-X. Monoton Ports(12S<24<48)×PoE-Tier(Daten/SFP<PoE+435<PoE+800<UPOE)×Lizenz(LAN Base<IP Base<IP Services); -S=Basis x1,3, -E=Basis x1,7. 12S-S niedrig, aber über dem Kupfer-Daten-Floor (SFP-Aufpreis). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,48T IP Services
WS-C3750X-24P-L,"650,00","Genuine-New-Sealed ONLY (Catalyst 3750-X stapelbar, EoS ~2010-2020): refurb-gesättigt, refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€380 (24T-L) -> ~€2.800 (48U-E); moderater Stacking-Aufpreis über dem 3560-X. Monoton Ports(12S<24<48)×PoE-Tier(Daten/SFP<PoE+435<PoE+800<UPOE)×Lizenz(LAN Base<IP Base<IP Services); -S=Basis x1,3, -E=Basis x1,7. 12S-S niedrig, aber über dem Kupfer-Daten-Floor (SFP-Aufpreis). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,24P LAN Base
WS-C3750X-24P-S,"840,00","Genuine-New-Sealed ONLY (Catalyst 3750-X stapelbar, EoS ~2010-2020): refurb-gesättigt, refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€380 (24T-L) -> ~€2.800 (48U-E); moderater Stacking-Aufpreis über dem 3560-X. Monoton Ports(12S<24<48)×PoE-Tier(Daten/SFP<PoE+435<PoE+800<UPOE)×Lizenz(LAN Base<IP Base<IP Services); -S=Basis x1,3, -E=Basis x1,7. 12S-S niedrig, aber über dem Kupfer-Daten-Floor (SFP-Aufpreis). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,24P IP Base
WS-C3750X-24P-E,"1100,00","Genuine-New-Sealed ONLY (Catalyst 3750-X stapelbar, EoS ~2010-2020): refurb-gesättigt, refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€380 (24T-L) -> ~€2.800 (48U-E); moderater Stacking-Aufpreis über dem 3560-X. Monoton Ports(12S<24<48)×PoE-Tier(Daten/SFP<PoE+435<PoE+800<UPOE)×Lizenz(LAN Base<IP Base<IP Services); -S=Basis x1,3, -E=Basis x1,7. 12S-S niedrig, aber über dem Kupfer-Daten-Floor (SFP-Aufpreis). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,24P IP Services
WS-C3750X-48P-L,"920,00","Genuine-New-Sealed ONLY (Catalyst 3750-X stapelbar, EoS ~2010-2020): refurb-gesättigt, refurb/used/pulled/remanufactured/generic HART ABGELEHNT. Kein sauberer EUR-Anker -> geschätzt aus Operator-Band ~€380 (24T-L) -> ~€2.800 (48U-E); moderater Stacking-Aufpreis über dem 3560-X. Monoton Ports(12S<24<48)×PoE-Tier(Daten/SFP<PoE+435<PoE+800<UPOE)×Lizenz(LAN Base<IP Base<IP Services); -S=Basis x1,3, -E=Basis x1,7. 12S-S niedrig, aber über dem Kupfer-Daten-Floor (SFP-Aufpreis). Vor Listung Sourcing bestätigen.",geschätzt-aus-Vergleich,48P LAN Base
