Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
WS-C4948E-S,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
WS-C4948E-S,,Switch,Layer,L3,2,Wertliste,Attribut
WS-C4948E-S,,Switch,Portanzahl,52,3,Wertliste,Attribut
WS-C4948E-S,,Switch,Port-Konfiguration,"48× 1G-RJ45 + 4× SFP+ (1/10G, Uplink)",4,Wertliste,Attribut
WS-C4948E-S,,Switch,Port-Geschwindigkeit,100M/1G/10G,5,Wertliste,Attribut
WS-C4948E-S,,Switch,Uplink-Ports,4× SFP+ (1/10G),6,Wertliste,Attribut
WS-C4948E-S,,Switch,PoE,Nein,7,Wertliste,Attribut
WS-C4948E-S,,Switch,Switching-Kapazität,176 Gbit/s,8,Wertliste,Attribut
WS-C4948E-S,,Switch,Durchsatz,131 Mpps,9,Wertliste,Attribut
WS-C4948E-S,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
WS-C4948E-S,,Switch,Stromversorgung,2× redundant (1+1) Hot-Swap-Netzteil (AC/DC mischbar),11,Wertliste,Attribut
WS-C4948E-S,,Switch,Kühlung,"Hot-Swap-Lüftermodul (Fan Tray, Front-to-Back)",12,Wertliste,Attribut
WS-C4948E-S,,Switch,Stacking,Nein,13,Wertliste,Attribut
WS-C4948E-S,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
WS-C4948E-S,,Switch,Anwendung,"Data-Center Top-of-Rack / Server-Access (Layer 3, IP-Base) – 48× Gigabit-RJ45 + 4× 1/10G-SFP+-Uplinks; 176 Gbit/s Wire-Speed, Dual-Stack IPv4/IPv6, Hardware-ACLs; redundante Hot-Swap-Netzteile (1+1, AC/DC mischbar), Hot-Swap-Lüftermodul (Front-to-Back); 1 HE Rack; Cisco IOS (nicht IOS-XE); kein PoE",15,Wertliste,Attribut
WS-C4948E-E,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
WS-C4948E-E,,Switch,Layer,L3,2,Wertliste,Attribut
WS-C4948E-E,,Switch,Portanzahl,52,3,Wertliste,Attribut
WS-C4948E-E,,Switch,Port-Konfiguration,"48× 1G-RJ45 + 4× SFP+ (1/10G, Uplink)",4,Wertliste,Attribut
WS-C4948E-E,,Switch,Port-Geschwindigkeit,100M/1G/10G,5,Wertliste,Attribut
WS-C4948E-E,,Switch,Uplink-Ports,4× SFP+ (1/10G),6,Wertliste,Attribut
WS-C4948E-E,,Switch,PoE,Nein,7,Wertliste,Attribut
WS-C4948E-E,,Switch,Switching-Kapazität,176 Gbit/s,8,Wertliste,Attribut
WS-C4948E-E,,Switch,Durchsatz,131 Mpps,9,Wertliste,Attribut
WS-C4948E-E,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
WS-C4948E-E,,Switch,Stromversorgung,2× redundant (1+1) Hot-Swap-Netzteil (AC/DC mischbar),11,Wertliste,Attribut
WS-C4948E-E,,Switch,Kühlung,"Hot-Swap-Lüftermodul (Fan Tray, Front-to-Back)",12,Wertliste,Attribut
WS-C4948E-E,,Switch,Stacking,Nein,13,Wertliste,Attribut
WS-C4948E-E,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
WS-C4948E-E,,Switch,Anwendung,"Data-Center Top-of-Rack / Server-Access (Layer 3, Enterprise-Services) – 48× Gigabit-RJ45 + 4× 1/10G-SFP+-Uplinks; 176 Gbit/s Wire-Speed, Dual-Stack IPv4/IPv6, Hardware-ACLs; redundante Hot-Swap-Netzteile (1+1, AC/DC mischbar), Hot-Swap-Lüftermodul (Front-to-Back); 1 HE Rack; Cisco IOS (nicht IOS-XE); kein PoE",15,Wertliste,Attribut
WS-C4948E-F-S,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
WS-C4948E-F-S,,Switch,Layer,L3,2,Wertliste,Attribut
WS-C4948E-F-S,,Switch,Portanzahl,52,3,Wertliste,Attribut
WS-C4948E-F-S,,Switch,Port-Konfiguration,"48× 1G-RJ45 + 4× SFP+ (1/10G, Uplink)",4,Wertliste,Attribut
WS-C4948E-F-S,,Switch,Port-Geschwindigkeit,100M/1G/10G,5,Wertliste,Attribut
WS-C4948E-F-S,,Switch,Uplink-Ports,4× SFP+ (1/10G),6,Wertliste,Attribut
WS-C4948E-F-S,,Switch,PoE,Nein,7,Wertliste,Attribut
WS-C4948E-F-S,,Switch,Switching-Kapazität,176 Gbit/s,8,Wertliste,Attribut
WS-C4948E-F-S,,Switch,Durchsatz,131 Mpps,9,Wertliste,Attribut
WS-C4948E-F-S,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
WS-C4948E-F-S,,Switch,Stromversorgung,2× redundant (1+1) Hot-Swap-Netzteil (AC/DC mischbar),11,Wertliste,Attribut
WS-C4948E-F-S,,Switch,Kühlung,"Hot-Swap-Lüftermodul (Fan Tray, Back-to-Front)",12,Wertliste,Attribut
WS-C4948E-F-S,,Switch,Stacking,Nein,13,Wertliste,Attribut
WS-C4948E-F-S,,Switch,Betriebstemperatur,0 bis 40 °C,14,Wertliste,Attribut
WS-C4948E-F-S,,Switch,Anwendung,"Data-Center Top-of-Rack / Server-Access (Layer 3, IP-Base) – 48× Gigabit-RJ45 + 4× 1/10G-SFP+-Uplinks; 176 Gbit/s Wire-Speed, Dual-Stack IPv4/IPv6, Hardware-ACLs; redundante Hot-Swap-Netzteile (1+1, AC/DC mischbar), Hot-Swap-Lüftermodul (Back-to-Front); 1 HE Rack; Cisco IOS (nicht IOS-XE); kein PoE",15,Wertliste,Attribut
WS-C4948E-F-E,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
WS-C4948E-F-E,,Switch,Layer,L3,2,Wertliste,Attribut
WS-C4948E-F-E,,Switch,Portanzahl,52,3,Wertliste,Attribut
WS-C4948E-F-E,,Switch,Port-Konfiguration,"48× 1G-RJ45 + 4× SFP+ (1/10G, Uplink)",4,Wertliste,Attribut
WS-C4948E-F-E,,Switch,Port-Geschwindigkeit,100M/1G/10G,5,Wertliste,Attribut
WS-C4948E-F-E,,Switch,Uplink-Ports,4× SFP+ (1/10G),6,Wertliste,Attribut
WS-C4948E-F-E,,Switch,PoE,Nein,7,Wertliste,Attribut
WS-C4948E-F-E,,Switch,Switching-Kapazität,176 Gbit/s,8,Wertliste,Attribut
WS-C4948E-F-E,,Switch,Durchsatz,131 Mpps,9,Wertliste,Attribut
WS-C4948E-F-E,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
