Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
WS-C6503-E,Switch-Typ,Modular-Chassis,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/product_data_sheet0900aecd80673385.html,datasheet,2026-06-28T10:30:40Z
WS-C6503-E,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/product_data_sheet0900aecd80673385.html,datasheet,2026-06-28T10:30:40Z
WS-C6503-E,Switching-Kapazität,80 Gbit/s pro Steckplatz (mit Supervisor Sup2T),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/product_data_sheet0900aecd80673385.html,datasheet,2026-06-28T10:30:40Z
WS-C6503-E,Bauform,19-Zoll-Rackmontage (4 HE),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/product_data_sheet0900aecd80673385.html,datasheet,2026-06-28T10:30:40Z
WS-C6503-E,Stromversorgung,"Zwei Netzteilschächte (1+1-Redundanz, AC oder DC)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/product_data_sheet0900aecd80673385.html,datasheet,2026-06-28T10:30:40Z
WS-C6503-E,Kühlung,"Lüftereinschub (Fan Tray, Hot-Swap)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/product_data_sheet0900aecd80673385.html,datasheet,2026-06-28T10:30:40Z
WS-C6503-E,Anwendung,"Campus-/Data-Center-Aggregation und -Core – modulares Catalyst-6500-E-Chassis (3 Steckplätze); 80 Gbit/s pro Steckplatz; Supervisor-Engines Sup32/Sup720/Sup2T + Catalyst-6500-E-Linecards (separat); Layer 2/3, Routing und Services über die Module; Redundanz: Supervisor 1+1, Netzteil 1+1, Lüfter; zwei Netzteilschächte (1+1, AC/DC), Hot-Swap-Lüfter; 19-Zoll-Rack (4 HE); Betrieb 0 bis 40 °C; klassisches Cisco IOS (je Supervisor Sup32/720/2T, kein IOS XE); EoL",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/product_data_sheet0900aecd80673385.html,datasheet,2026-06-28T10:30:40Z
WS-C6503-E,Steckplätze,3,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/product_data_sheet0900aecd80673385.html,datasheet,2026-06-28T10:30:40Z
WS-C6503-E,Unterstützte Supervisor-Engines,"Cisco Catalyst Supervisor Sup32, Sup720 und Sup2T",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/product_data_sheet0900aecd80673385.html,datasheet,2026-06-28T10:30:40Z
WS-C6503-E,Redundanz,"Supervisor (1+1), Netzteil (1+1) und Lüftereinschub",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/product_data_sheet0900aecd80673385.html,datasheet,2026-06-28T10:30:40Z
