Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
C6807-XL,,Switch,Switch-Typ,Modular-Chassis,1,Wertliste,Attribut
C6807-XL,,Switch,Layer,L3,2,Wertliste,Attribut
C6807-XL,,Switch,Switching-Kapazität,440 Gbit/s pro Steckplatz,8,Wertliste,Attribut
C6807-XL,,Switch,Bauform,19-Zoll-Rackmontage (10 HE),10,Wertliste,Attribut
C6807-XL,,Switch,Stromversorgung,bis 4 Netzteile (3000 W AC; 110/220 V),11,Wertliste,Attribut
C6807-XL,,Switch,Kühlung,"Side-to-Side; hot-swap-Lüftereinschub (variable Drehzahl, N+1)",12,Wertliste,Attribut
C6807-XL,,Switch,Anwendung,Campus-Netzwerk,15,Wertliste,Attribut
C6807-XL,,Switch,Steckplätze,7 (2 Supervisor + 5 Linecard-Module),16,Wertliste,Attribut
C6807-XL,,Switch,Unterstützte Supervisor-Engines,"Supervisor Engine 2T / 6T (VS-S2T-10G, VS-S2T-10G-XL, C6800-SUP6T, C6800-SUP6T-XL)",17,Wertliste,Attribut
C6807-XL,,Switch,Redundanz,"Supervisor 1+1, Lüfter N+1, Netzteil N+1",18,Wertliste,Attribut
