Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
C9350-24T,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
C9350-24T,,Switch,Layer,L3,2,Wertliste,Attribut
C9350-24T,,Switch,Portanzahl,24,3,Wertliste,Attribut
C9350-24T,,Switch,Port-Konfiguration,24× Gigabit-RJ45 (Data),4,Wertliste,Attribut
C9350-24T,,Switch,Port-Geschwindigkeit,1 GbE,5,Wertliste,Attribut
C9350-24T,,Switch,Uplink-Ports,Modulare Uplinks (C9350-NM-Modul: 2C=2×100G / 4C=4×100G / 8Y=8×25G / 8L=8×50G Fiber / 8M=8×mGig; Basis-Switch ohne Modul),6,Wertliste,Attribut
C9350-24T,,Switch,PoE,Nein,7,Wertliste,Attribut
C9350-24T,,Switch,Switching-Kapazität,448 Gbit/s,8,Wertliste,Attribut
C9350-24T,,Switch,Durchsatz,"333,31 Mpps",9,Wertliste,Attribut
C9350-24T,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
C9350-24T,,Switch,Stromversorgung,"Bis zu 3× Hot-Swap-Netzteil (FRU, N+1-redundant), 80 PLUS Platinum/Titanium, 500/850/1600 W AC",11,Wertliste,Attribut
C9350-24T,,Switch,Kühlung,"3 feldaustauschbare Lüfter (FRU, N+1-redundant, front-to-back)",12,Wertliste,Attribut
C9350-24T,,Switch,Stacking,"StackWise-1.6T (1,6 Tbit/s, bis 8 Einheiten)",13,Wertliste,Attribut
C9350-24T,,Switch,Betriebstemperatur,-5 bis 45 °C,14,Wertliste,Attribut
C9350-24T,,Switch,Anwendung,"High-Density Enterprise-Campus-Access, Wi-Fi-6E/7-AP-Anbindung mit bis zu 90 W UPOE+ und Cisco-SD-Access-Fabric",15,Wertliste,Attribut
C9350-48T,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
C9350-48T,,Switch,Layer,L3,2,Wertliste,Attribut
C9350-48T,,Switch,Portanzahl,48,3,Wertliste,Attribut
C9350-48T,,Switch,Port-Konfiguration,48× Gigabit-RJ45 (Data),4,Wertliste,Attribut
C9350-48T,,Switch,Port-Geschwindigkeit,1 GbE,5,Wertliste,Attribut
C9350-48T,,Switch,Uplink-Ports,Modulare Uplinks (C9350-NM-Modul: 2C=2×100G / 4C=4×100G / 8Y=8×25G / 8L=8×50G Fiber / 8M=8×mGig; Basis-Switch ohne Modul),6,Wertliste,Attribut
C9350-48T,,Switch,PoE,Nein,7,Wertliste,Attribut
C9350-48T,,Switch,Switching-Kapazität,496 Gbit/s,8,Wertliste,Attribut
C9350-48T,,Switch,Durchsatz,"369,02 Mpps",9,Wertliste,Attribut
C9350-48T,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
C9350-48T,,Switch,Stromversorgung,"Bis zu 3× Hot-Swap-Netzteil (FRU, N+1-redundant), 80 PLUS Platinum/Titanium, 500/850/1600 W AC",11,Wertliste,Attribut
C9350-48T,,Switch,Kühlung,"3 feldaustauschbare Lüfter (FRU, N+1-redundant, front-to-back)",12,Wertliste,Attribut
