Artikelnummer,Netto-VK,Anker-Quelle,Methode,Anker-PN
C9500-16X,"4000,00",Genuine-New-Sealed street: ORM C9500-48Y4C-E $5.429 (von Liste $28.564). Pre-owned/open-box ($4–8k) ignoriert. Leiter monoton nach Port-Speed-Klasse (10G<25G<40G<100G<400G).,geschätzt-aus-Vergleich,C9500-48Y4C
C9500-32C,"15000,00",Genuine-New-Sealed street: ORM C9500-48Y4C-E $5.429 (von Liste $28.564). Pre-owned/open-box ($4–8k) ignoriert. Leiter monoton nach Port-Speed-Klasse (10G<25G<40G<100G<400G).,geschätzt-aus-Vergleich,C9500-48Y4C
C9500-32QC,"11000,00",Genuine-New-Sealed street: ORM C9500-48Y4C-E $5.429 (von Liste $28.564). Pre-owned/open-box ($4–8k) ignoriert. Leiter monoton nach Port-Speed-Klasse (10G<25G<40G<100G<400G).,geschätzt-aus-Vergleich,C9500-48Y4C
C9500-48Y4C,"5500,00",Genuine-New-Sealed street: ORM C9500-48Y4C-E $5.429 (von Liste $28.564). Pre-owned/open-box ($4–8k) ignoriert. Leiter monoton nach Port-Speed-Klasse (10G<25G<40G<100G<400G).,direkt,C9500-48Y4C-E (ORM $5.429)
C9500-24Y4C,"4500,00",Genuine-New-Sealed street: ORM C9500-48Y4C-E $5.429 (von Liste $28.564). Pre-owned/open-box ($4–8k) ignoriert. Leiter monoton nach Port-Speed-Klasse (10G<25G<40G<100G<400G).,geschätzt-aus-Vergleich,C9500-48Y4C
C9500X-28C8D,"28000,00",Genuine-New-Sealed street: ORM C9500-48Y4C-E $5.429 (von Liste $28.564). Pre-owned/open-box ($4–8k) ignoriert. Leiter monoton nach Port-Speed-Klasse (10G<25G<40G<100G<400G).,geschätzt-aus-Vergleich,C9500-48Y4C
C9500X-60L4D,"24000,00",Genuine-New-Sealed street: ORM C9500-48Y4C-E $5.429 (von Liste $28.564). Pre-owned/open-box ($4–8k) ignoriert. Leiter monoton nach Port-Speed-Klasse (10G<25G<40G<100G<400G).,geschätzt-aus-Vergleich,C9500-48Y4C
C9500-12Q,"6000,00","Genuine-New-Sealed EoS-First-Gen (UADP-2.0): Bechtle/Senetic/router-switch listen die First-Gen weiterhin neu; refurb ignoriert. Tier unter den High-Perf-9500; monoton 24Q>12Q, 48X≈40X-2Q>40X>16X.",geschätzt-aus-Vergleich,C9500-24Q
C9500-24Q,"8000,00","Genuine-New-Sealed EoS-First-Gen (UADP-2.0): Bechtle/Senetic/router-switch listen die First-Gen weiterhin neu; refurb ignoriert. Tier unter den High-Perf-9500; monoton 24Q>12Q, 48X≈40X-2Q>40X>16X.",geschätzt-aus-Vergleich,C9500-32QC (Decke)
C9500-40X,"5000,00","Genuine-New-Sealed EoS-First-Gen (UADP-2.0): Bechtle/Senetic/router-switch listen die First-Gen weiterhin neu; refurb ignoriert. Tier unter den High-Perf-9500; monoton 24Q>12Q, 48X≈40X-2Q>40X>16X.",geschätzt-aus-Vergleich,C9500-16X (€4000)
C9500-48X,"5500,00","Genuine-New-Sealed EoS-First-Gen (UADP-2.0): Bechtle/Senetic/router-switch listen die First-Gen weiterhin neu; refurb ignoriert. Tier unter den High-Perf-9500; monoton 24Q>12Q, 48X≈40X-2Q>40X>16X.",geschätzt-aus-Vergleich,C9500-40X
C9500-40X-2Q,"5800,00","Genuine-New-Sealed EoS-First-Gen (UADP-2.0): Bechtle/Senetic/router-switch listen die First-Gen weiterhin neu; refurb ignoriert. Tier unter den High-Perf-9500; monoton 24Q>12Q, 48X≈40X-2Q>40X>16X.",geschätzt-aus-Vergleich,C9500-48X
C9500-16X-2Q,"4500,00","Genuine-New-Sealed EoS-First-Gen (UADP-2.0): Bechtle/Senetic/router-switch listen die First-Gen weiterhin neu; refurb ignoriert. Tier unter den High-Perf-9500; monoton 24Q>12Q, 48X≈40X-2Q>40X>16X.",geschätzt-aus-Vergleich,C9500-16X (€4000)
