Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
WS-C3650-24TS-L,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
WS-C3650-24TS-L,,Switch,Layer,L2,2,Wertliste,Attribut
WS-C3650-24TS-L,,Switch,Portanzahl,24,3,Wertliste,Attribut
WS-C3650-24TS-L,,Switch,Port-Konfiguration,24× 10/100/1000 (RJ-45) + vier feste 1G-SFP-Uplinks,4,Wertliste,Attribut
WS-C3650-24TS-L,,Switch,Port-Geschwindigkeit,1 GbE (10/100/1000),5,Wertliste,Attribut
WS-C3650-24TS-L,,Switch,PoE,Nein,7,Wertliste,Attribut
WS-C3650-24TS-L,,Switch,Switching-Kapazität,92 Gbit/s,8,Wertliste,Attribut
WS-C3650-24TS-L,,Switch,Durchsatz,"41,66 Mpps",9,Wertliste,Attribut
WS-C3650-24TS-L,,Switch,Bauform,Rack-Montage (1 HE),10,Wertliste,Attribut
WS-C3650-24TS-L,,Switch,Stromversorgung,"Modular, redundant (1 Netzteil im Lieferumfang, 2 möglich)",11,Wertliste,Attribut
WS-C3650-24TS-L,,Switch,Kühlung,Aktiv (redundante Lüfter),12,Wertliste,Attribut
WS-C3650-24TS-L,,Switch,Stacking,"Ja – StackWise-160 (optional, bis 9 Einheiten, 160 Gbit/s)",13,Wertliste,Attribut
WS-C3650-24TS-L,,Switch,Betriebstemperatur,-5 bis 45 °C,14,Wertliste,Attribut
WS-C3650-24TS-L,,Switch,Anwendung,"Campus-/Enterprise-Access (stapelbar, optionales StackWise-160-Modul) – Layer 2-Zugang mit LAN Base-Lizenz; reine Datenports ohne PoE; vier feste 1g-sfp-uplinks (fest); konvergiertes Wired/Wireless unter Cisco IOS XE (UADP-ASIC); verwaltet über CLI/WebUI",15,Wertliste,Attribut
WS-C3650-24TS-S,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
WS-C3650-24TS-S,,Switch,Layer,L3,2,Wertliste,Attribut
WS-C3650-24TS-S,,Switch,Portanzahl,24,3,Wertliste,Attribut
WS-C3650-24TS-S,,Switch,Port-Konfiguration,24× 10/100/1000 (RJ-45) + vier feste 1G-SFP-Uplinks,4,Wertliste,Attribut
WS-C3650-24TS-S,,Switch,Port-Geschwindigkeit,1 GbE (10/100/1000),5,Wertliste,Attribut
WS-C3650-24TS-S,,Switch,PoE,Nein,7,Wertliste,Attribut
WS-C3650-24TS-S,,Switch,Switching-Kapazität,92 Gbit/s,8,Wertliste,Attribut
WS-C3650-24TS-S,,Switch,Durchsatz,"41,66 Mpps",9,Wertliste,Attribut
WS-C3650-24TS-S,,Switch,Bauform,Rack-Montage (1 HE),10,Wertliste,Attribut
WS-C3650-24TS-S,,Switch,Stromversorgung,"Modular, redundant (1 Netzteil im Lieferumfang, 2 möglich)",11,Wertliste,Attribut
WS-C3650-24TS-S,,Switch,Kühlung,Aktiv (redundante Lüfter),12,Wertliste,Attribut
WS-C3650-24TS-S,,Switch,Stacking,"Ja – StackWise-160 (optional, bis 9 Einheiten, 160 Gbit/s)",13,Wertliste,Attribut
WS-C3650-24TS-S,,Switch,Betriebstemperatur,-5 bis 45 °C,14,Wertliste,Attribut
