Artikelnummer;Artikelname;Kurzbeschreibung;Beschreibung;URL-Pfad;Artikelgewicht;Versandgewicht;HAN;Hersteller;Versandklasse;Verkaufseinheit;Titel-Tag (SEO);Meta-Description (SEO);Kategorie Ebene 1;Kategorie Ebene 2;Kategorie Ebene 3;Überverkauf Plattform Hexwaren;Bestandsführung aktiv;Überverkäufe möglich
WS-C3650-24TS-L;Cisco Catalyst 3650 24-Port Data Switch LAN Base (WS-C3650-24TS-L);<p>Der Cisco WS-C3650-24TS-L ist ein stapelbarer gemanagter Layer 2-Gigabit-Access-Switch der Catalyst-3650-Serie für den Enterprise-Campus mit 24 Gigabit-Ports (ohne PoE (reine Datenports)) und 4×1G-Uplinks. Der WS-C3650-24TS-L läuft unter Cisco IOS XE mit LAN Base-Lizenz.</p><p>Der WS-C3650-24TS-L stapelt per Cisco StackWise-160 (optionales Stack-Kit, bis 9 Einheiten, 160 Gbit/s), schützt Access-Links per MACsec-128 und trägt Cisco E-LLW.</p>;"<p>Der Cisco WS-C3650-24TS-L ist ein stapelbarer gemanagter Layer 2-Gigabit-Switch aus der Catalyst-3650-Familie für den Enterprise-Campus-Access unter Cisco IOS XE – ein Daten-Access-Switch mit LAN Base-Lizenz, 24 Gigabit-Ports und 4×1G-Uplinks.</p><p>Mit 24 Zugangs-Ports erreicht der WS-C3650-24TS-L eine Switching-Kapazität von 92 Gbit/s bei einer Weiterleitungsrate von 41,66 Mpps. Die 24 Ports des WS-C3650-24TS-L sind reine Datenports ohne PoE-Einspeisung. Vier feste 1G-SFP-Uplinks binden den WS-C3650-24TS-L an die Aggregation an. Mit der LAN Base-Lizenz beherrscht der WS-C3650-24TS-L umfassendes Layer-2-Switching (bis 255 VLANs, statisches Routing). Per StackWise-160 stapelt der WS-C3650-24TS-L bis zu neun Einheiten.</p><p>Der WS-C3650-24TS-L verschlüsselt Access-Links per MACsec-128 (AES-128) und kühlt aktiv über drei austauschbare Lüfter; er arbeitet im Bereich -5 bis 45 °C mit modularen, redundanten Netzteilen (250 W AC, eines im Lieferumfang). Als abgekündigtes Modell (End-of-Sale, Nachfolger Catalyst 9300) bleibt der WS-C3650-24TS-L als Original-Hardware erhältlich und trägt Cisco Enhanced Limited Lifetime Warranty (E-LLW). Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ws-c3650-24ts-l;6,87;8,57;WS-C3650-24TS-L;Cisco;standard;Stk;Cisco WS-C3650-24TS-L 3650 Data LAN Base | Hexwaren;Original Cisco WS-C3650-24TS-L (Catalyst 3650, LAN Base): stapelbarer Layer 2-Gigabit-Access-Switch, 24× 1G Data, 4×1G-Uplinks, StackWise-160, MACsec. Cisco IOS XE, 92 Gbit/s, E-LLW (EoS, ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L2);TRUE;Y;Y
WS-C3650-24TS-S;Cisco Catalyst 3650 24-Port Data Switch IP Base (WS-C3650-24TS-S);<p>Der Cisco WS-C3650-24TS-S ist ein stapelbarer gemanagter Layer 3-Gigabit-Access-Switch der Catalyst-3650-Serie für den Enterprise-Campus mit 24 Gigabit-Ports (ohne PoE (reine Datenports)) und 4×1G-Uplinks. Der WS-C3650-24TS-S läuft unter Cisco IOS XE mit IP Base-Lizenz.</p><p>Der WS-C3650-24TS-S stapelt per Cisco StackWise-160 (optionales Stack-Kit, bis 9 Einheiten, 160 Gbit/s), schützt Access-Links per MACsec-128 und trägt Cisco E-LLW.</p>;"<p>Der Cisco WS-C3650-24TS-S ist ein stapelbarer gemanagter Layer 3-Gigabit-Switch aus der Catalyst-3650-Familie für den Enterprise-Campus-Access unter Cisco IOS XE – ein Daten-Access-Switch mit IP Base-Lizenz, 24 Gigabit-Ports und 4×1G-Uplinks.</p><p>Mit 24 Zugangs-Ports erreicht der WS-C3650-24TS-S eine Switching-Kapazität von 92 Gbit/s bei einer Weiterleitungsrate von 41,66 Mpps. Die 24 Ports des WS-C3650-24TS-S sind reine Datenports ohne PoE-Einspeisung. Vier feste 1G-SFP-Uplinks binden den WS-C3650-24TS-S an die Aggregation an. Mit der IP Base-Lizenz beherrscht der WS-C3650-24TS-S Routed Access (statisches Routing, RIPv2, EIGRP-Stub, OSPF for Routed Access, PBR). Per StackWise-160 stapelt der WS-C3650-24TS-S bis zu neun Einheiten.</p><p>Der WS-C3650-24TS-S verschlüsselt Access-Links per MACsec-128 (AES-128) und kühlt aktiv über drei austauschbare Lüfter; er arbeitet im Bereich -5 bis 45 °C mit modularen, redundanten Netzteilen (250 W AC, eines im Lieferumfang). Als abgekündigtes Modell (End-of-Sale, Nachfolger Catalyst 9300) bleibt der WS-C3650-24TS-S als Original-Hardware erhältlich und trägt Cisco Enhanced Limited Lifetime Warranty (E-LLW). Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ws-c3650-24ts-s;6,87;8,57;WS-C3650-24TS-S;Cisco;standard;Stk;Cisco WS-C3650-24TS-S 3650 Data IP Base | Hexwaren;Original Cisco WS-C3650-24TS-S (Catalyst 3650, IP Base): stapelbarer Layer 3-Gigabit-Access-Switch, 24× 1G Data, 4×1G-Uplinks, StackWise-160, MACsec. Cisco IOS XE, 92 Gbit/s, E-LLW (EoS, ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L3);TRUE;Y;Y
WS-C3650-24TS-E;Cisco Catalyst 3650 24-Port Data Switch IP Services (WS-C3650-24TS-E);<p>Der Cisco WS-C3650-24TS-E ist ein stapelbarer gemanagter Layer 3-Gigabit-Access-Switch der Catalyst-3650-Serie für den Enterprise-Campus mit 24 Gigabit-Ports (ohne PoE (reine Datenports)) und 4×1G-Uplinks. Der WS-C3650-24TS-E läuft unter Cisco IOS XE mit IP Services-Lizenz.</p><p>Der WS-C3650-24TS-E stapelt per Cisco StackWise-160 (optionales Stack-Kit, bis 9 Einheiten, 160 Gbit/s), schützt Access-Links per MACsec-128 und trägt Cisco E-LLW.</p>;"<p>Der Cisco WS-C3650-24TS-E ist ein stapelbarer gemanagter Layer 3-Gigabit-Switch aus der Catalyst-3650-Familie für den Enterprise-Campus-Access unter Cisco IOS XE – ein Daten-Access-Switch mit IP Services-Lizenz, 24 Gigabit-Ports und 4×1G-Uplinks.</p><p>Mit 24 Zugangs-Ports erreicht der WS-C3650-24TS-E eine Switching-Kapazität von 92 Gbit/s bei einer Weiterleitungsrate von 41,66 Mpps. Die 24 Ports des WS-C3650-24TS-E sind reine Datenports ohne PoE-Einspeisung. Vier feste 1G-SFP-Uplinks binden den WS-C3650-24TS-E an die Aggregation an. Mit der IP Services-Lizenz beherrscht der WS-C3650-24TS-E volles dynamisches Routing (OSPF, EIGRP, BGPv4, IS-IS, PIM, VRF-Lite, IPv6/OSPFv3). Per StackWise-160 stapelt der WS-C3650-24TS-E bis zu neun Einheiten.</p><p>Der WS-C3650-24TS-E verschlüsselt Access-Links per MACsec-128 (AES-128) und kühlt aktiv über drei austauschbare Lüfter; er arbeitet im Bereich -5 bis 45 °C mit modularen, redundanten Netzteilen (250 W AC, eines im Lieferumfang). Als abgekündigtes Modell (End-of-Sale, Nachfolger Catalyst 9300) bleibt der WS-C3650-24TS-E als Original-Hardware erhältlich und trägt Cisco Enhanced Limited Lifetime Warranty (E-LLW). Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ws-c3650-24ts-e;6,87;8,57;WS-C3650-24TS-E;Cisco;standard;Stk;Cisco WS-C3650-24TS-E 3650 Data IP Services | Hexwaren;Original Cisco WS-C3650-24TS-E (Catalyst 3650, IP Services): stapelbarer Layer 3-Gigabit-Access-Switch, 24× 1G Data, 4×1G-Uplinks, StackWise-160, MACsec. Cisco IOS XE, 92 Gbit/s, E-LLW (EoS, ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L3);TRUE;Y;Y
WS-C3650-48TS-L;Cisco Catalyst 3650 48-Port Data Switch LAN Base (WS-C3650-48TS-L);<p>Der Cisco WS-C3650-48TS-L ist ein stapelbarer gemanagter Layer 2-Gigabit-Access-Switch der Catalyst-3650-Serie für den Enterprise-Campus mit 48 Gigabit-Ports (ohne PoE (reine Datenports)) und 4×1G-Uplinks. Der WS-C3650-48TS-L läuft unter Cisco IOS XE mit LAN Base-Lizenz.</p><p>Der WS-C3650-48TS-L stapelt per Cisco StackWise-160 (optionales Stack-Kit, bis 9 Einheiten, 160 Gbit/s), schützt Access-Links per MACsec-128 und trägt Cisco E-LLW.</p>;"<p>Der Cisco WS-C3650-48TS-L ist ein stapelbarer gemanagter Layer 2-Gigabit-Switch aus der Catalyst-3650-Familie für den Enterprise-Campus-Access unter Cisco IOS XE – ein Daten-Access-Switch mit LAN Base-Lizenz, 48 Gigabit-Ports und 4×1G-Uplinks.</p><p>Mit 48 Zugangs-Ports erreicht der WS-C3650-48TS-L eine Switching-Kapazität von 176 Gbit/s bei einer Weiterleitungsrate von 77,37 Mpps. Die 48 Ports des WS-C3650-48TS-L sind reine Datenports ohne PoE-Einspeisung. Vier feste 1G-SFP-Uplinks binden den WS-C3650-48TS-L an die Aggregation an. Mit der LAN Base-Lizenz beherrscht der WS-C3650-48TS-L umfassendes Layer-2-Switching (bis 255 VLANs, statisches Routing). Per StackWise-160 stapelt der WS-C3650-48TS-L bis zu neun Einheiten.</p><p>Der WS-C3650-48TS-L verschlüsselt Access-Links per MACsec-128 (AES-128) und kühlt aktiv über drei austauschbare Lüfter; er arbeitet im Bereich -5 bis 45 °C mit modularen, redundanten Netzteilen (250 W AC, eines im Lieferumfang). Als abgekündigtes Modell (End-of-Sale, Nachfolger Catalyst 9300) bleibt der WS-C3650-48TS-L als Original-Hardware erhältlich und trägt Cisco Enhanced Limited Lifetime Warranty (E-LLW). Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ws-c3650-48ts-l;7,21;8,91;WS-C3650-48TS-L;Cisco;standard;Stk;Cisco WS-C3650-48TS-L 3650 Data LAN Base | Hexwaren;Original Cisco WS-C3650-48TS-L (Catalyst 3650, LAN Base): stapelbarer Layer 2-Gigabit-Access-Switch, 48× 1G Data, 4×1G-Uplinks, StackWise-160, MACsec. Cisco IOS XE, 176 Gbit/s, E-LLW (EoS, ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L2);TRUE;Y;Y
WS-C3650-48TS-S;Cisco Catalyst 3650 48-Port Data Switch IP Base (WS-C3650-48TS-S);<p>Der Cisco WS-C3650-48TS-S ist ein stapelbarer gemanagter Layer 3-Gigabit-Access-Switch der Catalyst-3650-Serie für den Enterprise-Campus mit 48 Gigabit-Ports (ohne PoE (reine Datenports)) und 4×1G-Uplinks. Der WS-C3650-48TS-S läuft unter Cisco IOS XE mit IP Base-Lizenz.</p><p>Der WS-C3650-48TS-S stapelt per Cisco StackWise-160 (optionales Stack-Kit, bis 9 Einheiten, 160 Gbit/s), schützt Access-Links per MACsec-128 und trägt Cisco E-LLW.</p>;"<p>Der Cisco WS-C3650-48TS-S ist ein stapelbarer gemanagter Layer 3-Gigabit-Switch aus der Catalyst-3650-Familie für den Enterprise-Campus-Access unter Cisco IOS XE – ein Daten-Access-Switch mit IP Base-Lizenz, 48 Gigabit-Ports und 4×1G-Uplinks.</p><p>Mit 48 Zugangs-Ports erreicht der WS-C3650-48TS-S eine Switching-Kapazität von 176 Gbit/s bei einer Weiterleitungsrate von 77,37 Mpps. Die 48 Ports des WS-C3650-48TS-S sind reine Datenports ohne PoE-Einspeisung. Vier feste 1G-SFP-Uplinks binden den WS-C3650-48TS-S an die Aggregation an. Mit der IP Base-Lizenz beherrscht der WS-C3650-48TS-S Routed Access (statisches Routing, RIPv2, EIGRP-Stub, OSPF for Routed Access, PBR). Per StackWise-160 stapelt der WS-C3650-48TS-S bis zu neun Einheiten.</p><p>Der WS-C3650-48TS-S verschlüsselt Access-Links per MACsec-128 (AES-128) und kühlt aktiv über drei austauschbare Lüfter; er arbeitet im Bereich -5 bis 45 °C mit modularen, redundanten Netzteilen (250 W AC, eines im Lieferumfang). Als abgekündigtes Modell (End-of-Sale, Nachfolger Catalyst 9300) bleibt der WS-C3650-48TS-S als Original-Hardware erhältlich und trägt Cisco Enhanced Limited Lifetime Warranty (E-LLW). Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ws-c3650-48ts-s;7,21;8,91;WS-C3650-48TS-S;Cisco;standard;Stk;Cisco WS-C3650-48TS-S 3650 Data IP Base | Hexwaren;Original Cisco WS-C3650-48TS-S (Catalyst 3650, IP Base): stapelbarer Layer 3-Gigabit-Access-Switch, 48× 1G Data, 4×1G-Uplinks, StackWise-160, MACsec. Cisco IOS XE, 176 Gbit/s, E-LLW (EoS, ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L3);TRUE;Y;Y
WS-C3650-48TS-E;Cisco Catalyst 3650 48-Port Data Switch IP Services (WS-C3650-48TS-E);<p>Der Cisco WS-C3650-48TS-E ist ein stapelbarer gemanagter Layer 3-Gigabit-Access-Switch der Catalyst-3650-Serie für den Enterprise-Campus mit 48 Gigabit-Ports (ohne PoE (reine Datenports)) und 4×1G-Uplinks. Der WS-C3650-48TS-E läuft unter Cisco IOS XE mit IP Services-Lizenz.</p><p>Der WS-C3650-48TS-E stapelt per Cisco StackWise-160 (optionales Stack-Kit, bis 9 Einheiten, 160 Gbit/s), schützt Access-Links per MACsec-128 und trägt Cisco E-LLW.</p>;"<p>Der Cisco WS-C3650-48TS-E ist ein stapelbarer gemanagter Layer 3-Gigabit-Switch aus der Catalyst-3650-Familie für den Enterprise-Campus-Access unter Cisco IOS XE – ein Daten-Access-Switch mit IP Services-Lizenz, 48 Gigabit-Ports und 4×1G-Uplinks.</p><p>Mit 48 Zugangs-Ports erreicht der WS-C3650-48TS-E eine Switching-Kapazität von 176 Gbit/s bei einer Weiterleitungsrate von 77,37 Mpps. Die 48 Ports des WS-C3650-48TS-E sind reine Datenports ohne PoE-Einspeisung. Vier feste 1G-SFP-Uplinks binden den WS-C3650-48TS-E an die Aggregation an. Mit der IP Services-Lizenz beherrscht der WS-C3650-48TS-E volles dynamisches Routing (OSPF, EIGRP, BGPv4, IS-IS, PIM, VRF-Lite, IPv6/OSPFv3). Per StackWise-160 stapelt der WS-C3650-48TS-E bis zu neun Einheiten.</p><p>Der WS-C3650-48TS-E verschlüsselt Access-Links per MACsec-128 (AES-128) und kühlt aktiv über drei austauschbare Lüfter; er arbeitet im Bereich -5 bis 45 °C mit modularen, redundanten Netzteilen (250 W AC, eines im Lieferumfang). Als abgekündigtes Modell (End-of-Sale, Nachfolger Catalyst 9300) bleibt der WS-C3650-48TS-E als Original-Hardware erhältlich und trägt Cisco Enhanced Limited Lifetime Warranty (E-LLW). Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ws-c3650-48ts-e;7,21;8,91;WS-C3650-48TS-E;Cisco;standard;Stk;Cisco WS-C3650-48TS-E 3650 Data IP Services | Hexwaren;Original Cisco WS-C3650-48TS-E (Catalyst 3650, IP Services): stapelbarer Layer 3-Gigabit-Access-Switch, 48× 1G Data, 4×1G-Uplinks, StackWise-160, MACsec. Cisco IOS XE, 176 Gbit/s, E-LLW (EoS, ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L3);TRUE;Y;Y
WS-C3650-24TD-L;Cisco Catalyst 3650 24-Port Data Switch LAN Base (WS-C3650-24TD-L);<p>Der Cisco WS-C3650-24TD-L ist ein stapelbarer gemanagter Layer 2-Gigabit-Access-Switch der Catalyst-3650-Serie für den Enterprise-Campus mit 24 Gigabit-Ports (ohne PoE (reine Datenports)) und 2×10G+2×1G-Uplinks. Der WS-C3650-24TD-L läuft unter Cisco IOS XE mit LAN Base-Lizenz.</p><p>Der WS-C3650-24TD-L stapelt per Cisco StackWise-160 (optionales Stack-Kit, bis 9 Einheiten, 160 Gbit/s), schützt Access-Links per MACsec-128 und trägt Cisco E-LLW.</p>;"<p>Der Cisco WS-C3650-24TD-L ist ein stapelbarer gemanagter Layer 2-Gigabit-Switch aus der Catalyst-3650-Familie für den Enterprise-Campus-Access unter Cisco IOS XE – ein Daten-Access-Switch mit LAN Base-Lizenz, 24 Gigabit-Ports und 2×10G+2×1G-Uplinks.</p><p>Mit 24 Zugangs-Ports erreicht der WS-C3650-24TD-L eine Switching-Kapazität von 92 Gbit/s bei einer Weiterleitungsrate von 68,45 Mpps. Die 24 Ports des WS-C3650-24TD-L sind reine Datenports ohne PoE-Einspeisung. Zwei feste 10G-SFP+- plus zwei 1G-SFP-Uplinks binden den WS-C3650-24TD-L an die Aggregation an. Mit der LAN Base-Lizenz beherrscht der WS-C3650-24TD-L umfassendes Layer-2-Switching (bis 255 VLANs, statisches Routing). Per StackWise-160 stapelt der WS-C3650-24TD-L bis zu neun Einheiten.</p><p>Der WS-C3650-24TD-L verschlüsselt Access-Links per MACsec-128 (AES-128) und kühlt aktiv über drei austauschbare Lüfter; er arbeitet im Bereich -5 bis 45 °C mit modularen, redundanten Netzteilen (250 W AC, eines im Lieferumfang). Als abgekündigtes Modell (End-of-Sale, Nachfolger Catalyst 9300) bleibt der WS-C3650-24TD-L als Original-Hardware erhältlich und trägt Cisco Enhanced Limited Lifetime Warranty (E-LLW). Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ws-c3650-24td-l;6,87;8,57;WS-C3650-24TD-L;Cisco;standard;Stk;Cisco WS-C3650-24TD-L 3650 Data LAN Base | Hexwaren;Original Cisco WS-C3650-24TD-L (Catalyst 3650, LAN Base): stapelbarer Layer 2-Gigabit-Access-Switch, 24× 1G Data, 2×10G+2×1G-Uplinks, StackWise-160, MACsec. Cisco IOS XE, 92 Gbit/s, E-LLW (EoS, ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L2);TRUE;Y;Y
WS-C3650-24TD-S;Cisco Catalyst 3650 24-Port Data Switch IP Base (WS-C3650-24TD-S);<p>Der Cisco WS-C3650-24TD-S ist ein stapelbarer gemanagter Layer 3-Gigabit-Access-Switch der Catalyst-3650-Serie für den Enterprise-Campus mit 24 Gigabit-Ports (ohne PoE (reine Datenports)) und 2×10G+2×1G-Uplinks. Der WS-C3650-24TD-S läuft unter Cisco IOS XE mit IP Base-Lizenz.</p><p>Der WS-C3650-24TD-S stapelt per Cisco StackWise-160 (optionales Stack-Kit, bis 9 Einheiten, 160 Gbit/s), schützt Access-Links per MACsec-128 und trägt Cisco E-LLW.</p>;"<p>Der Cisco WS-C3650-24TD-S ist ein stapelbarer gemanagter Layer 3-Gigabit-Switch aus der Catalyst-3650-Familie für den Enterprise-Campus-Access unter Cisco IOS XE – ein Daten-Access-Switch mit IP Base-Lizenz, 24 Gigabit-Ports und 2×10G+2×1G-Uplinks.</p><p>Mit 24 Zugangs-Ports erreicht der WS-C3650-24TD-S eine Switching-Kapazität von 92 Gbit/s bei einer Weiterleitungsrate von 68,45 Mpps. Die 24 Ports des WS-C3650-24TD-S sind reine Datenports ohne PoE-Einspeisung. Zwei feste 10G-SFP+- plus zwei 1G-SFP-Uplinks binden den WS-C3650-24TD-S an die Aggregation an. Mit der IP Base-Lizenz beherrscht der WS-C3650-24TD-S Routed Access (statisches Routing, RIPv2, EIGRP-Stub, OSPF for Routed Access, PBR). Per StackWise-160 stapelt der WS-C3650-24TD-S bis zu neun Einheiten.</p><p>Der WS-C3650-24TD-S verschlüsselt Access-Links per MACsec-128 (AES-128) und kühlt aktiv über drei austauschbare Lüfter; er arbeitet im Bereich -5 bis 45 °C mit modularen, redundanten Netzteilen (250 W AC, eines im Lieferumfang). Als abgekündigtes Modell (End-of-Sale, Nachfolger Catalyst 9300) bleibt der WS-C3650-24TD-S als Original-Hardware erhältlich und trägt Cisco Enhanced Limited Lifetime Warranty (E-LLW). Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ws-c3650-24td-s;6,87;8,57;WS-C3650-24TD-S;Cisco;standard;Stk;Cisco WS-C3650-24TD-S 3650 Data IP Base | Hexwaren;Original Cisco WS-C3650-24TD-S (Catalyst 3650, IP Base): stapelbarer Layer 3-Gigabit-Access-Switch, 24× 1G Data, 2×10G+2×1G-Uplinks, StackWise-160, MACsec. Cisco IOS XE, 92 Gbit/s, E-LLW (EoS, ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L3);TRUE;Y;Y
WS-C3650-24TD-E;Cisco Catalyst 3650 24-Port Data Switch IP Services (WS-C3650-24TD-E);<p>Der Cisco WS-C3650-24TD-E ist ein stapelbarer gemanagter Layer 3-Gigabit-Access-Switch der Catalyst-3650-Serie für den Enterprise-Campus mit 24 Gigabit-Ports (ohne PoE (reine Datenports)) und 2×10G+2×1G-Uplinks. Der WS-C3650-24TD-E läuft unter Cisco IOS XE mit IP Services-Lizenz.</p><p>Der WS-C3650-24TD-E stapelt per Cisco StackWise-160 (optionales Stack-Kit, bis 9 Einheiten, 160 Gbit/s), schützt Access-Links per MACsec-128 und trägt Cisco E-LLW.</p>;"<p>Der Cisco WS-C3650-24TD-E ist ein stapelbarer gemanagter Layer 3-Gigabit-Switch aus der Catalyst-3650-Familie für den Enterprise-Campus-Access unter Cisco IOS XE – ein Daten-Access-Switch mit IP Services-Lizenz, 24 Gigabit-Ports und 2×10G+2×1G-Uplinks.</p><p>Mit 24 Zugangs-Ports erreicht der WS-C3650-24TD-E eine Switching-Kapazität von 92 Gbit/s bei einer Weiterleitungsrate von 68,45 Mpps. Die 24 Ports des WS-C3650-24TD-E sind reine Datenports ohne PoE-Einspeisung. Zwei feste 10G-SFP+- plus zwei 1G-SFP-Uplinks binden den WS-C3650-24TD-E an die Aggregation an. Mit der IP Services-Lizenz beherrscht der WS-C3650-24TD-E volles dynamisches Routing (OSPF, EIGRP, BGPv4, IS-IS, PIM, VRF-Lite, IPv6/OSPFv3). Per StackWise-160 stapelt der WS-C3650-24TD-E bis zu neun Einheiten.</p><p>Der WS-C3650-24TD-E verschlüsselt Access-Links per MACsec-128 (AES-128) und kühlt aktiv über drei austauschbare Lüfter; er arbeitet im Bereich -5 bis 45 °C mit modularen, redundanten Netzteilen (250 W AC, eines im Lieferumfang). Als abgekündigtes Modell (End-of-Sale, Nachfolger Catalyst 9300) bleibt der WS-C3650-24TD-E als Original-Hardware erhältlich und trägt Cisco Enhanced Limited Lifetime Warranty (E-LLW). Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ws-c3650-24td-e;6,87;8,57;WS-C3650-24TD-E;Cisco;standard;Stk;Cisco WS-C3650-24TD-E 3650 Data IP Services | Hexwaren;Original Cisco WS-C3650-24TD-E (Catalyst 3650, IP Services): stapelbarer Layer 3-Gigabit-Access-Switch, 24× 1G Data, 2×10G+2×1G-Uplinks, StackWise-160, MACsec. Cisco IOS XE, 92 Gbit/s, E-LLW (EoS, ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L3);TRUE;Y;Y
WS-C3650-48TD-L;Cisco Catalyst 3650 48-Port Data Switch LAN Base (WS-C3650-48TD-L);<p>Der Cisco WS-C3650-48TD-L ist ein stapelbarer gemanagter Layer 2-Gigabit-Access-Switch der Catalyst-3650-Serie für den Enterprise-Campus mit 48 Gigabit-Ports (ohne PoE (reine Datenports)) und 2×10G+2×1G-Uplinks. Der WS-C3650-48TD-L läuft unter Cisco IOS XE mit LAN Base-Lizenz.</p><p>Der WS-C3650-48TD-L stapelt per Cisco StackWise-160 (optionales Stack-Kit, bis 9 Einheiten, 160 Gbit/s), schützt Access-Links per MACsec-128 und trägt Cisco E-LLW.</p>;"<p>Der Cisco WS-C3650-48TD-L ist ein stapelbarer gemanagter Layer 2-Gigabit-Switch aus der Catalyst-3650-Familie für den Enterprise-Campus-Access unter Cisco IOS XE – ein Daten-Access-Switch mit LAN Base-Lizenz, 48 Gigabit-Ports und 2×10G+2×1G-Uplinks.</p><p>Mit 48 Zugangs-Ports erreicht der WS-C3650-48TD-L eine Switching-Kapazität von 176 Gbit/s bei einer Weiterleitungsrate von 104,16 Mpps. Die 48 Ports des WS-C3650-48TD-L sind reine Datenports ohne PoE-Einspeisung. Zwei feste 10G-SFP+- plus zwei 1G-SFP-Uplinks binden den WS-C3650-48TD-L an die Aggregation an. Mit der LAN Base-Lizenz beherrscht der WS-C3650-48TD-L umfassendes Layer-2-Switching (bis 255 VLANs, statisches Routing). Per StackWise-160 stapelt der WS-C3650-48TD-L bis zu neun Einheiten.</p><p>Der WS-C3650-48TD-L verschlüsselt Access-Links per MACsec-128 (AES-128) und kühlt aktiv über drei austauschbare Lüfter; er arbeitet im Bereich -5 bis 45 °C mit modularen, redundanten Netzteilen (250 W AC, eines im Lieferumfang). Als abgekündigtes Modell (End-of-Sale, Nachfolger Catalyst 9300) bleibt der WS-C3650-48TD-L als Original-Hardware erhältlich und trägt Cisco Enhanced Limited Lifetime Warranty (E-LLW). Originaler Cisco-Switch für den professionellen Einsatz in Cisco-Netzwerkumgebungen.</p>";cisco/ws-c3650-48td-l;7,21;8,91;WS-C3650-48TD-L;Cisco;standard;Stk;Cisco WS-C3650-48TD-L 3650 Data LAN Base | Hexwaren;Original Cisco WS-C3650-48TD-L (Catalyst 3650, LAN Base): stapelbarer Layer 2-Gigabit-Access-Switch, 48× 1G Data, 2×10G+2×1G-Uplinks, StackWise-160, MACsec. Cisco IOS XE, 176 Gbit/s, E-LLW (EoS, ….;Netzwerk & Infrastruktur;Switches;Managed Switch (L2);TRUE;Y;Y
