Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
WS-C3650-24TS-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-24TS-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-24TS-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-48TS-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-48TS-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-48TS-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-24TD-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-24TD-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-24TD-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-48TD-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-48TD-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-48TD-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-48TQ-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-48TQ-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-48TQ-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-48PQ-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-48PQ-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-48PQ-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-48FQ-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-48FQ-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-48FQ-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-24PDM-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-24PDM-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-24PDM-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-48FQM-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-48FQM-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-48FQM-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-8X24PD-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-8X24PD-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-8X24PD-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-8X24UQ-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-8X24UQ-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-8X24UQ-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-12X48FD-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-12X48FD-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-12X48FD-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-12X48UQ-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-12X48UQ-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-12X48UQ-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-12X48UR-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-12X48UR-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-12X48UR-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-12X48UZ-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-12X48UZ-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3650-12X48UZ-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
