Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
WS-C3850-24T-L,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
WS-C3850-24T-L,,Switch,Layer,L2,2,Wertliste,Attribut
WS-C3850-24T-L,,Switch,Portanzahl,24,3,Wertliste,Attribut
WS-C3850-24T-L,,Switch,Port-Konfiguration,24× 10/100/1000 (RJ-45) + 1 Netzwerkmodul-Steckplatz (Uplinks separat),4,Wertliste,Attribut
WS-C3850-24T-L,,Switch,Port-Geschwindigkeit,1 GbE (10/100/1000),5,Wertliste,Attribut
WS-C3850-24T-L,,Switch,PoE,Nein,7,Wertliste,Attribut
WS-C3850-24T-L,,Switch,Switching-Kapazität,92 Gbit/s,8,Wertliste,Attribut
WS-C3850-24T-L,,Switch,Durchsatz,"68,4 Mpps",9,Wertliste,Attribut
WS-C3850-24T-L,,Switch,Bauform,Rack-Montage (1 HE),10,Wertliste,Attribut
WS-C3850-24T-L,,Switch,Stromversorgung,"Modular, redundant (1 Netzteil im Lieferumfang, 2 möglich)",11,Wertliste,Attribut
WS-C3850-24T-L,,Switch,Kühlung,Aktiv (redundante Lüfter),12,Wertliste,Attribut
WS-C3850-24T-L,,Switch,Stacking,"Ja – Cisco StackWise-480 (bis 9 Einheiten, 480 Gbit/s)",13,Wertliste,Attribut
WS-C3850-24T-L,,Switch,Betriebstemperatur,-5 bis 45 °C,14,Wertliste,Attribut
WS-C3850-24T-L,,Switch,Anwendung,"Campus-/Enterprise-Access (stapelbar, Cisco StackWise-480) – Layer 2-Zugang mit LAN Base-Lizenz; reine Datenports ohne PoE; konvergiertes Wired/Wireless unter Cisco IOS XE (UADP-ASIC); verwaltet über CLI/WebUI",15,Wertliste,Attribut
WS-C3850-24T-S,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
WS-C3850-24T-S,,Switch,Layer,L3,2,Wertliste,Attribut
WS-C3850-24T-S,,Switch,Portanzahl,24,3,Wertliste,Attribut
WS-C3850-24T-S,,Switch,Port-Konfiguration,24× 10/100/1000 (RJ-45) + 1 Netzwerkmodul-Steckplatz (Uplinks separat),4,Wertliste,Attribut
WS-C3850-24T-S,,Switch,Port-Geschwindigkeit,1 GbE (10/100/1000),5,Wertliste,Attribut
WS-C3850-24T-S,,Switch,PoE,Nein,7,Wertliste,Attribut
WS-C3850-24T-S,,Switch,Switching-Kapazität,92 Gbit/s,8,Wertliste,Attribut
WS-C3850-24T-S,,Switch,Durchsatz,"68,4 Mpps",9,Wertliste,Attribut
WS-C3850-24T-S,,Switch,Bauform,Rack-Montage (1 HE),10,Wertliste,Attribut
WS-C3850-24T-S,,Switch,Stromversorgung,"Modular, redundant (1 Netzteil im Lieferumfang, 2 möglich)",11,Wertliste,Attribut
WS-C3850-24T-S,,Switch,Kühlung,Aktiv (redundante Lüfter),12,Wertliste,Attribut
WS-C3850-24T-S,,Switch,Stacking,"Ja – Cisco StackWise-480 (bis 9 Einheiten, 480 Gbit/s)",13,Wertliste,Attribut
WS-C3850-24T-S,,Switch,Betriebstemperatur,-5 bis 45 °C,14,Wertliste,Attribut
WS-C3850-24T-S,,Switch,Anwendung,"Campus-/Enterprise-Access (stapelbar, Cisco StackWise-480) – Layer 3-Zugang mit IP Base-Lizenz; reine Datenports ohne PoE; konvergiertes Wired/Wireless unter Cisco IOS XE (UADP-ASIC); verwaltet über CLI/WebUI",15,Wertliste,Attribut
WS-C3850-24T-E,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
WS-C3850-24T-E,,Switch,Layer,L3,2,Wertliste,Attribut
WS-C3850-24T-E,,Switch,Portanzahl,24,3,Wertliste,Attribut
WS-C3850-24T-E,,Switch,Port-Konfiguration,24× 10/100/1000 (RJ-45) + 1 Netzwerkmodul-Steckplatz (Uplinks separat),4,Wertliste,Attribut
WS-C3850-24T-E,,Switch,Port-Geschwindigkeit,1 GbE (10/100/1000),5,Wertliste,Attribut
WS-C3850-24T-E,,Switch,PoE,Nein,7,Wertliste,Attribut
WS-C3850-24T-E,,Switch,Switching-Kapazität,92 Gbit/s,8,Wertliste,Attribut
WS-C3850-24T-E,,Switch,Durchsatz,"68,4 Mpps",9,Wertliste,Attribut
WS-C3850-24T-E,,Switch,Bauform,Rack-Montage (1 HE),10,Wertliste,Attribut
WS-C3850-24T-E,,Switch,Stromversorgung,"Modular, redundant (1 Netzteil im Lieferumfang, 2 möglich)",11,Wertliste,Attribut
WS-C3850-24T-E,,Switch,Kühlung,Aktiv (redundante Lüfter),12,Wertliste,Attribut
WS-C3850-24T-E,,Switch,Stacking,"Ja – Cisco StackWise-480 (bis 9 Einheiten, 480 Gbit/s)",13,Wertliste,Attribut
WS-C3850-24T-E,,Switch,Betriebstemperatur,-5 bis 45 °C,14,Wertliste,Attribut
WS-C3850-24T-E,,Switch,Anwendung,"Campus-/Enterprise-Access (stapelbar, Cisco StackWise-480) – Layer 3-Zugang mit IP Services-Lizenz; reine Datenports ohne PoE; konvergiertes Wired/Wireless unter Cisco IOS XE (UADP-ASIC); verwaltet über CLI/WebUI",15,Wertliste,Attribut
WS-C3850-48T-L,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
WS-C3850-48T-L,,Switch,Layer,L2,2,Wertliste,Attribut
WS-C3850-48T-L,,Switch,Portanzahl,48,3,Wertliste,Attribut
WS-C3850-48T-L,,Switch,Port-Konfiguration,48× 10/100/1000 (RJ-45) + 1 Netzwerkmodul-Steckplatz (Uplinks separat),4,Wertliste,Attribut
WS-C3850-48T-L,,Switch,Port-Geschwindigkeit,1 GbE (10/100/1000),5,Wertliste,Attribut
WS-C3850-48T-L,,Switch,PoE,Nein,7,Wertliste,Attribut
WS-C3850-48T-L,,Switch,Switching-Kapazität,176 Gbit/s,8,Wertliste,Attribut
WS-C3850-48T-L,,Switch,Durchsatz,"130,95 Mpps",9,Wertliste,Attribut
WS-C3850-48T-L,,Switch,Bauform,Rack-Montage (1 HE),10,Wertliste,Attribut
WS-C3850-48T-L,,Switch,Stromversorgung,"Modular, redundant (1 Netzteil im Lieferumfang, 2 möglich)",11,Wertliste,Attribut
WS-C3850-48T-L,,Switch,Kühlung,Aktiv (redundante Lüfter),12,Wertliste,Attribut
WS-C3850-48T-L,,Switch,Stacking,"Ja – Cisco StackWise-480 (bis 9 Einheiten, 480 Gbit/s)",13,Wertliste,Attribut
WS-C3850-48T-L,,Switch,Betriebstemperatur,-5 bis 45 °C,14,Wertliste,Attribut
WS-C3850-48T-L,,Switch,Anwendung,"Campus-/Enterprise-Access (stapelbar, Cisco StackWise-480) – Layer 2-Zugang mit LAN Base-Lizenz; reine Datenports ohne PoE; konvergiertes Wired/Wireless unter Cisco IOS XE (UADP-ASIC); verwaltet über CLI/WebUI",15,Wertliste,Attribut
WS-C3850-48T-S,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
WS-C3850-48T-S,,Switch,Layer,L3,2,Wertliste,Attribut
WS-C3850-48T-S,,Switch,Portanzahl,48,3,Wertliste,Attribut
WS-C3850-48T-S,,Switch,Port-Konfiguration,48× 10/100/1000 (RJ-45) + 1 Netzwerkmodul-Steckplatz (Uplinks separat),4,Wertliste,Attribut
WS-C3850-48T-S,,Switch,Port-Geschwindigkeit,1 GbE (10/100/1000),5,Wertliste,Attribut
WS-C3850-48T-S,,Switch,PoE,Nein,7,Wertliste,Attribut
WS-C3850-48T-S,,Switch,Switching-Kapazität,176 Gbit/s,8,Wertliste,Attribut
WS-C3850-48T-S,,Switch,Durchsatz,"130,95 Mpps",9,Wertliste,Attribut
