Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
WS-C3850-24T-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3850-24T-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3850-24T-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3850-48T-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3850-48T-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3850-48T-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3850-24P-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3850-24P-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3850-24P-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3850-48P-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3850-48P-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3850-48P-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3850-48F-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3850-48F-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3850-48F-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3850-24U-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3850-24U-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3850-24U-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3850-48U-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3850-48U-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
WS-C3850-48U-E,,condition,Funktionsattribut,Wertliste,Deutsch,new
