Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
WS-C3850-24T-L,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-L,Layer,L2,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-L,Portanzahl,24,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-L,Port-Konfiguration,24× 10/100/1000 (RJ-45) + 1 Netzwerkmodul-Steckplatz (Uplinks separat),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-L,Port-Geschwindigkeit,1 GbE (10/100/1000),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-L,PoE,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-L,Switching-Kapazität,92 Gbit/s,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-L,Durchsatz,"68,4 Mpps",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-L,Bauform,Rack-Montage (1 HE),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-L,Stromversorgung,"Modular, redundant (1 Netzteil im Lieferumfang, 2 möglich)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-L,Kühlung,Aktiv (redundante Lüfter),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-L,Stacking,"Ja – Cisco StackWise-480 (bis 9 Einheiten, 480 Gbit/s)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-L,Betriebstemperatur,-5 bis 45 °C,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-L,Anwendung,"Campus-/Enterprise-Access (stapelbar, Cisco StackWise-480) – Layer 2-Zugang mit LAN Base-Lizenz; reine Datenports ohne PoE; konvergiertes Wired/Wireless unter Cisco IOS XE (UADP-ASIC); verwaltet über CLI/WebUI",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-L,WS-C3850-24T-L,EoL,"Cisco Catalyst 3850 End-of-Sale (Serie; Nachfolger Catalyst 9300) — informativ als Original-Ersatz-/Bestands-Spare geführt, nicht entfernt.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,2026-06-25T08:57:46Z
WS-C3850-24T-S,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-S,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-S,Portanzahl,24,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-S,Port-Konfiguration,24× 10/100/1000 (RJ-45) + 1 Netzwerkmodul-Steckplatz (Uplinks separat),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-S,Port-Geschwindigkeit,1 GbE (10/100/1000),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-S,PoE,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-S,Switching-Kapazität,92 Gbit/s,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-S,Durchsatz,"68,4 Mpps",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-S,Bauform,Rack-Montage (1 HE),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-S,Stromversorgung,"Modular, redundant (1 Netzteil im Lieferumfang, 2 möglich)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-S,Kühlung,Aktiv (redundante Lüfter),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-S,Stacking,"Ja – Cisco StackWise-480 (bis 9 Einheiten, 480 Gbit/s)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-S,Betriebstemperatur,-5 bis 45 °C,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-S,Anwendung,"Campus-/Enterprise-Access (stapelbar, Cisco StackWise-480) – Layer 3-Zugang mit IP Base-Lizenz; reine Datenports ohne PoE; konvergiertes Wired/Wireless unter Cisco IOS XE (UADP-ASIC); verwaltet über CLI/WebUI",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-S,WS-C3850-24T-S,EoL,"Cisco Catalyst 3850 End-of-Sale (Serie; Nachfolger Catalyst 9300) — informativ als Original-Ersatz-/Bestands-Spare geführt, nicht entfernt.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,2026-06-25T08:57:46Z
WS-C3850-24T-E,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-E,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-E,Portanzahl,24,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-E,Port-Konfiguration,24× 10/100/1000 (RJ-45) + 1 Netzwerkmodul-Steckplatz (Uplinks separat),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-E,Port-Geschwindigkeit,1 GbE (10/100/1000),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-E,PoE,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-E,Switching-Kapazität,92 Gbit/s,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-E,Durchsatz,"68,4 Mpps",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-E,Bauform,Rack-Montage (1 HE),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-E,Stromversorgung,"Modular, redundant (1 Netzteil im Lieferumfang, 2 möglich)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-E,Kühlung,Aktiv (redundante Lüfter),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-E,Stacking,"Ja – Cisco StackWise-480 (bis 9 Einheiten, 480 Gbit/s)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-E,Betriebstemperatur,-5 bis 45 °C,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-E,Anwendung,"Campus-/Enterprise-Access (stapelbar, Cisco StackWise-480) – Layer 3-Zugang mit IP Services-Lizenz; reine Datenports ohne PoE; konvergiertes Wired/Wireless unter Cisco IOS XE (UADP-ASIC); verwaltet über CLI/WebUI",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-24T-E,WS-C3850-24T-E,EoL,"Cisco Catalyst 3850 End-of-Sale (Serie; Nachfolger Catalyst 9300) — informativ als Original-Ersatz-/Bestands-Spare geführt, nicht entfernt.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,2026-06-25T08:57:46Z
WS-C3850-48T-L,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-L,Layer,L2,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-L,Portanzahl,48,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-L,Port-Konfiguration,48× 10/100/1000 (RJ-45) + 1 Netzwerkmodul-Steckplatz (Uplinks separat),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-L,Port-Geschwindigkeit,1 GbE (10/100/1000),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-L,PoE,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-L,Switching-Kapazität,176 Gbit/s,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-L,Durchsatz,"130,95 Mpps",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-L,Bauform,Rack-Montage (1 HE),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-L,Stromversorgung,"Modular, redundant (1 Netzteil im Lieferumfang, 2 möglich)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-L,Kühlung,Aktiv (redundante Lüfter),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-L,Stacking,"Ja – Cisco StackWise-480 (bis 9 Einheiten, 480 Gbit/s)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-L,Betriebstemperatur,-5 bis 45 °C,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-L,Anwendung,"Campus-/Enterprise-Access (stapelbar, Cisco StackWise-480) – Layer 2-Zugang mit LAN Base-Lizenz; reine Datenports ohne PoE; konvergiertes Wired/Wireless unter Cisco IOS XE (UADP-ASIC); verwaltet über CLI/WebUI",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-L,WS-C3850-48T-L,EoL,"Cisco Catalyst 3850 End-of-Sale (Serie; Nachfolger Catalyst 9300) — informativ als Original-Ersatz-/Bestands-Spare geführt, nicht entfernt.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,2026-06-25T08:57:46Z
WS-C3850-48T-S,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-S,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-S,Portanzahl,48,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-S,Port-Konfiguration,48× 10/100/1000 (RJ-45) + 1 Netzwerkmodul-Steckplatz (Uplinks separat),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-S,Port-Geschwindigkeit,1 GbE (10/100/1000),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-S,PoE,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-S,Switching-Kapazität,176 Gbit/s,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-S,Durchsatz,"130,95 Mpps",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-S,Bauform,Rack-Montage (1 HE),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-S,Stromversorgung,"Modular, redundant (1 Netzteil im Lieferumfang, 2 möglich)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-S,Kühlung,Aktiv (redundante Lüfter),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-S,Stacking,"Ja – Cisco StackWise-480 (bis 9 Einheiten, 480 Gbit/s)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-S,Betriebstemperatur,-5 bis 45 °C,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-S,Anwendung,"Campus-/Enterprise-Access (stapelbar, Cisco StackWise-480) – Layer 3-Zugang mit IP Base-Lizenz; reine Datenports ohne PoE; konvergiertes Wired/Wireless unter Cisco IOS XE (UADP-ASIC); verwaltet über CLI/WebUI",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-S,WS-C3850-48T-S,EoL,"Cisco Catalyst 3850 End-of-Sale (Serie; Nachfolger Catalyst 9300) — informativ als Original-Ersatz-/Bestands-Spare geführt, nicht entfernt.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,2026-06-25T08:57:46Z
WS-C3850-48T-E,Switch-Typ,Managed,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-E,Layer,L3,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-E,Portanzahl,48,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-E,Port-Konfiguration,48× 10/100/1000 (RJ-45) + 1 Netzwerkmodul-Steckplatz (Uplinks separat),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-E,Port-Geschwindigkeit,1 GbE (10/100/1000),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-E,PoE,Nein,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-E,Switching-Kapazität,176 Gbit/s,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-E,Durchsatz,"130,95 Mpps",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-E,Bauform,Rack-Montage (1 HE),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-E,Stromversorgung,"Modular, redundant (1 Netzteil im Lieferumfang, 2 möglich)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-E,Kühlung,Aktiv (redundante Lüfter),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-E,Stacking,"Ja – Cisco StackWise-480 (bis 9 Einheiten, 480 Gbit/s)",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-E,Betriebstemperatur,-5 bis 45 °C,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-E,Anwendung,"Campus-/Enterprise-Access (stapelbar, Cisco StackWise-480) – Layer 3-Zugang mit IP Services-Lizenz; reine Datenports ohne PoE; konvergiertes Wired/Wireless unter Cisco IOS XE (UADP-ASIC); verwaltet über CLI/WebUI",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,datasheet,2026-06-25T08:57:46Z
WS-C3850-48T-E,WS-C3850-48T-E,EoL,"Cisco Catalyst 3850 End-of-Sale (Serie; Nachfolger Catalyst 9300) — informativ als Original-Ersatz-/Bestands-Spare geführt, nicht entfernt.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3850-series-switches/datasheet_c78-720918.html,2026-06-25T08:57:46Z
