Artikelnummer;Überverkauf Plattform Hexwaren
WS-C3850-12S-S;TRUE
WS-C3850-12S-E;TRUE
WS-C3850-24S-S;TRUE
WS-C3850-24S-E;TRUE
WS-C3850-12XS-S;TRUE
WS-C3850-12XS-E;TRUE
WS-C3850-16XS-S;TRUE
WS-C3850-16XS-E;TRUE
WS-C3850-24XS-S;TRUE
WS-C3850-24XS-E;TRUE
WS-C3850-32XS-S;TRUE
WS-C3850-32XS-E;TRUE
WS-C3850-48XS-S;TRUE
WS-C3850-48XS-E;TRUE
WS-C3850-48XS-F-S;TRUE
WS-C3850-48XS-F-E;TRUE
WS-C3850-24XU-L;TRUE
WS-C3850-24XU-S;TRUE
WS-C3850-24XU-E;TRUE
WS-C3850-12X48U-L;TRUE
WS-C3850-12X48U-S;TRUE
WS-C3850-12X48U-E;TRUE
