Artikelnummer,Netto-VK,Anker-Quelle,Methode,Anker-PN
WS-C3850-12S-S,"520,00","PROVISORISCH (Phase-2-Platzhalter, NICHT verankert): EoS-Catalyst-3850 (Nachfolger 9300), neuwertige €-Klasse nach Konfiguration; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis vor Phase-2 verwenden.",provisorisch-Phase-2,(unanchored)
WS-C3850-12S-E,"640,00","PROVISORISCH (Phase-2-Platzhalter, NICHT verankert): EoS-Catalyst-3850 (Nachfolger 9300), neuwertige €-Klasse nach Konfiguration; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis vor Phase-2 verwenden.",provisorisch-Phase-2,(unanchored)
WS-C3850-24S-S,"680,00","PROVISORISCH (Phase-2-Platzhalter, NICHT verankert): EoS-Catalyst-3850 (Nachfolger 9300), neuwertige €-Klasse nach Konfiguration; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis vor Phase-2 verwenden.",provisorisch-Phase-2,(unanchored)
WS-C3850-24S-E,"840,00","PROVISORISCH (Phase-2-Platzhalter, NICHT verankert): EoS-Catalyst-3850 (Nachfolger 9300), neuwertige €-Klasse nach Konfiguration; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis vor Phase-2 verwenden.",provisorisch-Phase-2,(unanchored)
WS-C3850-12XS-S,"1150,00","PROVISORISCH (Phase-2-Platzhalter, NICHT verankert): EoS-Catalyst-3850 (Nachfolger 9300), neuwertige €-Klasse nach Konfiguration; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis vor Phase-2 verwenden.",provisorisch-Phase-2,(unanchored)
WS-C3850-12XS-E,"1450,00","PROVISORISCH (Phase-2-Platzhalter, NICHT verankert): EoS-Catalyst-3850 (Nachfolger 9300), neuwertige €-Klasse nach Konfiguration; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis vor Phase-2 verwenden.",provisorisch-Phase-2,(unanchored)
WS-C3850-16XS-S,"1450,00","PROVISORISCH (Phase-2-Platzhalter, NICHT verankert): EoS-Catalyst-3850 (Nachfolger 9300), neuwertige €-Klasse nach Konfiguration; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis vor Phase-2 verwenden.",provisorisch-Phase-2,(unanchored)
WS-C3850-16XS-E,"1800,00","PROVISORISCH (Phase-2-Platzhalter, NICHT verankert): EoS-Catalyst-3850 (Nachfolger 9300), neuwertige €-Klasse nach Konfiguration; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis vor Phase-2 verwenden.",provisorisch-Phase-2,(unanchored)
WS-C3850-24XS-S,"1950,00","PROVISORISCH (Phase-2-Platzhalter, NICHT verankert): EoS-Catalyst-3850 (Nachfolger 9300), neuwertige €-Klasse nach Konfiguration; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis vor Phase-2 verwenden.",provisorisch-Phase-2,(unanchored)
WS-C3850-24XS-E,"2450,00","PROVISORISCH (Phase-2-Platzhalter, NICHT verankert): EoS-Catalyst-3850 (Nachfolger 9300), neuwertige €-Klasse nach Konfiguration; Verankerung in Phase-2. Ausschließlich ungebrauchte Original-Hardware (kein Refurb). NICHT als Verkaufspreis vor Phase-2 verwenden.",provisorisch-Phase-2,(unanchored)
