Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
CMICR-4PS,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
CMICR-4PS,,Switch,Layer,L2,2,Wertliste,Attribut
CMICR-4PS,,Switch,Portanzahl,6,3,Wertliste,Attribut
CMICR-4PS,,Switch,Port-Konfiguration,4× 100M/1G-RJ45 (PoE+) + 2× SFP (Uplink),4,Wertliste,Attribut
CMICR-4PS,,Switch,Port-Geschwindigkeit,100M/1G,5,Wertliste,Attribut
CMICR-4PS,,Switch,Uplink-Ports,2× SFP,6,Wertliste,Attribut
CMICR-4PS,,Switch,PoE,"Ja – PoE+ (IEEE 802.3at, bis 30 W/Port), 62 W",7,Wertliste,Attribut
CMICR-4PS,,Switch,Switching-Kapazität,12 Gbit/s,8,Wertliste,Attribut
CMICR-4PS,,Switch,Durchsatz,"8,928 Mpps",9,Wertliste,Attribut
CMICR-4PS,,Switch,Bauform,"Kompakt-Gehäuse (lüfterlos, geringe Bautiefe)",10,Wertliste,Attribut
CMICR-4PS,,Switch,Stromversorgung,Externes AC/DC-Netzteil (separat; PoE-Eingang),11,Wertliste,Attribut
CMICR-4PS,,Switch,Kühlung,Lüfterlos (passiv gekühlt),12,Wertliste,Attribut
CMICR-4PS,,Switch,Stacking,Nein,13,Wertliste,Attribut
CMICR-4PS,,Switch,Betriebstemperatur,-5 bis 35 °C,14,Wertliste,Attribut
CMICR-4PS,,Switch,Anwendung,"Out-of-the-Wiring-Closet-/Micro-Access (ultrakompakt, lüfterlos, Layer 2) – Hotelzimmer, Klassenraum, Ladenfläche, Wandjack/Kabelkanal, WLAN-AP-Anbindung; PoE+-Versorgung (62 W) für IP-Telefone, WLAN-Access-Points und Kameras; wand-, kabelkanal-, DIN-schienen- oder Desktop-montierbar; Cisco IOS (nicht IOS-XE), verwaltet per CLI/DNA Center/Network PnP",15,Wertliste,Attribut
CMICR-4PC,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
CMICR-4PC,,Switch,Layer,L2,2,Wertliste,Attribut
CMICR-4PC,,Switch,Portanzahl,6,3,Wertliste,Attribut
CMICR-4PC,,Switch,Port-Konfiguration,4× 100M/1G-RJ45 (PoE+) + 1× 1G-RJ45 (Uplink) + 1× SFP (Uplink),4,Wertliste,Attribut
CMICR-4PC,,Switch,Port-Geschwindigkeit,100M/1G,5,Wertliste,Attribut
CMICR-4PC,,Switch,Uplink-Ports,1× 1G-RJ45 + 1× SFP,6,Wertliste,Attribut
CMICR-4PC,,Switch,PoE,"Ja – PoE+ (IEEE 802.3at, bis 30 W/Port), 62 W",7,Wertliste,Attribut
CMICR-4PC,,Switch,Switching-Kapazität,12 Gbit/s,8,Wertliste,Attribut
CMICR-4PC,,Switch,Durchsatz,"8,928 Mpps",9,Wertliste,Attribut
CMICR-4PC,,Switch,Bauform,"Kompakt-Gehäuse (lüfterlos, geringe Bautiefe)",10,Wertliste,Attribut
CMICR-4PC,,Switch,Stromversorgung,Externes AC/DC-Netzteil (separat; PoE-Eingang),11,Wertliste,Attribut
CMICR-4PC,,Switch,Kühlung,Lüfterlos (passiv gekühlt),12,Wertliste,Attribut
CMICR-4PC,,Switch,Stacking,Nein,13,Wertliste,Attribut
CMICR-4PC,,Switch,Betriebstemperatur,-5 bis 35 °C,14,Wertliste,Attribut
CMICR-4PC,,Switch,Anwendung,"Out-of-the-Wiring-Closet-/Micro-Access (ultrakompakt, lüfterlos, Layer 2) – Hotelzimmer, Klassenraum, Ladenfläche, Wandjack/Kabelkanal, WLAN-AP-Anbindung; PoE+-Versorgung (62 W) für IP-Telefone, WLAN-Access-Points und Kameras; wand-, kabelkanal-, DIN-schienen- oder Desktop-montierbar; Cisco IOS (nicht IOS-XE), verwaltet per CLI/DNA Center/Network PnP",15,Wertliste,Attribut
CMICR-4PT,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
CMICR-4PT,,Switch,Layer,L2,2,Wertliste,Attribut
CMICR-4PT,,Switch,Portanzahl,6,3,Wertliste,Attribut
CMICR-4PT,,Switch,Port-Konfiguration,4× 100M/1G-RJ45 (PoE+) + 1× 1G-RJ45 (Uplink) + 1× Combo (Uplink),4,Wertliste,Attribut
CMICR-4PT,,Switch,Port-Geschwindigkeit,100M/1G,5,Wertliste,Attribut
CMICR-4PT,,Switch,Uplink-Ports,1× 1G-RJ45 + 1× Combo,6,Wertliste,Attribut
CMICR-4PT,,Switch,PoE,"Ja – PoE+ (802.3at) + 2× USB-C-UPOE-Durchreiche, bis 120 W",7,Wertliste,Attribut
CMICR-4PT,,Switch,Switching-Kapazität,12 Gbit/s,8,Wertliste,Attribut
CMICR-4PT,,Switch,Durchsatz,"8,928 Mpps",9,Wertliste,Attribut
CMICR-4PT,,Switch,Bauform,"Kompakt-Gehäuse (lüfterlos, geringe Bautiefe)",10,Wertliste,Attribut
CMICR-4PT,,Switch,Stromversorgung,Externes AC/DC-Netzteil (separat; PoE-Eingang),11,Wertliste,Attribut
CMICR-4PT,,Switch,Kühlung,Lüfterlos (passiv gekühlt),12,Wertliste,Attribut
CMICR-4PT,,Switch,Stacking,Nein,13,Wertliste,Attribut
CMICR-4PT,,Switch,Betriebstemperatur,-5 bis 35 °C,14,Wertliste,Attribut
CMICR-4PT,,Switch,Anwendung,"Out-of-the-Wiring-Closet-/Micro-Access (ultrakompakt, lüfterlos, Layer 2) – Hotelzimmer, Klassenraum, Ladenfläche, Wandjack/Kabelkanal, WLAN-AP-Anbindung; PoE+-Versorgung (bis 120 W) für IP-Telefone, WLAN-Access-Points und Kameras sowie zwei USB-C-Geräte per UPOE-Durchreiche; wand-, kabelkanal-, DIN-schienen- oder Desktop-montierbar; Cisco IOS (nicht IOS-XE), verwaltet per CLI/DNA Center/Network PnP",15,Wertliste,Attribut
