Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
WS-X45-SUP6-E,,Switch,Uplink-Ports,2× 10G-X2 (oder 4× 1G-SFP via TwinGig),6,Wertliste,Attribut
WS-X45-SUP6-E,,Switch,Switching-Kapazität,24 Gbit/s je Steckplatz,8,Wertliste,Attribut
WS-X45-SUP6-E,,Switch,Modultyp,Supervisor-Engine,19,Wertliste,Attribut
WS-X45-SUP6-E,,Switch,Kompatible Serie,Catalyst 4500-E,20,Wertliste,Attribut
WS-X45-SUP6L-E,,Switch,Uplink-Ports,2× 10G-X2 (oder 4× 1G-SFP via TwinGig),6,Wertliste,Attribut
WS-X45-SUP6L-E,,Switch,Switching-Kapazität,24 Gbit/s je Steckplatz,8,Wertliste,Attribut
WS-X45-SUP6L-E,,Switch,Modultyp,Supervisor-Engine,19,Wertliste,Attribut
WS-X45-SUP6L-E,,Switch,Kompatible Serie,Catalyst 4500-E,20,Wertliste,Attribut
WS-X45-SUP7-E,,Switch,Uplink-Ports,4× 10G-SFP+ (oder 4× 1G-SFP),6,Wertliste,Attribut
WS-X45-SUP7-E,,Switch,Switching-Kapazität,48 Gbit/s je Steckplatz (848 Gbit/s System),8,Wertliste,Attribut
WS-X45-SUP7-E,,Switch,Modultyp,Supervisor-Engine,19,Wertliste,Attribut
WS-X45-SUP7-E,,Switch,Kompatible Serie,Catalyst 4500-E,20,Wertliste,Attribut
WS-X45-SUP7L-E,,Switch,Uplink-Ports,2× 10G-SFP+ oder 4× 1G-SFP,6,Wertliste,Attribut
WS-X45-SUP7L-E,,Switch,Switching-Kapazität,48 Gbit/s je Steckplatz (520 Gbit/s System),8,Wertliste,Attribut
WS-X45-SUP7L-E,,Switch,Modultyp,Supervisor-Engine,19,Wertliste,Attribut
WS-X45-SUP7L-E,,Switch,Kompatible Serie,Catalyst 4500-E,20,Wertliste,Attribut
WS-X45-SUP8-E,,Switch,Uplink-Ports,bis 8× 10G-SFP+ (oder bis 8× 1G-SFP),6,Wertliste,Attribut
WS-X45-SUP8-E,,Switch,Switching-Kapazität,48 Gbit/s je Steckplatz (928 Gbit/s System),8,Wertliste,Attribut
WS-X45-SUP8-E,,Switch,Modultyp,Supervisor-Engine,19,Wertliste,Attribut
WS-X45-SUP8-E,,Switch,Kompatible Serie,Catalyst 4500-E,20,Wertliste,Attribut
WS-X45-SUP8L-E,,Switch,Uplink-Ports,4× 10G-SFP+ oder 4× 1G-SFP,6,Wertliste,Attribut
WS-X45-SUP8L-E,,Switch,Switching-Kapazität,48 Gbit/s je Steckplatz (560 Gbit/s System),8,Wertliste,Attribut
WS-X45-SUP8L-E,,Switch,Modultyp,Supervisor-Engine,19,Wertliste,Attribut
WS-X45-SUP8L-E,,Switch,Kompatible Serie,Catalyst 4500-E,20,Wertliste,Attribut
WS-X45-SUP9-E,,Switch,Uplink-Ports,bis 2× 40G-QSFP+ oder bis 4× 10G-SFP+,6,Wertliste,Attribut
WS-X45-SUP9-E,,Switch,Switching-Kapazität,48 Gbit/s je Steckplatz (928 Gbit/s System),8,Wertliste,Attribut
WS-X45-SUP9-E,,Switch,Modultyp,Supervisor-Engine,19,Wertliste,Attribut
WS-X45-SUP9-E,,Switch,Kompatible Serie,Catalyst 4500-E,20,Wertliste,Attribut
WS-X4748-12X48U+E,,Switch,Portanzahl,48,3,Wertliste,Attribut
WS-X4748-12X48U+E,,Switch,Port-Konfiguration,"12× Multigigabit-RJ45 (100M-10G, UPOE) + 36× 10/100/1000-RJ45 (UPOE)",4,Wertliste,Attribut
WS-X4748-12X48U+E,,Switch,PoE,UPOE bis 60 W/Port (bis 1440 W),7,Wertliste,Attribut
WS-X4748-12X48U+E,,Switch,Switching-Kapazität,48 Gbit/s je Steckplatz,8,Wertliste,Attribut
WS-X4748-12X48U+E,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
WS-X4748-12X48U+E,,Switch,Kompatible Serie,Catalyst 4500-E,20,Wertliste,Attribut
WS-X4748-UPOE+E,,Switch,Portanzahl,48,3,Wertliste,Attribut
WS-X4748-UPOE+E,,Switch,Port-Konfiguration,48× 10/100/1000-RJ45 (UPOE),4,Wertliste,Attribut
WS-X4748-UPOE+E,,Switch,PoE,UPOE bis 60 W/Port (bis 1440 W),7,Wertliste,Attribut
WS-X4748-UPOE+E,,Switch,Switching-Kapazität,48 Gbit/s je Steckplatz,8,Wertliste,Attribut
WS-X4748-UPOE+E,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
WS-X4748-UPOE+E,,Switch,Kompatible Serie,Catalyst 4500-E,20,Wertliste,Attribut
WS-X4748-RJ45V+E,,Switch,Portanzahl,48,3,Wertliste,Attribut
WS-X4748-RJ45V+E,,Switch,Port-Konfiguration,48× 10/100/1000-RJ45 (PoE+),4,Wertliste,Attribut
WS-X4748-RJ45V+E,,Switch,PoE,802.3af PoE / 802.3at PoE+ (30 W/Port),7,Wertliste,Attribut
WS-X4748-RJ45V+E,,Switch,Switching-Kapazität,48 Gbit/s je Steckplatz,8,Wertliste,Attribut
WS-X4748-RJ45V+E,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
WS-X4748-RJ45V+E,,Switch,Kompatible Serie,Catalyst 4500-E,20,Wertliste,Attribut
WS-X4748-RJ45-E,,Switch,Portanzahl,48,3,Wertliste,Attribut
WS-X4748-RJ45-E,,Switch,Port-Konfiguration,48× 10/100/1000-RJ45,4,Wertliste,Attribut
WS-X4748-RJ45-E,,Switch,Switching-Kapazität,48 Gbit/s je Steckplatz,8,Wertliste,Attribut
WS-X4748-RJ45-E,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
WS-X4748-RJ45-E,,Switch,Kompatible Serie,Catalyst 4500-E,20,Wertliste,Attribut
WS-X4748-SFP-E,,Switch,Portanzahl,48,3,Wertliste,Attribut
WS-X4748-SFP-E,,Switch,Port-Konfiguration,48× 1G-SFP,4,Wertliste,Attribut
WS-X4748-SFP-E,,Switch,Switching-Kapazität,48 Gbit/s je Steckplatz,8,Wertliste,Attribut
WS-X4748-SFP-E,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
WS-X4748-SFP-E,,Switch,Kompatible Serie,Catalyst 4500-E,20,Wertliste,Attribut
WS-X4712-SFP+E,,Switch,Portanzahl,12,3,Wertliste,Attribut
WS-X4712-SFP+E,,Switch,Port-Konfiguration,12× 10G-SFP+,4,Wertliste,Attribut
WS-X4712-SFP+E,,Switch,Switching-Kapazität,48 Gbit/s je Steckplatz,8,Wertliste,Attribut
WS-X4712-SFP+E,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
WS-X4712-SFP+E,,Switch,Kompatible Serie,Catalyst 4500-E,20,Wertliste,Attribut
WS-X4724-SFP-E,,Switch,Portanzahl,24,3,Wertliste,Attribut
WS-X4724-SFP-E,,Switch,Port-Konfiguration,24× 1G-SFP,4,Wertliste,Attribut
WS-X4724-SFP-E,,Switch,Switching-Kapazität,24 Gbit/s je Steckplatz,8,Wertliste,Attribut
WS-X4724-SFP-E,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
WS-X4724-SFP-E,,Switch,Kompatible Serie,Catalyst 4500-E,20,Wertliste,Attribut
WS-X4712-SFP-E,,Switch,Portanzahl,12,3,Wertliste,Attribut
WS-X4712-SFP-E,,Switch,Port-Konfiguration,12× 1G-SFP,4,Wertliste,Attribut
WS-X4712-SFP-E,,Switch,Switching-Kapazität,12 Gbit/s je Steckplatz,8,Wertliste,Attribut
WS-X4712-SFP-E,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
WS-X4712-SFP-E,,Switch,Kompatible Serie,Catalyst 4500-E,20,Wertliste,Attribut
WS-X4624-SFP-E,,Switch,Portanzahl,24,3,Wertliste,Attribut
WS-X4624-SFP-E,,Switch,Port-Konfiguration,24× 1G-SFP,4,Wertliste,Attribut
WS-X4624-SFP-E,,Switch,Switching-Kapazität,24 Gbit/s je Steckplatz,8,Wertliste,Attribut
WS-X4624-SFP-E,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
WS-X4624-SFP-E,,Switch,Kompatible Serie,Catalyst 4500-E,20,Wertliste,Attribut
WS-X4612-SFP-E,,Switch,Portanzahl,12,3,Wertliste,Attribut
WS-X4612-SFP-E,,Switch,Port-Konfiguration,12× 1G-SFP,4,Wertliste,Attribut
WS-X4612-SFP-E,,Switch,Switching-Kapazität,12 Gbit/s je Steckplatz,8,Wertliste,Attribut
WS-X4612-SFP-E,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
WS-X4612-SFP-E,,Switch,Kompatible Serie,Catalyst 4500-E,20,Wertliste,Attribut
WS-X4640-CSFP-E,,Switch,Portanzahl,40,3,Wertliste,Attribut
WS-X4640-CSFP-E,,Switch,Port-Konfiguration,40× 1G-SFP,4,Wertliste,Attribut
WS-X4640-CSFP-E,,Switch,Switching-Kapazität,24 Gbit/s je Steckplatz,8,Wertliste,Attribut
WS-X4640-CSFP-E,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
WS-X4640-CSFP-E,,Switch,Kompatible Serie,Catalyst 4500-E,20,Wertliste,Attribut
WS-X4648-RJ45-E,,Switch,Portanzahl,48,3,Wertliste,Attribut
WS-X4648-RJ45-E,,Switch,Port-Konfiguration,48× 10/100/1000-RJ45,4,Wertliste,Attribut
WS-X4648-RJ45-E,,Switch,Switching-Kapazität,24 Gbit/s je Steckplatz,8,Wertliste,Attribut
WS-X4648-RJ45-E,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
WS-X4648-RJ45-E,,Switch,Kompatible Serie,Catalyst 4500-E,20,Wertliste,Attribut
WS-X4648-RJ45V-E,,Switch,Portanzahl,48,3,Wertliste,Attribut
WS-X4648-RJ45V-E,,Switch,Port-Konfiguration,48× 10/100/1000-RJ45 (PoE),4,Wertliste,Attribut
WS-X4648-RJ45V-E,,Switch,PoE,"802.3af PoE (15,4 W/Port)",7,Wertliste,Attribut
