Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
WS-X45-SUP6-E,Uplink-Ports,2× 10G-X2 (oder 4× 1G-SFP via TwinGig),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4500-series-switches/data_sheet_c78-728191.html,datasheet,2026-06-28T22:57:51Z
WS-X45-SUP6-E,Switching-Kapazität,24 Gbit/s je Steckplatz,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4500-series-switches/data_sheet_c78-728191.html,datasheet,2026-06-28T22:57:51Z
WS-X45-SUP6-E,Modultyp,Supervisor-Engine,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4500-series-switches/data_sheet_c78-728191.html,datasheet,2026-06-28T22:57:51Z
WS-X45-SUP6-E,Kompatible Serie,Catalyst 4500-E,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4500-series-switches/data_sheet_c78-728191.html,datasheet,2026-06-28T22:57:51Z
WS-X45-SUP6-E,WS-X45-SUP6-E,EoL,"Cisco WS-X45-SUP6-E – abgekündigt (Sup6-E-Serie, End-of-Sale). In scope (Hexwaren führt ungebrauchte Original-Hardware), nicht entfernt.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4500-series-switches/data_sheet_c78-728191.html,2026-06-28T22:57:51Z
WS-X45-SUP6-E,WS-X45-SUP6-E,Gewicht,"ZU_VERIFIZIEREN — kein OEM-/Lieferanten-Wert; konservativer Platzhalter (eher über- als unterschätzt, damit der Versand nie zu niedrig kalkuliert wird), NICHT gemessen und NICHT gesourct; Nachtrag bei physischer Messung. Platzhalter: 7,00 kg, Versandgewicht 9,50 kg.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4500-series-switches/data_sheet_c78-728191.html,2026-06-28T22:57:51Z
WS-X45-SUP6-E,WS-X45-SUP6-E,PID,"Ordering-PID WS-X45-SUP6-E verbatim (Class-B-Modul, Hersteller=Cisco). NICHT gebankt: Chassis, Lizenzen, Care Packs, Optik/Transceiver, Netzteile, Lüfter; -RF/=/-- + die unbestätigten TAA-++-Varianten.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4500-series-switches/data_sheet_c78-728191.html,2026-06-28T22:57:51Z
WS-X45-SUP6L-E,Uplink-Ports,2× 10G-X2 (oder 4× 1G-SFP via TwinGig),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4500-series-switches/data_sheet_c78-728191.html,datasheet,2026-06-28T22:57:51Z
WS-X45-SUP6L-E,Switching-Kapazität,24 Gbit/s je Steckplatz,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4500-series-switches/data_sheet_c78-728191.html,datasheet,2026-06-28T22:57:51Z
WS-X45-SUP6L-E,Modultyp,Supervisor-Engine,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4500-series-switches/data_sheet_c78-728191.html,datasheet,2026-06-28T22:57:51Z
WS-X45-SUP6L-E,Kompatible Serie,Catalyst 4500-E,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4500-series-switches/data_sheet_c78-728191.html,datasheet,2026-06-28T22:57:51Z
WS-X45-SUP6L-E,WS-X45-SUP6L-E,EoL,"Cisco WS-X45-SUP6L-E – End-of-Sale 02.02.2015. In scope (Hexwaren führt ungebrauchte Original-Hardware), nicht entfernt.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4500-series-switches/data_sheet_c78-728191.html,2026-06-28T22:57:51Z
WS-X45-SUP6L-E,WS-X45-SUP6L-E,Gewicht,"ZU_VERIFIZIEREN — kein OEM-/Lieferanten-Wert; konservativer Platzhalter (eher über- als unterschätzt, damit der Versand nie zu niedrig kalkuliert wird), NICHT gemessen und NICHT gesourct; Nachtrag bei physischer Messung. Platzhalter: 7,00 kg, Versandgewicht 9,50 kg.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4500-series-switches/data_sheet_c78-728191.html,2026-06-28T22:57:51Z
WS-X45-SUP6L-E,WS-X45-SUP6L-E,PID,"Ordering-PID WS-X45-SUP6L-E verbatim (Class-B-Modul, Hersteller=Cisco). NICHT gebankt: Chassis, Lizenzen, Care Packs, Optik/Transceiver, Netzteile, Lüfter; -RF/=/-- + die unbestätigten TAA-++-Varianten.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4500-series-switches/data_sheet_c78-728191.html,2026-06-28T22:57:51Z
WS-X45-SUP7-E,Uplink-Ports,4× 10G-SFP+ (oder 4× 1G-SFP),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4500-series-switches/data_sheet_c78-728191.html,datasheet,2026-06-28T22:57:51Z
WS-X45-SUP7-E,Switching-Kapazität,48 Gbit/s je Steckplatz (848 Gbit/s System),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4500-series-switches/data_sheet_c78-728191.html,datasheet,2026-06-28T22:57:51Z
WS-X45-SUP7-E,Modultyp,Supervisor-Engine,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4500-series-switches/data_sheet_c78-728191.html,datasheet,2026-06-28T22:57:51Z
WS-X45-SUP7-E,Kompatible Serie,Catalyst 4500-E,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4500-series-switches/data_sheet_c78-728191.html,datasheet,2026-06-28T22:57:51Z
WS-X45-SUP7-E,WS-X45-SUP7-E,EoL,"Cisco WS-X45-SUP7-E – End-of-Sale 31.10.2017. In scope (Hexwaren führt ungebrauchte Original-Hardware), nicht entfernt.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4500-series-switches/data_sheet_c78-728191.html,2026-06-28T22:57:51Z
WS-X45-SUP7-E,WS-X45-SUP7-E,Gewicht,"ZU_VERIFIZIEREN — kein OEM-/Lieferanten-Wert; konservativer Platzhalter (eher über- als unterschätzt, damit der Versand nie zu niedrig kalkuliert wird), NICHT gemessen und NICHT gesourct; Nachtrag bei physischer Messung. Platzhalter: 7,00 kg, Versandgewicht 9,50 kg.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4500-series-switches/data_sheet_c78-728191.html,2026-06-28T22:57:51Z
WS-X45-SUP7-E,WS-X45-SUP7-E,PID,"Ordering-PID WS-X45-SUP7-E verbatim (Class-B-Modul, Hersteller=Cisco). NICHT gebankt: Chassis, Lizenzen, Care Packs, Optik/Transceiver, Netzteile, Lüfter; -RF/=/-- + die unbestätigten TAA-++-Varianten.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4500-series-switches/data_sheet_c78-728191.html,2026-06-28T22:57:51Z
WS-X45-SUP7L-E,Uplink-Ports,2× 10G-SFP+ oder 4× 1G-SFP,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4500-series-switches/data_sheet_c78-728191.html,datasheet,2026-06-28T22:57:51Z
WS-X45-SUP7L-E,Switching-Kapazität,48 Gbit/s je Steckplatz (520 Gbit/s System),https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4500-series-switches/data_sheet_c78-728191.html,datasheet,2026-06-28T22:57:51Z
WS-X45-SUP7L-E,Modultyp,Supervisor-Engine,https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4500-series-switches/data_sheet_c78-728191.html,datasheet,2026-06-28T22:57:51Z
